﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Mar-2017,00:00,01-Mar-2017,00:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",24.1,719.0,495.0,165.0,53.0,3.0,28.0,3.7,109.0,0.3,2.63,0.9,,13.6,78.0,67.7,96.5,28.8,14.5
01-Mar-2017,00:15,01-Mar-2017,00:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",24.2,719.0,495.0,165.0,52.0,3.0,27.9,4.8,109.0,0.3,2.58,1.1,,14.4,81.1,59.6,91.6,28.0,19.3
01-Mar-2017,00:30,01-Mar-2017,00:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",24.2,719.0,495.0,165.0,50.0,3.0,28.2,4.8,109.0,0.3,2.24,1.0,,16.4,72.7,49.9,79.3,24.7,20.6
01-Mar-2017,00:45,01-Mar-2017,01:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",24.1,719.0,323.0,128.0,51.0,3.0,28.9,4.1,109.0,0.3,2.1,0.8,,17.9,81.4,56.0,88.8,23.7,19.5
01-Mar-2017,01:00,01-Mar-2017,01:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",23.7,718.0,323.0,128.0,53.0,3.0,28.8,3.5,109.0,0.3,2.04,0.7,,18.2,70.8,62.1,88.2,26.5,17.3
01-Mar-2017,01:15,01-Mar-2017,01:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",23.5,719.0,323.0,128.0,53.0,3.0,28.8,4.2,109.0,0.3,2.0,0.7,,18.3,71.2,70.1,94.9,27.0,21.3
01-Mar-2017,01:30,01-Mar-2017,01:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",23.3,719.0,323.0,128.0,56.0,3.0,28.8,4.0,109.0,0.3,1.99,0.7,,18.3,72.8,69.1,94.9,25.9,21.1
01-Mar-2017,01:45,01-Mar-2017,02:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",23.1,719.0,289.0,127.0,59.0,3.0,28.8,5.1,109.0,0.3,1.95,0.7,,18.5,66.7,64.1,87.6,25.1,20.7
01-Mar-2017,02:00,01-Mar-2017,02:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",22.8,719.0,289.0,127.0,59.0,3.0,28.6,5.2,109.0,0.3,1.81,0.7,,18.0,65.0,51.2,76.1,23.7,25.3
01-Mar-2017,02:15,01-Mar-2017,02:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",22.6,719.0,289.0,127.0,57.0,3.0,28.6,5.1,113.0,0.4,1.68,0.6,,19.4,57.0,49.0,70.2,23.5,28.0
