From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2017,00:00,01-May-2017,00:15,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.1,163.0,,,,65.0,6.0,668.0,,,90.0,35.0,3.1,50.8,29.4,0.41,,18.8,,1.0,3.4,,0.0,,,0.0,,8.3,4.5,32.1,,0.0,,,,,,,
01-May-2017,00:15,01-May-2017,00:30,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.2,84.0,,,,65.0,6.0,667.0,,,90.0,35.0,3.0,49.8,28.9,0.37,,18.6,,1.0,3.4,,0.0,,,0.0,,8.3,3.9,32.1,,0.0,,,,,,,
01-May-2017,00:30,01-May-2017,00:45,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.3,76.0,,,,65.0,6.0,667.0,,,90.0,35.0,1.8,46.2,26.1,0.35,,18.4,,0.6,3.0,,0.0,,,0.0,,8.8,4.2,32.1,,0.0,,,,,,,
01-May-2017,00:45,01-May-2017,01:00,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.3,134.0,,,,65.0,6.0,667.0,,,78.0,30.0,1.4,43.6,24.2,0.35,,18.4,,0.6,3.0,,0.0,,,0.0,,9.2,4.2,32.1,,0.0,,,,,,,
01-May-2017,01:00,01-May-2017,01:15,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.1,135.0,,,,66.0,6.0,667.0,,,78.0,30.0,1.0,41.0,22.5,0.33,,18.8,,0.6,3.0,,0.0,,,0.0,,9.0,3.9,32.0,,0.0,,,,,,,
01-May-2017,01:15,01-May-2017,01:30,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.1,73.0,,,,66.0,6.0,666.0,,,78.0,30.0,1.1,40.2,22.4,0.32,,18.8,,0.6,2.6,,0.0,,,0.0,,8.5,4.2,32.1,,0.0,,,,,,,
01-May-2017,01:30,01-May-2017,01:45,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.2,126.0,,,,66.0,6.0,666.0,,,78.0,30.0,1.1,38.7,21.5,0.31,,19.2,,0.6,2.6,,0.0,,,0.1,,8.8,3.9,32.1,,0.0,,,,,,,
01-May-2017,01:45,01-May-2017,02:00,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.1,57.0,,,,68.0,6.0,666.0,,,67.0,32.0,0.7,37.0,20.3,0.3,,18.4,,0.6,2.6,,0.0,,,0.0,,8.8,4.2,32.1,,0.0,,,,,,,
01-May-2017,02:00,01-May-2017,02:15,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",0.8,4.0,,,,72.0,6.0,665.0,,,67.0,32.0,0.7,35.7,19.6,0.29,,18.2,,0.6,2.6,,0.0,,,0.0,,8.5,3.9,32.0,,0.0,,,,,,,
01-May-2017,02:15,01-May-2017,02:30,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",0.9,47.0,,,,72.0,6.0,665.0,,,67.0,32.0,1.0,34.6,19.2,0.29,,18.4,,0.3,2.3,,0.0,,,0.0,,8.4,2.9,32.0,,0.0,,,,,,,
01-May-2017,02:30,01-May-2017,02:45,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",0.9,67.0,,,,71.0,6.0,665.0,,,67.0,32.0,0.7,33.5,18.5,0.29,,18.6,,0.3,2.3,,0.0,,,0.0,,8.6,3.4,32.0,,0.0,,,,,,,
01-May-2017,02:45,01-May-2017,03:00,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",0.9,274.0,,,,70.0,6.0,665.0,,,74.0,30.0,1.0,32.9,18.3,0.27,,19.8,,0.6,2.3,,0.0,,,0.0,,8.8,3.4,32.1,,0.0,,,,,,,
01-May-2017,03:00,01-May-2017,03:15,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.0,344.0,,,,72.0,6.0,665.0,,,74.0,30.0,1.0,33.3,18.5,0.24,,24.7,,0.6,2.3,,0.0,,,0.0,,9.0,2.6,32.3,,0.0,,,,,,,
01-May-2017,03:15,01-May-2017,03:30,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",0.9,352.0,,,,74.0,6.0,665.0,,,74.0,30.0,1.0,32.5,18.1,0.25,,18.8,,0.6,2.3,,0.0,,,0.0,,9.2,1.8,32.4,,0.0,,,,,,,
01-May-2017,03:30,01-May-2017,03:45,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",0.9,149.0,,,,72.0,6.0,664.0,,,74.0,30.0,1.0,32.0,17.8,0.27,,17.6,,0.3,2.3,,0.0,,,0.0,,8.9,2.6,32.4,,0.0,,,,,,,
01-May-2017,03:45,01-May-2017,04:00,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",0.8,28.0,,,,71.0,6.0,665.0,,,74.0,28.0,1.0,32.0,17.8,0.27,,17.8,,0.3,2.3,,0.0,,,0.0,,8.5,3.4,32.3,,0.0,,,,,,,
01-May-2017,04:00,01-May-2017,04:15,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.0,29.0,,,,70.0,6.0,664.0,,,74.0,28.0,1.1,32.3,18.1,0.27,,18.4,,0.3,2.3,,0.0,,,0.0,,8.2,3.7,32.1,,0.0,,,,,,,
01-May-2017,04:15,01-May-2017,04:30,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.1,91.0,,,,67.0,6.0,665.0,,,74.0,28.0,1.0,32.5,18.1,0.25,,18.2,,0.6,2.3,,0.0,,,0.0,,8.3,4.7,32.1,,0.0,,,,,,,
01-May-2017,04:30,01-May-2017,04:45,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.0,40.0,,,,65.0,6.0,665.0,,,74.0,28.0,1.2,33.1,18.6,0.25,,18.4,,0.6,2.3,,0.0,,,0.0,,8.6,5.2,32.1,,0.0,,,,,,,
01-May-2017,04:45,01-May-2017,05:00,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.0,15.0,,,,65.0,6.0,665.0,,,68.0,25.0,1.4,33.5,18.9,0.26,,17.8,,0.3,2.3,,0.0,,,0.0,,8.5,5.2,32.1,,0.0,,,,,,,
01-May-2017,05:00,01-May-2017,05:15,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.0,85.0,,,,65.0,6.0,666.0,,,0.0,0.0,1.4,34.2,19.3,0.25,,18.2,,0.3,1.9,,0.0,,,0.0,,8.3,5.8,32.0,,0.0,,,,,,,
01-May-2017,05:15,01-May-2017,05:30,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",0.9,23.0,,,,67.0,6.0,666.0,,,68.0,25.0,1.4,35.0,19.7,0.25,,18.2,,0.6,2.3,,0.0,,,0.0,,8.3,5.0,32.1,,0.0,,,,,,,
01-May-2017,05:30,01-May-2017,05:45,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.0,23.0,,,,72.0,6.0,667.0,,,68.0,25.0,1.0,35.3,19.5,0.27,,17.8,,0.3,2.3,,0.0,,,0.0,,8.4,3.9,32.1,,0.0,,,,,,,
01-May-2017,05:45,01-May-2017,06:00,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.2,63.0,,,,78.0,9.0,667.0,,,73.0,27.0,1.1,34.6,19.4,0.29,,18.0,,0.3,2.3,,0.0,,,0.0,,8.4,3.7,32.1,,0.0,,,,,,,
01-May-2017,06:00,01-May-2017,06:15,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.2,61.0,,,,80.0,19.0,667.0,,,73.0,27.0,1.6,33.8,19.3,0.27,,17.8,,0.3,2.3,,0.0,,,0.0,,8.3,4.7,32.0,,0.0,,,,,,,
01-May-2017,06:15,01-May-2017,06:30,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.4,77.0,,,,81.0,31.0,668.0,,,73.0,27.0,1.7,32.5,18.7,0.27,,18.0,,0.6,2.3,,0.0,,,0.0,,8.1,5.5,32.0,,0.0,,,,,,,
01-May-2017,06:30,01-May-2017,06:45,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.5,77.0,,,,78.0,44.0,669.0,,,73.0,27.0,1.5,30.3,17.3,0.27,,18.2,,0.6,1.9,,0.0,,,0.0,,8.4,5.2,32.1,,0.0,,,,,,,
01-May-2017,06:45,01-May-2017,07:00,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.4,86.0,,,,76.0,46.0,670.0,,,79.0,29.0,1.7,30.3,17.5,0.27,,17.1,,0.6,1.5,,0.0,,,0.0,,8.3,5.5,32.1,,0.0,,,,,,,
01-May-2017,07:00,01-May-2017,07:15,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",1.1,127.0,,,,75.0,49.0,670.0,,,79.0,29.0,2.7,33.8,20.2,0.27,,17.6,,0.6,1.5,,0.0,,,0.0,,7.4,5.5,32.0,,0.0,,,,,,,
