From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jun-2017,00:00,01-Jun-2017,00:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.37,100.33,,,27.53,70.33,13.0,740.0,,,572.0,156.0,160.67,98.9,307.6,3.63,,,,,,,,,,,,116.5,8.5,,,,,,,,,,
01-Jun-2017,00:15,01-Jun-2017,00:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.3,91.0,,,27.2,71.67,13.0,740.0,,,572.0,156.0,251.13,87.5,420.97,4.07,,,,,,,,,,,,110.33,10.37,,,,,,,,,,
01-Jun-2017,00:30,01-Jun-2017,00:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.53,192.0,,,26.97,72.33,13.0,740.0,,,572.0,156.0,270.13,97.93,456.1,3.43,,141.3,,,,,,,,,,104.73,9.6,,,,,,,,,,
01-Jun-2017,00:45,01-Jun-2017,01:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.63,265.67,,,27.17,70.33,12.67,740.0,,,704.0,170.67,185.4,95.57,338.33,2.53,,71.77,,,,,,,,,,104.37,7.7,,,,,,,,,,
01-Jun-2017,01:00,01-Jun-2017,01:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.8,256.0,,,27.17,69.0,13.0,740.0,,,770.0,178.0,164.8,92.37,307.3,2.8,,37.07,,,,,,,,,,99.33,6.87,,,,,,,,,,
01-Jun-2017,01:15,01-Jun-2017,01:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",1.13,263.0,,,27.03,69.0,12.67,740.0,,,770.0,178.0,114.53,96.93,242.77,2.33,,24.3,,,,,,,,,,99.73,6.57,,,,,,,,,,
01-Jun-2017,01:30,01-Jun-2017,01:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.53,296.67,,,26.87,69.33,12.33,740.0,,,770.0,178.0,75.87,85.83,180.07,2.3,,18.3,,,,,,,,,,101.77,6.1,,,,,,,,,,
01-Jun-2017,01:45,01-Jun-2017,02:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.33,159.67,,,26.83,70.0,12.67,740.0,,,504.0,124.67,65.53,87.77,167.7,2.23,,17.6,,,,,,,,,,94.73,5.4,,,,,,,,,,
01-Jun-2017,02:00,01-Jun-2017,02:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.5,91.0,,,26.7,70.0,13.0,739.33,,,371.0,98.0,68.63,90.2,174.1,2.2,,21.27,,,,,,,,,,98.1,4.67,,,,,,,,,,
01-Jun-2017,02:15,01-Jun-2017,02:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",0.87,109.67,,,26.8,70.0,13.0,739.0,,,371.0,98.0,57.3,79.5,149.07,2.1,,27.53,,,,,,,,,,103.17,5.13,,,,,,,,,,
