﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2017,00:00,01-Aug-2017,00:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,
01-Aug-2017,00:15,01-Aug-2017,00:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,
01-Aug-2017,00:30,01-Aug-2017,00:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.6,96.24,,,24.5,49.87,45.37,,,,28.15,,6.15,9.98,23.55,0.34,,,,,,,,,,,,,1.04,,,,,,,,,,
01-Aug-2017,00:45,01-Aug-2017,01:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.39,74.25,,,24.2,50.67,47.75,,,,26.35,,5.3,10.95,25.29,0.27,,,,,,,,,,,,,1.02,,,,,,,,,,
01-Aug-2017,01:00,01-Aug-2017,01:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.3,98.77,,,23.85,51.19,40.64,,,,26.18,,5.96,11.78,21.18,0.5,,,,,,,,,,,,,1.17,,,,,,,,,,
01-Aug-2017,01:15,01-Aug-2017,01:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.59,103.08,,,23.7,51.94,42.8,,,,26.18,,3.57,10.8,24.09,0.67,,,,,,,,,,,,,0.93,,,,,,,,,,
01-Aug-2017,01:30,01-Aug-2017,01:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",2.86,104.56,,,23.57,51.68,45.77,,,,26.18,,5.5,6.91,25.04,0.49,,,,,,,,,,,,,1.04,,,,,,,,,,
01-Aug-2017,01:45,01-Aug-2017,02:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.62,62.31,,,23.45,53.62,40.88,,,,27.07,,4.66,10.91,23.93,0.58,,,,,,,,,,,,,0.99,,,,,,,,,,
01-Aug-2017,02:00,01-Aug-2017,02:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.6,64.3,,,23.3,53.79,41.76,,,,27.14,,4.37,9.7,24.29,0.31,,,,,,,,,,,,,1.01,,,,,,,,,,
01-Aug-2017,02:15,01-Aug-2017,02:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.04,87.11,,,23.13,54.43,41.99,,,,27.14,,6.48,9.65,25.13,0.23,,,,,,,,,,,,,1.05,,,,,,,,,,
01-Aug-2017,02:30,01-Aug-2017,02:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.61,58.3,,,23.01,53.89,37.33,,,,27.14,,7.3,9.57,24.11,0.15,,,,,,,,,,,,,0.9,,,,,,,,,,
01-Aug-2017,02:45,01-Aug-2017,03:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.6,55.03,,,23.04,55.55,39.22,,,,15.06,,4.44,8.83,21.49,0.25,,,,,,,,,,,,,1.13,,,,,,,,,,
01-Aug-2017,03:00,01-Aug-2017,03:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",2.86,81.45,,,22.95,54.43,41.75,,,,14.2,,7.44,10.43,17.67,0.48,,,,,,,,,,,,,0.85,,,,,,,,,,
01-Aug-2017,03:15,01-Aug-2017,03:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.1,93.38,,,22.9,53.57,39.25,,,,14.2,,6.4,11.13,20.04,0.57,,,,,,,,,,,,,1.05,,,,,,,,,,
01-Aug-2017,03:30,01-Aug-2017,03:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.56,95.52,,,22.92,51.61,42.19,,,,14.2,,4.24,10.73,20.04,0.5,,,,,,,,,,,,,0.72,,,,,,,,,,
01-Aug-2017,03:45,01-Aug-2017,04:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.23,83.12,,,22.91,50.02,43.07,,,,21.96,,5.2,8.61,14.4,0.37,,,,,,,,,,,,,0.91,,,,,,,,,,
01-Aug-2017,04:00,01-Aug-2017,04:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.62,63.78,,,22.91,50.28,35.96,,,,22.51,,4.07,9.28,12.53,0.56,,,,,,,,,,,,,1.02,,,,,,,,,,
01-Aug-2017,04:15,01-Aug-2017,04:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.6,65.41,,,22.86,49.84,38.08,,,,22.51,,5.33,10.55,15.67,0.78,,,,,,,,,,,,,1.12,,,,,,,,,,
01-Aug-2017,04:30,01-Aug-2017,04:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",2.81,89.62,,,22.84,49.71,39.77,,,,22.51,,4.6,10.15,12.33,0.59,,,,,,,,,,,,,1.04,,,,,,,,,,
01-Aug-2017,04:45,01-Aug-2017,05:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.27,87.4,,,22.85,49.62,37.67,,,,15.7,,8.56,12.19,13.55,0.68,,,,,,,,,,,,,0.84,,,,,,,,,,
01-Aug-2017,05:00,01-Aug-2017,05:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.56,92.83,,,22.86,49.69,39.58,,,,15.21,,3.78,13.27,15.22,0.38,,,,,,,,,,,,,0.7,,,,,,,,,,
01-Aug-2017,05:15,01-Aug-2017,05:30,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.22,81.32,,,22.81,50.13,41.29,,,,15.21,,5.9,13.04,12.47,0.29,,,,,,,,,,,,,1.02,,,,,,,,,,
01-Aug-2017,05:30,01-Aug-2017,05:45,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.62,59.78,,,22.77,49.88,36.27,,,,15.21,,5.53,11.91,11.84,0.26,,,,,,,,,,,,,0.88,,,,,,,,,,
01-Aug-2017,05:45,01-Aug-2017,06:00,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.59,61.07,,,22.79,49.99,40.26,,,,9.84,,5.84,14.35,10.73,0.42,,,,,,,,,,,,,0.86,,,,,,,,,,
01-Aug-2017,06:00,01-Aug-2017,06:15,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",3.07,82.93,,,22.81,50.26,42.45,,,,9.46,,3.97,11.45,7.22,0.58,,,,,,,,,,,,,0.85,,,,,,,,,,
