﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2017,00:00,01-Aug-2017,00:15,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,
01-Aug-2017,00:15,01-Aug-2017,00:30,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.12,283.0,,,,99.7,10.0,,,,,21.0,21.6,20.0,25.3,,,,,,,,,,,,,37.8,,26.2,,0.0,,,,,,,
01-Aug-2017,00:30,01-Aug-2017,00:45,Delhi,Delhi,"Sirifort, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2017,00:45,01-Aug-2017,01:00,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.07,276.0,,,,99.7,10.0,,,,,20.0,29.0,20.3,31.5,,,,,,,,,,,,,38.0,,26.2,,0.0,,,,,,,
01-Aug-2017,01:00,01-Aug-2017,01:15,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.0,29.0,,,,99.7,10.0,,,,,11.0,28.9,17.0,29.6,,,,,,,,,,,,,37.2,,26.2,,0.0,,,,,,,
01-Aug-2017,01:15,01-Aug-2017,01:30,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.18,275.0,,,,99.7,10.0,,,,,11.0,23.9,18.6,26.5,,,,,,,,,,,,,36.2,,26.2,,0.0,,,,,,,
01-Aug-2017,01:30,01-Aug-2017,01:45,Delhi,Delhi,"Sirifort, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2017,01:45,01-Aug-2017,02:00,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.18,273.0,,,,99.8,10.0,,,,,11.0,22.3,15.0,23.3,,,,,,,,,,,,,35.0,,26.2,,0.0,,,,,,,
01-Aug-2017,02:00,01-Aug-2017,02:15,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.22,289.0,,,,99.8,9.0,,,,,12.0,21.3,15.0,22.5,,,,,,,,,,,,,34.8,,26.2,,0.0,,,,,,,
01-Aug-2017,02:15,01-Aug-2017,02:30,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.04,249.0,,,,99.8,9.0,,,,,12.0,16.6,13.0,17.7,,,,,,,,,,,,,33.5,,26.2,,0.0,,,,,,,
01-Aug-2017,02:30,01-Aug-2017,02:45,Delhi,Delhi,"Sirifort, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2017,02:45,01-Aug-2017,03:00,Delhi,Delhi,"Sirifort, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2017,03:00,01-Aug-2017,03:15,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.1,278.0,,,,99.8,10.0,,,,,13.0,11.7,11.5,13.0,,,,,,,,,,,,,32.5,,26.1,,0.0,,,,,,,
01-Aug-2017,03:15,01-Aug-2017,03:30,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.13,280.0,,,,99.8,10.0,,,,,13.0,12.6,12.2,14.1,,,,,,,,,,,,,32.2,,26.2,,0.0,,,,,,,
01-Aug-2017,03:30,01-Aug-2017,03:45,Delhi,Delhi,"Sirifort, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2017,03:45,01-Aug-2017,04:00,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.09,261.0,,,,99.8,10.0,,,,,14.0,14.9,12.8,16.2,,,,,,,,,,,,,32.4,,26.2,,0.0,,,,,,,
01-Aug-2017,04:00,01-Aug-2017,04:15,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.13,272.0,,,,99.8,10.0,,,,,19.0,13.8,12.7,15.3,,,,,,,,,,,,,32.7,,26.2,,0.0,,,,,,,
01-Aug-2017,04:15,01-Aug-2017,04:30,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.14,274.0,,,,99.8,10.0,,,,,19.0,13.4,11.9,14.6,,,,,,,,,,,,,31.9,,26.2,,0.0,,,,,,,
01-Aug-2017,04:30,01-Aug-2017,04:45,Delhi,Delhi,"Sirifort, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2017,04:45,01-Aug-2017,05:00,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.2,280.0,,,,99.8,9.0,,,,,19.0,16.4,12.4,16.8,,,,,,,,,,,,,32.1,,26.2,,0.0,,,,,,,
01-Aug-2017,05:00,01-Aug-2017,05:15,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.23,275.0,,,,99.8,9.0,,,,,17.0,23.9,14.2,23.0,,,,,,,,,,,,,33.5,,26.1,,0.0,,,,,,,
01-Aug-2017,05:15,01-Aug-2017,05:30,Delhi,Delhi,"Sirifort, Delhi - CPCB",0.18,271.0,,,,99.8,9.0,,,,,17.0,25.7,14.8,25.5,,,,,,,,,,,,,33.9,,25.9,,0.0,,,,,,,
01-Aug-2017,05:30,01-Aug-2017,05:45,Delhi,Delhi,"Sirifort, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
