﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2017,00:00,01-Aug-2017,00:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.55,749.7,,10.56,43.56,30.3,,0.0,127.55,0.53,0.99,0.0,,,30.46,6.09,,4.46,7.28
01-Aug-2017,00:15,01-Aug-2017,00:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.55,749.6,,10.56,41.61,30.3,,0.0,138.4,0.55,1.03,0.0,,,30.47,6.79,,1.46,7.07
01-Aug-2017,00:30,01-Aug-2017,00:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.56,749.6,,10.03,41.62,31.9,,0.0,153.86,0.45,0.84,0.0,,,30.46,6.9,,3.44,5.81
01-Aug-2017,00:45,01-Aug-2017,01:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.65,749.5,,10.02,41.62,32.0,,0.0,122.29,0.53,0.83,0.0,,,30.33,5.33,,1.83,7.86
01-Aug-2017,01:00,01-Aug-2017,01:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.66,749.4,,10.02,41.63,32.0,,0.0,136.32,0.32,0.83,0.0,,,30.19,5.04,,15.23,7.73
01-Aug-2017,01:15,01-Aug-2017,01:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.82,749.3,,10.02,41.62,32.0,,0.0,205.18,0.55,0.76,0.0,,,30.28,4.94,,3.73,8.06
01-Aug-2017,01:30,01-Aug-2017,01:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.94,749.1,,17.23,41.62,32.0,,0.0,213.13,0.61,0.79,0.0,,,30.09,3.93,,3.82,8.52
01-Aug-2017,01:45,01-Aug-2017,02:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",27.08,748.9,,17.48,41.63,32.0,,0.0,203.58,0.46,0.72,0.0,,,30.16,2.9,,2.53,7.87
01-Aug-2017,02:00,01-Aug-2017,02:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",27.05,748.8,,17.48,41.62,32.0,,0.0,198.62,0.54,0.57,0.0,,,30.21,1.73,,9.58,7.59
01-Aug-2017,02:15,01-Aug-2017,02:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.99,748.6,,17.48,41.63,31.9,,0.0,190.65,0.48,0.55,0.0,,,30.31,1.45,,16.06,7.67
01-Aug-2017,02:30,01-Aug-2017,02:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",27.02,748.5,,12.11,41.63,31.3,,0.0,165.49,0.55,0.64,0.0,,,30.4,2.45,,35.15,6.95
01-Aug-2017,02:45,01-Aug-2017,03:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",27.03,748.5,,11.92,41.62,32.0,,0.0,181.29,0.56,0.59,0.0,,,30.34,3.38,,13.88,6.91
01-Aug-2017,03:00,01-Aug-2017,03:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",27.03,748.5,,11.92,41.63,32.0,,0.0,215.92,0.63,0.66,0.0,,,30.43,3.02,,10.5,7.73
01-Aug-2017,03:15,01-Aug-2017,03:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",27.05,748.5,,11.92,41.62,31.9,,0.0,200.4,0.55,0.6,0.0,,,30.19,3.13,,8.92,6.66
01-Aug-2017,03:30,01-Aug-2017,03:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.98,748.5,,13.33,41.61,32.0,,0.0,239.68,0.42,0.65,0.0,,,30.19,2.12,,18.74,7.52
01-Aug-2017,03:45,01-Aug-2017,04:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.97,748.6,,13.38,41.62,32.0,,0.0,240.25,0.39,0.53,0.0,,,30.14,1.18,,12.07,5.95
01-Aug-2017,04:00,01-Aug-2017,04:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",27.03,748.6,,13.38,41.62,32.0,,0.0,202.34,0.78,1.03,0.0,,,30.21,0.43,,137.1,4.26
01-Aug-2017,04:15,01-Aug-2017,04:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",27.08,748.6,,13.38,41.61,32.0,,0.0,208.61,0.82,1.05,0.0,,,30.05,0.92,,30.37,5.74
01-Aug-2017,04:30,01-Aug-2017,04:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.99,748.6,,7.46,41.61,32.0,,0.0,214.46,0.85,1.09,0.0,,,30.16,1.31,,43.74,7.09
01-Aug-2017,04:45,01-Aug-2017,05:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.85,748.7,,7.26,41.61,32.0,,0.0,217.86,0.65,1.02,0.0,,,30.09,1.65,,24.09,5.84
01-Aug-2017,05:00,01-Aug-2017,05:15,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.81,748.7,,7.26,41.61,32.0,,0.0,208.74,0.62,1.23,0.0,,,30.17,2.46,,11.31,6.51
01-Aug-2017,05:15,01-Aug-2017,05:30,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.76,748.8,,7.26,41.61,32.0,,0.0,215.38,0.49,1.28,0.0,,,30.25,3.13,,23.7,6.0
01-Aug-2017,05:30,01-Aug-2017,05:45,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.74,748.8,,13.31,41.61,32.0,,0.0,227.89,0.86,1.37,0.0,,,30.47,3.34,,15.66,7.21
01-Aug-2017,05:45,01-Aug-2017,06:00,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",26.69,748.9,,13.52,41.62,32.0,,0.0,222.81,0.68,1.26,0.0,,,30.82,3.67,,35.72,6.38
