From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2017,00:00,01-Aug-2017,00:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",1.1,110.0,,,27.5,63.0,2.0,708.0,,,,34.0,10.9,40.4,30.4,0.46,,2.4,,1.7,45.43,,2.99,,,0.8,,,5.2,,,,,,,,,,
01-Aug-2017,00:15,01-Aug-2017,00:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",1.1,183.0,,,27.5,63.0,2.0,708.0,,,,34.0,6.6,35.3,24.2,0.44,,2.7,,1.7,36.23,,2.39,,,0.79,,,4.5,,,,,,,,,,
01-Aug-2017,00:30,01-Aug-2017,00:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",1.7,134.0,,,27.5,63.0,2.0,708.0,,,,34.0,3.4,32.3,20.1,0.32,,3.7,,0.7,21.45,,1.0,,,0.79,,,3.4,,,,,,,,,,
01-Aug-2017,00:45,01-Aug-2017,01:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",1.6,143.0,,,27.4,63.0,2.0,708.0,,,,38.0,4.2,31.4,20.2,0.21,,6.9,,1.2,21.79,,0.0,,,0.79,,,3.7,,,,,,,,,,
01-Aug-2017,01:00,01-Aug-2017,01:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",2.0,133.0,,,27.4,63.0,2.0,708.0,,,,38.0,2.2,19.2,12.1,0.16,,9.4,,0.9,15.68,,0.0,,,0.78,,,3.4,,,,,,,,,,
01-Aug-2017,01:15,01-Aug-2017,01:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",1.8,148.0,,,27.3,64.0,2.0,708.0,,,,38.0,1.1,18.2,10.6,0.17,,12.2,,0.0,6.94,,0.0,,,0.8,,,4.7,,,,,,,,,,
01-Aug-2017,01:30,01-Aug-2017,01:45,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",2.2,168.0,,,27.1,65.0,2.0,708.0,,,,38.0,1.2,16.4,9.7,0.16,,13.1,,0.0,4.49,,0.0,,,0.8,,,5.0,,,,,,,,,,
01-Aug-2017,01:45,01-Aug-2017,02:00,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",2.4,124.0,,,26.8,66.0,2.0,708.0,,,,15.0,1.4,13.5,8.4,0.15,,15.3,,0.0,4.86,,0.0,,,0.81,,,4.7,,,,,,,,,,
01-Aug-2017,02:00,01-Aug-2017,02:15,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",2.1,139.0,,,26.6,66.0,2.0,707.0,,,,15.0,1.5,15.0,9.1,0.16,,13.3,,0.0,5.54,,0.0,,,0.81,,,5.0,,,,,,,,,,
01-Aug-2017,02:15,01-Aug-2017,02:30,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",2.0,161.0,,,26.4,67.0,2.0,708.0,,,,15.0,1.1,15.0,9.0,0.15,,12.3,,0.0,4.64,,0.0,,,0.79,,,3.9,,,,,,,,,,
