﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2017,00:00,01-Aug-2017,00:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.9,766.5,127.7,55.2,91.76,26.6,,0.73,144.21,1.09,0.02,0.0,,22.38,23.75,14.87,,9.59,3.56
01-Aug-2017,00:15,01-Aug-2017,00:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.85,766.5,127.7,55.2,91.82,26.5,,0.61,156.69,1.08,0.0,0.0,,22.22,24.21,15.0,,8.97,2.95
01-Aug-2017,00:30,01-Aug-2017,00:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.72,766.5,127.7,55.2,92.19,26.3,,0.48,146.61,1.06,0.0,0.0,,22.4,24.47,15.86,,8.9,3.23
01-Aug-2017,00:45,01-Aug-2017,01:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.66,766.5,127.7,55.2,92.83,26.4,,0.16,158.1,1.06,0.0,0.0,,22.75,24.54,16.52,,9.2,3.25
01-Aug-2017,01:00,01-Aug-2017,01:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Aug-2017,01:15,01-Aug-2017,01:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.49,766.5,126.1,39.1,93.62,26.7,,0.0,154.09,1.09,0.11,0.0,,22.61,24.72,15.45,,8.88,5.62
01-Aug-2017,01:30,01-Aug-2017,01:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.46,766.5,126.1,39.1,93.98,26.9,,0.0,157.02,1.12,0.08,0.0,,22.53,23.93,15.16,,9.32,3.88
01-Aug-2017,01:45,01-Aug-2017,02:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.4,766.5,126.1,39.1,93.75,26.3,,0.0,157.64,1.11,0.03,0.0,,22.47,24.37,15.15,,8.81,2.11
01-Aug-2017,02:00,01-Aug-2017,02:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.32,766.5,116.1,32.1,93.96,26.3,,0.0,152.32,1.09,0.01,0.0,,22.03,24.37,14.48,,8.77,2.08
01-Aug-2017,02:15,01-Aug-2017,02:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Aug-2017,02:30,01-Aug-2017,02:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Aug-2017,02:45,01-Aug-2017,03:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Aug-2017,03:00,01-Aug-2017,03:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.24,766.5,109.3,42.8,95.04,26.4,,0.0,140.93,1.1,0.0,0.0,,20.58,24.69,10.05,,9.12,0.95
01-Aug-2017,03:15,01-Aug-2017,03:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.25,766.5,109.3,42.8,95.02,27.3,,0.0,145.01,1.08,0.01,0.0,,20.37,24.38,10.53,,9.81,5.61
01-Aug-2017,03:30,01-Aug-2017,03:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.28,766.5,109.3,42.8,94.75,26.8,,0.0,142.08,1.08,0.02,0.0,,20.45,24.13,11.14,,10.5,4.22
01-Aug-2017,03:45,01-Aug-2017,04:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.3,766.5,109.3,42.8,94.16,26.6,,0.0,142.19,1.12,0.03,0.0,,20.41,24.51,10.4,,10.12,4.26
01-Aug-2017,04:00,01-Aug-2017,04:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.3,766.5,85.5,31.9,94.11,26.4,,0.0,143.92,1.12,0.13,0.0,,20.61,24.98,10.8,,10.23,5.91
01-Aug-2017,04:15,01-Aug-2017,04:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.3,766.5,85.5,31.9,94.06,26.3,,0.0,141.68,1.12,0.13,0.0,,20.23,23.92,9.85,,10.14,5.54
01-Aug-2017,04:30,01-Aug-2017,04:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.27,766.5,85.5,31.9,94.18,26.3,,0.0,142.71,1.13,0.04,0.0,,19.69,24.52,9.37,,11.73,4.97
01-Aug-2017,04:45,01-Aug-2017,05:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.25,766.5,85.5,31.9,94.39,26.3,,0.0,144.48,1.11,0.01,0.0,,19.24,25.03,8.64,,13.77,4.8
01-Aug-2017,05:00,01-Aug-2017,05:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.29,766.5,79.7,38.2,94.14,26.3,,0.0,143.85,1.11,0.01,0.0,,18.98,25.1,7.84,,14.61,1.22
01-Aug-2017,05:15,01-Aug-2017,05:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.29,766.5,79.7,38.2,94.05,26.5,,0.0,143.46,1.1,0.09,0.0,,19.16,24.82,7.63,,14.31,6.39
01-Aug-2017,05:30,01-Aug-2017,05:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.24,766.5,79.7,38.2,94.3,28.5,,0.0,145.77,1.1,0.06,0.0,,19.24,24.59,8.02,,13.66,5.63
01-Aug-2017,05:45,01-Aug-2017,06:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.23,766.5,79.7,38.2,94.22,27.5,,0.0,153.15,1.13,0.14,0.0,,19.56,25.03,9.02,,13.21,2.53
01-Aug-2017,06:00,01-Aug-2017,06:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.21,766.5,117.3,46.6,94.24,30.6,,0.0,146.72,1.1,0.17,0.0,,19.53,25.05,9.4,,12.64,2.67
01-Aug-2017,06:15,01-Aug-2017,06:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",23.24,766.5,117.3,46.6,94.06,30.6,,0.0,144.42,1.1,0.22,0.0,,20.08,24.74,9.61,,12.87,3.85
01-Aug-2017,06:30,01-Aug-2017,06:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Aug-2017,06:45,01-Aug-2017,07:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Aug-2017,07:00,01-Aug-2017,07:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Aug-2017,07:15,01-Aug-2017,07:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Aug-2017,07:30,01-Aug-2017,07:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,
