﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2017,00:00,01-Aug-2017,00:15,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,110.1,,,,28.19,,,,0.55,,,,80.2,8.2,87.3,4.35,16.55
01-Aug-2017,00:15,01-Aug-2017,00:30,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,100.9,,,,28.11,,,,0.53,,,,77.0,10.6,84.5,3.43,14.01
01-Aug-2017,00:30,01-Aug-2017,00:45,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,100.9,,,,28.0,,,,0.62,,,,84.3,11.3,92.2,4.07,14.62
01-Aug-2017,00:45,01-Aug-2017,01:00,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,100.9,,,,27.95,,,,0.54,,,,84.6,7.6,91.3,4.33,14.8
01-Aug-2017,01:00,01-Aug-2017,01:15,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,101.8,,,,27.86,,,,0.61,,,,105.6,3.7,102.9,2.33,15.57
01-Aug-2017,01:15,01-Aug-2017,01:30,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,108.1,,,,27.78,,,,0.61,,,,90.6,16.5,107.0,1.92,15.98
01-Aug-2017,01:30,01-Aug-2017,01:45,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,108.1,,,,27.78,,,,0.7,,,,91.6,11.9,101.4,2.19,15.77
01-Aug-2017,01:45,01-Aug-2017,02:00,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,108.1,,,,27.83,,,,0.69,,,,103.5,7.7,108.6,2.46,17.12
01-Aug-2017,02:00,01-Aug-2017,02:15,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,107.5,,,,27.9,,,,0.59,,,,89.4,8.1,93.4,2.34,16.72
01-Aug-2017,02:15,01-Aug-2017,02:30,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,103.3,,,,27.91,,,,0.65,,,,94.8,16.0,110.5,2.72,16.51
01-Aug-2017,02:30,01-Aug-2017,02:45,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,103.3,,,,28.01,,,,0.53,,,,81.3,4.9,82.5,3.25,15.73
01-Aug-2017,02:45,01-Aug-2017,03:00,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,103.3,,,,28.01,,,,0.5,,,,92.3,10.4,100.2,2.46,15.24
01-Aug-2017,03:00,01-Aug-2017,03:15,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,102.4,,,,27.93,,,,0.53,,,,97.6,16.1,113.4,2.28,16.65
01-Aug-2017,03:15,01-Aug-2017,03:30,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,95.6,,,,27.8,,,,0.54,,,,78.6,6.3,79.7,2.33,17.1
01-Aug-2017,03:30,01-Aug-2017,03:45,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,95.6,,,,27.68,,,,0.53,,,,91.5,19.1,110.4,1.85,16.07
01-Aug-2017,03:45,01-Aug-2017,04:00,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,95.6,,,,27.75,,,,0.53,,,,82.6,16.8,98.2,2.85,15.21
01-Aug-2017,04:00,01-Aug-2017,04:15,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,95.1,,,,27.79,,,,0.6,,,,73.2,12.4,84.1,3.15,16.03
01-Aug-2017,04:15,01-Aug-2017,04:30,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",,,91.0,,,,27.7,,,,0.57,,,,64.2,15.4,75.9,4.18,14.65
