From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2017,00:00,01-Aug-2017,00:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.38,168.27,,,25.46,74.38,0.02,750.8,,,59.0,18.0,13.67,30.91,44.58,1.43,,3.96,,0.0,0.14,0.0,,,,5.0,,,21.31,,3.41,0.0,,,0.3,,,,
01-Aug-2017,00:15,01-Aug-2017,00:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.4,153.35,,,25.39,74.28,0.01,750.67,,,59.0,18.0,13.78,30.71,44.48,1.36,,4.61,,0.0,0.1,0.0,,,,5.0,,,21.41,,3.22,0.0,,,0.35,,,,
01-Aug-2017,00:30,01-Aug-2017,00:45,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.57,155.44,,,25.17,74.78,0.03,750.59,,,59.0,18.0,13.55,31.29,44.83,1.32,,4.5,,0.0,0.11,0.0,,,,5.0,,,21.37,,3.07,0.0,,,0.29,,,,
01-Aug-2017,00:45,01-Aug-2017,01:00,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.53,155.0,,,24.94,75.58,0.05,750.45,,,61.28,18.55,12.86,30.65,43.52,1.28,,3.96,,0.0,0.06,0.0,,,,5.0,,,21.53,,2.84,0.0,,,0.3,,,,
01-Aug-2017,01:00,01-Aug-2017,01:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.11,207.74,,,24.83,76.26,0.01,750.35,,,77.0,23.0,12.36,29.11,41.48,1.27,,3.64,,0.0,0.0,0.0,,,,5.0,,,21.55,,2.67,0.0,,,0.3,,,,
01-Aug-2017,01:15,01-Aug-2017,01:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.34,163.43,,,24.82,76.39,0.0,750.21,,,77.0,23.0,12.68,30.78,43.47,1.23,,4.63,,0.0,0.03,0.0,,,,5.0,,,21.64,,2.61,0.0,,,0.15,,,,
01-Aug-2017,01:30,01-Aug-2017,01:45,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.65,155.63,,,24.61,76.93,0.04,750.19,,,77.0,23.0,12.77,32.93,45.69,1.21,,3.96,,0.0,0.04,0.0,,,,5.0,,,21.67,,2.56,0.0,,,0.17,,,,
01-Aug-2017,01:45,01-Aug-2017,02:00,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.46,130.51,,,24.41,77.65,0.04,750.2,,,74.47,22.61,12.61,33.34,45.94,1.16,,3.97,,0.0,0.0,0.0,,,,5.0,,,21.73,,2.4,0.0,,,0.19,,,,
01-Aug-2017,02:00,01-Aug-2017,02:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.49,136.82,,,24.31,78.21,0.02,750.12,,,55.0,19.0,11.64,27.75,39.38,1.12,,4.04,,0.0,0.0,0.0,,,,5.0,,,21.34,,2.31,0.0,,,0.11,,,,
01-Aug-2017,02:15,01-Aug-2017,02:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.58,132.96,,,24.37,78.72,0.02,750.13,,,55.0,19.0,11.06,26.67,37.73,1.07,,3.89,,0.0,0.0,0.0,,,,5.0,,,21.25,,2.19,0.0,,,0.07,,,,
01-Aug-2017,02:30,01-Aug-2017,02:45,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.28,121.04,,,24.3,79.07,0.0,750.07,,,55.0,19.0,10.74,26.96,37.69,1.03,,4.22,,0.0,0.0,0.0,,,,5.0,,,21.24,,2.19,0.0,,,0.16,,,,
01-Aug-2017,02:45,01-Aug-2017,03:00,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.39,120.17,,,24.23,79.52,0.01,749.98,,,54.54,18.61,9.9,26.83,36.73,1.03,,3.61,,0.0,0.0,0.0,,,,5.0,,,21.23,,2.23,0.0,,,0.4,,,,
01-Aug-2017,03:00,01-Aug-2017,03:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.37,113.87,,,24.2,79.95,0.02,750.07,,,51.0,15.0,9.77,24.37,34.13,1.01,,3.45,,0.0,0.0,0.0,,,,5.0,,,21.34,,2.02,0.0,,,0.31,,,,
01-Aug-2017,03:15,01-Aug-2017,03:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.49,140.78,,,24.29,80.18,0.0,750.16,,,51.0,15.0,9.92,24.57,34.51,0.99,,4.28,,0.0,0.0,0.0,,,,5.0,,,21.52,,1.71,0.0,,,0.1,,,,
01-Aug-2017,03:30,01-Aug-2017,03:45,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.51,131.0,,,24.32,80.15,0.04,750.07,,,51.0,15.0,10.36,25.99,36.34,0.96,,4.26,,0.0,0.0,0.0,,,,5.0,,,21.41,,1.71,0.0,,,0.04,,,,
01-Aug-2017,03:45,01-Aug-2017,04:00,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.51,121.01,,,24.27,80.14,0.01,750.0,,,51.92,15.1,10.55,24.47,35.03,0.94,,3.76,,0.0,0.0,0.0,,,,5.0,,,21.37,,1.69,0.0,,,0.07,,,,
01-Aug-2017,04:00,01-Aug-2017,04:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.58,118.8,,,24.3,80.06,0.0,750.07,,,59.0,16.0,9.67,22.24,31.89,0.95,,3.66,,0.0,0.0,0.0,,,,5.0,,,21.38,,1.67,0.0,,,0.0,,,,
01-Aug-2017,04:15,01-Aug-2017,04:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.5,133.36,,,24.39,80.15,0.01,750.16,,,59.0,16.0,9.76,24.61,34.38,0.94,,3.95,,0.0,0.0,0.0,,,,5.0,,,21.47,,1.63,0.0,,,0.05,,,,
01-Aug-2017,04:30,01-Aug-2017,04:45,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.43,119.44,,,24.31,80.29,0.03,750.35,,,59.0,16.0,10.5,28.37,38.86,0.93,,2.9,,0.0,0.0,0.0,,,,5.0,,,21.55,,1.62,0.0,,,0.12,,,,
01-Aug-2017,04:45,01-Aug-2017,05:00,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",0.41,131.58,,,24.32,79.94,0.0,750.61,,,60.38,16.1,10.51,27.77,38.29,0.91,,4.37,,0.0,0.0,0.0,,,,5.0,,,21.6,,1.53,0.0,,,0.11,,,,
