﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2017,00:00,01-Sep-2017,00:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,37.67,6.95,20.96,24.08,45.04,1.75,199.31,25.08,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,00:15,01-Sep-2017,00:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,40.7,7.83,20.71,24.32,45.03,1.74,198.56,25.47,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,00:30,01-Sep-2017,00:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,23.91,17.0,20.96,24.09,45.05,1.75,,25.07,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,00:45,01-Sep-2017,01:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,2.86,,20.98,24.07,45.05,1.75,,25.05,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,01:00,01-Sep-2017,01:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,5.48,15.85,20.93,24.12,45.05,1.75,200.48,25.11,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,01:15,01-Sep-2017,01:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,8.5,17.94,21.33,23.76,45.08,1.77,199.15,24.51,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,01:30,01-Sep-2017,01:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,11.54,26.74,21.04,24.01,45.05,1.75,,24.94,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,01:45,01-Sep-2017,02:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,15.53,,20.92,24.12,45.04,1.75,,25.12,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,02:00,01-Sep-2017,02:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,13.26,12.61,21.28,23.8,45.08,1.76,199.86,24.57,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,02:15,01-Sep-2017,02:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,25.81,7.34,21.01,24.04,45.05,1.75,200.27,24.98,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,02:30,01-Sep-2017,02:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,35.11,12.52,20.91,24.13,45.04,1.75,,25.14,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,02:45,01-Sep-2017,03:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,42.72,15.68,21.02,24.03,45.05,1.75,,24.97,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,03:00,01-Sep-2017,03:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,33.54,14.41,20.94,24.11,45.05,1.75,199.96,25.09,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,03:15,01-Sep-2017,03:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,26.11,8.7,21.12,23.94,45.06,1.76,199.79,24.82,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,03:30,01-Sep-2017,03:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,38.81,15.77,20.92,24.13,,1.75,,25.13,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,03:45,01-Sep-2017,04:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,04:00,01-Sep-2017,04:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,35.96,15.84,20.74,24.28,45.03,1.74,200.93,25.41,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,04:15,01-Sep-2017,04:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,34.76,21.22,20.86,24.18,45.03,1.74,200.71,25.22,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,04:30,01-Sep-2017,04:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,46.46,15.5,20.79,24.24,45.04,1.74,,25.33,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,04:45,01-Sep-2017,05:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,39.78,16.04,20.93,24.11,45.04,1.75,,25.11,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,05:00,01-Sep-2017,05:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,32.1,20.41,21.2,23.87,45.07,1.76,199.54,24.7,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,05:15,01-Sep-2017,05:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,33.52,16.76,21.16,23.91,45.07,1.76,198.91,24.76,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,05:30,01-Sep-2017,05:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,34.63,14.02,21.03,24.02,,1.75,,24.97,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,05:45,01-Sep-2017,06:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,06:00,01-Sep-2017,06:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,19.13,16.1,21.16,23.9,45.07,1.76,199.6,24.75,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,06:15,01-Sep-2017,06:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,33.33,13.72,20.93,24.12,45.04,1.75,200.3,25.12,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,06:30,01-Sep-2017,06:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,32.43,13.35,21.44,23.66,,1.77,,24.34,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,06:45,01-Sep-2017,07:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,07:00,01-Sep-2017,07:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,20.58,64.11,20.88,24.16,45.04,1.74,200.49,25.19,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,07:15,01-Sep-2017,07:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,26.86,47.4,20.96,24.09,45.04,1.75,200.58,25.07,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,07:30,01-Sep-2017,07:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,28.53,14.47,20.82,24.22,,1.74,,25.29,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,07:45,01-Sep-2017,08:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,08:00,01-Sep-2017,08:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,11.4,0.0,20.82,24.22,45.03,1.74,200.69,25.29,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,08:15,01-Sep-2017,08:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,16.73,2.06,20.86,24.17,45.03,1.74,200.78,25.22,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,08:30,01-Sep-2017,08:45,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,26.84,7.28,20.86,24.18,,1.74,,25.22,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,08:45,01-Sep-2017,09:00,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,09:00,01-Sep-2017,09:15,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,27.02,12.82,21.35,23.74,45.09,1.77,199.04,24.47,,,,,,,,,,,,,,,,,,,,,
01-Sep-2017,09:15,01-Sep-2017,09:30,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,,,,,,,,,,26.85,8.12,21.09,23.97,45.05,1.75,200.13,24.86,,,,,,,,,,,,,,,,,,,,,
