﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2011,00:00,01-Dec-2011,00:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,,,,,,,,,,,39.3,560.67,106.52,,7.64,,117.03,,35.81,260.6,,,,,,,,19.85,,-58.86,,,,,,,,
01-Dec-2011,00:15,01-Dec-2011,00:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,240.47,,,,418.88,,987.47,,,,35.56,582.11,109.86,,7.06,,302.2,,25.36,253.19,,,,,,,,23.2,14.79,-58.86,,,,,,,,
01-Dec-2011,00:30,01-Dec-2011,00:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,240.47,,,,416.65,,987.48,,,,35.84,765.41,122.77,,7.2,,302.2,,28.75,249.67,,,,,,,,20.43,14.67,-58.86,,,,,,,,
01-Dec-2011,00:45,01-Dec-2011,01:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.05,222.58,,,,397.21,,987.39,,,,35.98,666.05,110.24,,6.78,,302.2,,22.02,231.52,,,,,,,,17.68,14.61,-58.86,,,,,,,,
01-Dec-2011,01:00,01-Dec-2011,01:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.01,202.56,,,,396.54,,987.41,,,,34.53,667.43,109.05,,6.48,,302.2,,36.8,227.14,,,,,,,,19.02,14.22,-58.86,,,,,,,,
01-Dec-2011,01:15,01-Dec-2011,01:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.04,202.65,,,,407.99,,987.35,,,,37.94,674.55,102.9,,6.59,,302.2,,30.81,210.39,,,,,,,,17.07,14.15,-58.86,,,,,,,,
01-Dec-2011,01:30,01-Dec-2011,01:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.04,203.48,,,,410.2,,987.33,,,,37.94,744.12,98.03,,6.51,,302.2,,28.1,211.36,,,,,,,,13.45,14.01,-58.86,,,,,,,,
01-Dec-2011,01:45,01-Dec-2011,02:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.16,225.08,,,,388.52,,987.31,,,,26.7,561.44,75.4,,5.97,,302.2,,23.15,193.25,,,,,,,,13.07,13.87,-58.86,,,,,,,,
01-Dec-2011,02:00,01-Dec-2011,02:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.05,216.56,,,,391.3,,987.22,,,,28.28,521.21,77.56,,5.58,,302.2,,23.35,200.7,,,,,,,,15.02,13.7,-58.86,,,,,,,,
01-Dec-2011,02:15,01-Dec-2011,02:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.01,216.57,,,,397.54,,987.1,,,,30.97,608.55,87.04,,5.53,,302.2,,15.58,193.35,,,,,,,,17.01,13.64,-12.76,,,,,,,,
01-Dec-2011,02:30,01-Dec-2011,02:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.04,216.57,,,,395.72,,987.09,,,,34.8,601.8,81.99,,5.48,,302.2,,33.22,164.07,,,,,,,,13.02,13.56,5.59,,,,,,,,
01-Dec-2011,02:45,01-Dec-2011,03:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.03,216.56,,,,367.71,,987.02,,,,30.34,397.18,75.11,,4.63,,302.2,,22.32,153.99,,,,,,,,15.28,13.38,-64.01,,,,,,,,
01-Dec-2011,03:00,01-Dec-2011,03:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.01,216.56,,,,358.77,,986.94,,,,27.42,467.78,78.43,,4.61,,302.2,,25.03,136.35,,,,,,,,17.34,13.31,-55.96,,,,,,,,
01-Dec-2011,03:15,01-Dec-2011,03:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.01,216.57,,,,352.57,,986.93,,,,28.75,332.49,70.75,,4.11,,302.2,,19.7,127.64,,,,,,,,14.83,13.3,-55.96,,,,,,,,
01-Dec-2011,03:30,01-Dec-2011,03:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.05,216.56,,,,306.52,,986.89,,,,26.44,331.71,74.55,,4.0,,301.9,,24.71,144.91,,,,,,,,15.95,13.33,-55.96,,,,,,,,
01-Dec-2011,03:45,01-Dec-2011,04:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.02,216.51,,,,361.43,,987.0,,,,27.93,335.1,76.35,,4.23,,301.5,,12.39,148.32,,,,,,,,22.97,13.28,-55.96,,,,,,,,
01-Dec-2011,04:00,01-Dec-2011,04:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,203.91,,,,375.35,,987.1,,,,29.54,359.19,80.69,,4.8,,301.5,,21.73,150.17,,,,,,,,20.74,13.35,-79.59,,,,,,,,
01-Dec-2011,04:15,01-Dec-2011,04:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.02,240.23,,,,378.33,,987.25,,,,36.54,366.06,75.8,,4.65,,301.5,,23.53,160.24,,,,,,,,24.08,13.4,-42.91,,,,,,,,
01-Dec-2011,04:30,01-Dec-2011,04:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.01,233.49,,,,365.69,,987.22,,,,37.12,385.44,77.18,,4.18,,301.5,,21.54,147.04,,,,,,,,16.79,13.23,-42.91,,,,,,,,
01-Dec-2011,04:45,01-Dec-2011,05:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.06,223.35,,,,358.32,,987.31,,,,32.89,369.53,72.58,,4.09,,301.5,,11.2,162.69,,,,,,,,14.42,13.0,-59.21,,,,,,,,
01-Dec-2011,05:00,01-Dec-2011,05:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.18,218.59,,,,360.24,,987.55,,,,31.61,309.5,64.82,,4.29,,301.5,,25.83,162.31,,,,,,,,15.51,13.12,-17.32,,,,,,,,
01-Dec-2011,05:15,01-Dec-2011,05:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.13,219.57,,,,379.79,,987.69,,,,33.9,359.38,64.63,,4.59,,301.5,,33.34,186.18,,,,,,,,15.66,13.14,-17.32,,,,,,,,
01-Dec-2011,05:30,01-Dec-2011,05:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.29,222.07,,,,424.99,,987.83,,,,37.1,375.54,64.17,,5.36,,301.5,,42.81,226.83,,,,,,,,17.79,13.58,-17.32,,,,,,,,
01-Dec-2011,05:45,01-Dec-2011,06:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.11,215.39,,,,434.97,,987.94,,,,35.7,397.64,60.86,,5.1,,301.5,,48.64,221.54,,,,,,,,13.68,13.78,-56.55,,,,,,,,
01-Dec-2011,06:00,01-Dec-2011,06:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.08,215.1,,,,430.13,,988.03,,,,28.53,369.71,63.21,,5.36,,301.5,,47.67,239.85,,,,,,,,15.16,13.6,8.25,,,,,,,,
01-Dec-2011,06:15,01-Dec-2011,06:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.02,213.97,,,,426.18,,988.15,,,,37.71,488.65,63.79,,5.46,,301.5,,46.08,235.91,,,,,,,,10.46,13.38,8.25,,,,,,,,
01-Dec-2011,06:30,01-Dec-2011,06:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.0,212.38,,,,441.15,,988.39,,,,35.84,521.15,66.81,,5.63,,301.5,,37.73,236.46,,,,,,,,10.72,13.18,8.25,,,,,,,,
01-Dec-2011,06:45,01-Dec-2011,07:00,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.03,211.42,,,,444.2,,988.56,,,,33.43,572.57,68.57,,5.71,,301.5,,38.48,216.98,,,,,,,,9.89,13.07,-40.6,,,,,,,,
01-Dec-2011,07:00,01-Dec-2011,07:15,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.0,193.66,,,,445.98,,988.84,,,,41.14,711.08,77.05,,5.61,,301.5,,42.57,215.71,,,,,,,,10.55,13.2,-63.94,,,,,,,,
01-Dec-2011,07:15,01-Dec-2011,07:30,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",0.01,192.74,,,,458.67,,989.17,,,,32.11,765.69,77.0,,6.09,,301.5,,37.63,209.85,,,,,,,,6.12,13.5,-63.94,,,,,,,,
01-Dec-2011,07:30,01-Dec-2011,07:45,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",,192.81,,,,455.26,,989.42,,,,39.76,547.21,69.15,,5.15,,301.5,,36.56,224.94,,,,,,,,9.15,13.85,-65.46,,,,,,,,
