﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2017,00:00,01-Sep-2017,00:15,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.8,757.0,38.0,20.0,87.0,23.0,27.6,,144.0,1.1,0.87,,,,3.0,1.9,3.1,7.1,3.5
01-Sep-2017,00:15,01-Sep-2017,00:30,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.8,757.0,38.0,20.0,88.0,23.0,27.6,,73.0,1.0,0.96,,,,3.3,1.8,3.2,7.4,4.3
01-Sep-2017,00:30,01-Sep-2017,00:45,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.8,757.0,38.0,20.0,88.0,23.0,27.6,,275.0,1.1,0.81,,,,2.9,2.1,3.3,7.6,4.1
01-Sep-2017,00:45,01-Sep-2017,01:00,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.8,757.0,30.0,7.0,88.0,23.0,27.5,,84.0,1.2,0.95,,,,2.8,2.2,3.2,7.8,4.1
01-Sep-2017,01:00,01-Sep-2017,01:15,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.8,757.0,30.0,7.0,88.0,23.0,27.5,,92.0,1.2,0.88,,,,2.4,2.1,3.0,7.8,3.9
01-Sep-2017,01:15,01-Sep-2017,01:30,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.8,757.0,30.0,7.0,88.0,23.0,27.6,,134.0,1.6,0.89,,,,2.1,2.1,2.9,7.3,4.2
01-Sep-2017,01:30,01-Sep-2017,01:45,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.7,756.0,30.0,7.0,88.0,23.0,27.6,,106.0,1.2,0.87,,,,1.2,2.0,2.3,7.5,4.3
01-Sep-2017,01:45,01-Sep-2017,02:00,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.7,756.0,28.0,5.0,88.0,23.0,27.5,,65.0,1.9,0.86,,,,1.7,2.0,2.5,7.7,4.1
01-Sep-2017,02:00,01-Sep-2017,02:15,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.7,756.0,28.0,5.0,88.0,23.0,27.6,,55.0,1.5,0.96,,,,1.7,2.5,2.9,7.6,4.5
01-Sep-2017,02:15,01-Sep-2017,02:30,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.7,755.0,28.0,5.0,88.0,23.0,27.7,,87.0,1.2,0.78,,,,1.9,2.5,3.0,8.2,3.6
01-Sep-2017,02:30,01-Sep-2017,02:45,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.6,755.0,28.0,5.0,89.0,23.0,27.6,,122.0,1.5,0.93,,,,2.0,2.6,3.1,7.1,4.2
01-Sep-2017,02:45,01-Sep-2017,03:00,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.6,755.0,24.0,6.0,89.0,23.0,27.7,,138.0,1.6,0.86,,,,1.4,2.2,2.5,7.5,4.6
01-Sep-2017,03:00,01-Sep-2017,03:15,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.6,755.0,24.0,6.0,89.0,23.0,27.7,,115.0,1.5,0.89,,,,0.9,2.0,2.1,7.4,4.2
01-Sep-2017,03:15,01-Sep-2017,03:30,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.6,754.0,24.0,6.0,89.0,23.0,27.6,,130.0,1.2,0.85,,,,0.5,2.0,1.9,8.4,3.2
01-Sep-2017,03:30,01-Sep-2017,03:45,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",29.6,755.0,24.0,6.0,89.0,23.0,27.5,,146.0,1.3,0.86,,,,0.9,2.2,2.3,7.5,4.1
