﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2017,00:00,01-Oct-2017,00:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.77,737.0,155.0,36.33,83.33,5.0,,11.73,286.67,0.3,2.57,2.7,5.0,9.2,35.73,37.77,86.17,1.2,12.5
01-Oct-2017,00:15,01-Oct-2017,00:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.63,737.0,155.0,109.0,84.0,5.0,,12.33,283.0,0.3,2.63,2.9,5.1,9.57,35.87,39.7,89.0,1.83,6.67
01-Oct-2017,00:30,01-Oct-2017,00:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.6,737.0,155.0,109.0,84.0,5.0,,12.7,240.67,0.3,2.57,3.03,5.3,10.17,36.57,38.33,87.7,1.57,4.1
01-Oct-2017,00:45,01-Oct-2017,01:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.43,737.0,138.33,111.67,84.0,5.0,,12.87,280.33,0.3,2.23,3.23,5.27,10.0,36.1,36.2,84.2,1.7,3.7
01-Oct-2017,01:00,01-Oct-2017,01:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.4,737.0,130.0,113.0,84.33,5.0,,12.7,277.33,0.3,2.17,3.5,4.97,11.43,36.43,28.93,74.27,1.07,3.7
01-Oct-2017,01:15,01-Oct-2017,01:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.33,737.0,130.0,113.0,85.0,5.0,,12.63,280.67,0.3,2.2,3.6,4.83,11.0,35.4,23.43,65.63,1.3,2.97
01-Oct-2017,01:30,01-Oct-2017,01:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.3,737.0,130.0,113.0,85.0,5.0,,12.8,293.0,0.3,2.17,3.7,4.97,11.1,33.5,19.6,58.4,1.83,3.23
01-Oct-2017,01:45,01-Oct-2017,02:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.23,737.0,148.67,109.0,85.0,5.0,,12.6,284.0,0.3,1.83,3.5,4.87,11.33,31.5,17.07,53.03,1.37,2.4
01-Oct-2017,02:00,01-Oct-2017,02:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.17,737.0,158.0,107.0,85.67,5.0,,11.73,264.33,0.3,1.8,3.4,4.47,10.03,35.13,15.73,54.57,1.2,2.1
01-Oct-2017,02:15,01-Oct-2017,02:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.1,737.0,158.0,107.0,86.0,5.0,,11.4,289.33,0.3,1.87,3.4,4.2,10.13,32.67,14.87,51.03,1.3,2.7
01-Oct-2017,02:30,01-Oct-2017,02:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.23,737.0,158.0,107.0,86.0,5.0,,11.57,187.67,0.3,1.93,3.4,4.2,9.73,34.63,14.93,53.0,1.1,2.6
01-Oct-2017,02:45,01-Oct-2017,03:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.6,737.0,156.0,103.67,85.67,5.0,,11.3,166.0,0.3,1.73,3.27,4.07,9.0,35.07,21.67,62.8,1.43,3.1
01-Oct-2017,03:00,01-Oct-2017,03:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",19.37,737.0,155.0,102.0,84.0,5.0,,10.67,176.33,0.57,2.13,3.1,3.87,10.53,42.47,56.57,118.73,1.63,3.23
01-Oct-2017,03:15,01-Oct-2017,03:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",19.87,737.0,155.0,102.0,82.33,5.0,,10.37,175.0,0.47,2.27,3.1,3.67,9.4,43.5,67.73,135.6,1.77,4.7
01-Oct-2017,03:30,01-Oct-2017,03:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",19.23,737.0,155.0,102.0,83.0,5.0,,10.83,193.33,0.3,2.27,2.97,4.03,9.9,39.0,71.87,137.27,1.7,4.7
01-Oct-2017,03:45,01-Oct-2017,04:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.7,737.0,180.33,71.0,84.0,5.0,,10.77,235.0,0.3,1.83,2.77,4.27,10.23,35.8,70.67,132.63,1.1,4.3
01-Oct-2017,04:00,01-Oct-2017,04:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.33,737.0,193.0,111.0,84.67,5.0,,9.83,292.0,0.3,1.73,2.4,4.03,10.03,28.2,67.23,120.83,1.7,4.1
01-Oct-2017,04:15,01-Oct-2017,04:30,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.3,737.0,193.0,111.0,85.67,5.0,,9.33,249.67,0.3,1.57,2.3,3.7,8.67,26.77,57.97,106.4,1.43,5.2
01-Oct-2017,04:30,01-Oct-2017,04:45,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",18.13,737.0,193.0,111.0,86.0,5.0,,9.47,285.67,0.3,1.33,2.3,3.6,8.83,26.23,50.23,94.93,1.57,7.33
01-Oct-2017,04:45,01-Oct-2017,05:00,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",17.97,737.0,178.33,104.33,86.0,5.0,,9.03,289.0,0.3,0.97,2.17,3.33,8.87,23.8,47.63,89.07,1.57,8.2
01-Oct-2017,05:00,01-Oct-2017,05:15,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",17.87,737.0,171.0,101.0,86.67,5.0,,8.23,304.33,0.3,0.97,1.9,2.87,8.27,24.23,45.13,85.9,1.07,8.0
