﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2017,00:00,01-Oct-2017,00:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",23.9,716.0,76.0,49.0,85.0,16.0,28.4,2.6,0.0,0.3,0.58,0.2,,5.6,12.4,0.6,7.1,8.2,5.9
01-Oct-2017,00:15,01-Oct-2017,00:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",23.9,715.0,76.0,49.0,85.0,16.0,29.4,2.7,1.0,0.3,0.62,0.2,,5.8,12.6,0.4,7.0,6.4,5.8
01-Oct-2017,00:30,01-Oct-2017,00:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",23.8,716.0,76.0,49.0,85.0,16.0,30.0,2.8,0.0,0.3,0.63,0.2,,6.3,13.8,0.5,7.8,6.5,5.4
01-Oct-2017,00:45,01-Oct-2017,01:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",23.8,716.0,67.0,44.0,85.0,16.0,30.3,2.8,0.0,0.3,0.65,0.2,,6.6,14.3,0.8,8.2,7.9,5.5
01-Oct-2017,01:00,01-Oct-2017,01:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",23.7,716.0,67.0,44.0,85.0,16.0,30.3,2.8,0.0,0.3,0.71,0.2,,,14.3,0.7,8.2,7.9,5.6
01-Oct-2017,01:15,01-Oct-2017,01:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,85.0,16.0,0.0,0.0,0.0,0.7,0.0,0.0,,6.9,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,01:30,01-Oct-2017,01:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,85.0,16.0,0.0,0.0,0.0,0.5,0.0,0.0,,6.8,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,01:45,01-Oct-2017,02:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,85.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,6.9,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,02:00,01-Oct-2017,02:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,85.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,6.8,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,02:15,01-Oct-2017,02:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,86.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,6.6,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,02:30,01-Oct-2017,02:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,86.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,6.8,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,02:45,01-Oct-2017,03:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,7.3,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,03:00,01-Oct-2017,03:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,86.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,8.2,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,03:15,01-Oct-2017,03:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,86.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,7.8,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,03:30,01-Oct-2017,03:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,86.0,16.0,0.0,0.0,0.0,0.5,0.0,0.0,,6.3,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,03:45,01-Oct-2017,04:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.6,0.0,0.0,,6.3,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,04:00,01-Oct-2017,04:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,6.6,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,04:15,01-Oct-2017,04:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.4,0.0,0.0,,6.8,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,04:30,01-Oct-2017,04:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.6,0.0,0.0,,7.5,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,04:45,01-Oct-2017,05:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.9,0.0,0.0,,8.3,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,05:00,01-Oct-2017,05:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.8,0.0,0.0,,8.6,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,05:15,01-Oct-2017,05:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.6,0.0,0.0,,8.2,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,05:30,01-Oct-2017,05:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,716.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.6,0.0,0.0,,7.8,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,05:45,01-Oct-2017,06:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,7.4,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,06:00,01-Oct-2017,06:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,7.5,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,06:15,01-Oct-2017,06:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,715.0,0.0,0.0,87.0,16.0,0.0,0.0,0.0,0.3,0.0,0.0,,7.7,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,06:30,01-Oct-2017,06:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,714.0,0.0,0.0,87.0,26.0,0.0,0.0,0.0,0.3,0.0,0.0,,7.8,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,06:45,01-Oct-2017,07:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,714.0,0.0,0.0,87.0,47.0,0.0,0.0,0.0,0.3,0.0,0.0,,7.7,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,07:00,01-Oct-2017,07:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,713.0,0.0,0.0,86.0,82.0,0.0,0.0,0.0,0.3,0.0,0.0,,7.6,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,07:15,01-Oct-2017,07:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",24.7,713.0,69.0,40.0,84.0,95.0,27.7,3.3,209.0,0.4,0.5,0.1,,,8.4,2.1,6.2,13.2,6.7
01-Oct-2017,07:30,01-Oct-2017,07:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,713.0,0.0,0.0,82.0,117.0,0.0,0.0,0.0,0.4,0.0,0.0,,7.2,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,07:45,01-Oct-2017,08:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,712.0,0.0,0.0,80.0,193.0,0.0,0.0,0.0,0.8,0.0,0.0,,7.1,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,08:00,01-Oct-2017,08:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,712.0,0.0,0.0,77.0,197.0,0.0,0.0,0.0,0.8,0.0,0.0,,7.2,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,08:15,01-Oct-2017,08:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",26.6,712.0,70.0,48.0,75.0,179.0,29.8,3.1,200.0,1.0,0.58,0.1,,,9.2,2.1,6.6,23.6,7.2
01-Oct-2017,08:30,01-Oct-2017,08:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,713.0,0.0,0.0,76.0,148.0,0.0,0.0,0.0,1.3,0.0,0.0,,7.3,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,08:45,01-Oct-2017,09:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,713.0,0.0,0.0,75.0,167.0,0.0,0.0,0.0,1.4,0.0,0.0,,7.7,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,09:00,01-Oct-2017,09:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,712.0,0.0,0.0,73.0,206.0,0.0,0.0,0.0,1.3,0.0,0.0,,7.7,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,09:15,01-Oct-2017,09:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,712.0,0.0,0.0,71.0,199.0,0.0,0.0,0.0,1.3,0.0,0.0,,7.5,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,09:30,01-Oct-2017,09:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,711.0,0.0,0.0,69.0,318.0,0.0,0.0,0.0,1.4,0.0,0.0,,7.4,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,09:45,01-Oct-2017,10:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,710.0,0.0,0.0,64.0,392.0,0.0,0.0,0.0,1.4,0.0,0.0,,7.4,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,10:00,01-Oct-2017,10:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",28.6,710.0,93.0,57.0,63.0,404.0,31.6,2.9,79.0,1.7,34.93,0.1,,,6.9,0.4,4.0,52.0,6.8
01-Oct-2017,10:15,01-Oct-2017,10:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,711.0,0.0,0.0,66.0,303.0,0.0,0.0,0.0,1.5,0.0,0.0,,7.6,0.0,0.0,0.0,0.0,0.0
01-Oct-2017,10:30,01-Oct-2017,10:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.0,711.0,0.0,0.0,64.0,432.0,0.0,0.0,0.0,1.8,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0
