﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Feb-2016,00:00,01-Feb-2016,00:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,749.8,197.2,73.43,32.08,17.67,19.9,,9.83,0.8,0.1,,,18.7,52.9,18.1,43.4,39.53,11.71
01-Feb-2016,00:15,01-Feb-2016,00:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,749.9,191.4,71.59,32.17,17.8,19.84,,5.73,0.85,0.03,,,21.6,20.0,12.4,21.5,41.74,14.65
01-Feb-2016,00:30,01-Feb-2016,00:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,750.0,191.4,71.59,32.46,17.64,19.58,,351.19,0.77,0.03,,,17.7,7.9,7.6,10.5,35.15,5.67
01-Feb-2016,00:45,01-Feb-2016,01:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,750.0,191.4,71.59,32.49,17.48,19.43,,352.86,0.68,0.29,,,19.2,15.5,10.4,17.8,35.29,6.61
01-Feb-2016,01:00,01-Feb-2016,01:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,749.9,180.5,66.12,32.36,17.69,19.49,,359.3,0.64,0.11,,,18.7,47.1,17.4,39.8,37.33,13.88
01-Feb-2016,01:15,01-Feb-2016,01:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,749.9,164.2,57.92,32.45,17.81,19.4,,8.01,0.66,0.07,,,18.7,36.5,15.7,33.0,41.77,15.31
01-Feb-2016,01:30,01-Feb-2016,01:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,749.9,164.2,57.92,32.61,17.76,19.15,,3.04,0.61,0.21,,,19.7,12.4,9.6,14.2,41.07,14.14
01-Feb-2016,01:45,01-Feb-2016,02:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,749.9,164.2,57.92,32.69,17.5,18.96,,353.31,0.67,0.24,,,18.5,32.9,13.6,29.4,38.33,10.05
01-Feb-2016,02:00,01-Feb-2016,02:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,749.9,161.2,59.18,32.97,17.75,18.88,,345.19,0.66,0.12,,,20.0,52.3,19.5,44.3,37.35,11.84
01-Feb-2016,02:15,01-Feb-2016,02:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,749.9,156.6,61.07,33.39,17.96,18.77,,336.15,0.84,0.09,,,21.8,19.6,13.2,22.0,40.86,13.63
