﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Oct-2017,00:00,01-Oct-2017,00:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,00:15,01-Oct-2017,00:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,00:30,01-Oct-2017,00:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.88,0.0,,9.0,56.14,4.81,,0.0,170.14,0.18,0.47,0.0,,,4.51,3.73,8.24,2.52,4.06
01-Oct-2017,00:45,01-Oct-2017,01:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.71,0.0,,9.0,56.69,4.8,,0.0,185.59,0.27,0.5,0.0,,,5.66,2.23,7.9,2.82,3.51
01-Oct-2017,01:00,01-Oct-2017,01:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.65,0.0,,12.0,28.52,2.38,,0.0,86.88,0.1,0.53,0.0,,,5.61,2.45,8.06,2.48,6.51
01-Oct-2017,01:15,01-Oct-2017,01:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.64,0.0,,12.0,28.51,2.39,,0.0,89.47,0.11,0.48,0.0,,,4.67,3.44,8.13,2.48,6.26
01-Oct-2017,01:30,01-Oct-2017,01:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,01:45,01-Oct-2017,02:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,02:00,01-Oct-2017,02:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.36,749.69,,7.0,87.34,7.24,,0.0,264.0,0.41,0.32,0.0,,,5.4,2.76,8.16,2.05,0.63
01-Oct-2017,02:15,01-Oct-2017,02:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.35,749.69,,7.0,87.47,7.26,,0.0,270.53,0.46,0.34,0.0,,,4.76,5.0,9.76,2.42,4.93
01-Oct-2017,02:30,01-Oct-2017,02:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.26,749.69,,7.0,87.97,7.29,,0.0,267.4,0.4,0.32,0.0,,,5.45,2.04,7.49,2.26,3.17
01-Oct-2017,02:45,01-Oct-2017,03:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.26,749.69,,7.0,88.26,7.29,,0.0,270.79,0.33,0.34,0.0,,,4.63,3.81,8.44,2.16,5.02
01-Oct-2017,03:00,01-Oct-2017,03:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.19,749.69,,11.0,88.57,7.35,,0.0,266.06,0.35,0.31,0.0,,,5.66,-1.01,4.64,2.03,5.54
01-Oct-2017,03:15,01-Oct-2017,03:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.19,749.69,,11.0,88.62,7.3,,0.0,276.21,0.32,0.31,0.0,,,4.83,2.5,7.33,2.42,4.75
01-Oct-2017,03:30,01-Oct-2017,03:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.2,0.0,,11.0,0.0,0.0,,0.0,0.0,0.0,0.37,0.0,,,3.72,-4.42,-0.74,2.53,3.35
01-Oct-2017,03:45,01-Oct-2017,04:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.21,0.0,,11.0,0.0,0.0,,0.0,0.0,0.0,0.33,0.0,,,3.15,-0.22,2.91,1.41,3.12
01-Oct-2017,04:00,01-Oct-2017,04:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",25.27,0.0,,7.0,0.0,0.0,,0.0,0.0,0.0,0.32,0.0,,,2.55,5.87,8.43,2.16,3.15
01-Oct-2017,04:15,01-Oct-2017,04:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,04:30,01-Oct-2017,04:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,04:45,01-Oct-2017,05:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,05:00,01-Oct-2017,05:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,05:15,01-Oct-2017,05:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,05:30,01-Oct-2017,05:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,05:45,01-Oct-2017,06:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,06:00,01-Oct-2017,06:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,06:15,01-Oct-2017,06:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,06:30,01-Oct-2017,06:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,06:45,01-Oct-2017,07:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,07:00,01-Oct-2017,07:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,07:15,01-Oct-2017,07:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,07:30,01-Oct-2017,07:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
01-Oct-2017,07:45,01-Oct-2017,08:00,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.01,749.71,,18.0,85.85,73.12,,0.0,225.64,0.29,0.55,0.0,,,7.18,5.71,12.88,2.48,0.82
01-Oct-2017,08:00,01-Oct-2017,08:15,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.0,749.71,,16.0,85.66,94.3,,0.0,224.62,0.43,0.53,0.0,,,5.67,6.61,12.27,3.29,0.95
01-Oct-2017,08:15,01-Oct-2017,08:30,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.09,749.71,,16.0,85.14,86.65,,0.0,248.43,0.35,0.56,0.0,,,5.75,4.75,10.49,3.0,2.03
01-Oct-2017,08:30,01-Oct-2017,08:45,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.09,749.71,,16.0,85.26,96.83,,0.0,275.17,0.32,0.6,0.0,,,7.77,4.67,12.44,2.71,2.91
