﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Oct-2017,00:00,01-Oct-2017,00:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.8,151.27,,,,,0.0,,,,65.16,27.83,5.71,39.79,25.37,1.78,,6.12,,110.33,0.89,,,,,,,20.43,0.0,25.67,14.0,,,,0.24,,,,
01-Oct-2017,00:15,01-Oct-2017,00:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.96,142.64,,,,,0.0,,,,56.46,29.5,6.28,44.39,28.23,1.64,,8.22,,103.48,0.81,,,,,,,22.16,0.0,25.5,13.75,,,,0.23,,,,
01-Oct-2017,00:30,01-Oct-2017,00:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",1.04,148.44,,,,,0.0,,,,54.58,29.86,5.62,43.21,27.08,1.35,,5.57,,97.86,0.8,,,,,,,20.49,0.0,25.4,13.79,,,,0.22,,,,
01-Oct-2017,00:45,01-Oct-2017,01:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.38,142.3,,,,,0.0,,,,54.58,29.86,5.32,40.34,25.34,1.09,,4.49,,92.74,0.85,,,,,,,17.59,0.0,25.29,14.09,,,,0.23,,,,
01-Oct-2017,01:00,01-Oct-2017,01:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.56,144.58,,,,,0.0,,,,54.58,29.86,5.02,38.35,24.06,0.82,,8.87,,87.39,0.91,,,,,,,17.65,0.0,25.32,14.38,,,,0.23,,,,
01-Oct-2017,01:15,01-Oct-2017,01:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.47,94.71,,,,,0.0,,,,64.47,27.19,4.13,35.46,21.84,0.57,,11.3,,81.55,0.97,,,,,,,16.2,0.0,25.32,14.55,,,,0.24,,,,
01-Oct-2017,01:30,01-Oct-2017,01:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.98,148.69,,,,,0.0,,,,66.61,26.61,5.91,41.72,26.54,0.36,,6.66,,76.38,1.03,,,,,,,18.33,0.0,25.26,14.82,,,,0.24,,,,
01-Oct-2017,01:45,01-Oct-2017,02:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.65,149.77,,,,,0.0,,,,66.61,26.61,6.34,37.9,24.88,0.1,,9.33,,71.46,0.98,,,,,,,17.02,0.0,25.19,14.72,,,,0.24,,,,
01-Oct-2017,02:00,01-Oct-2017,02:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.0,87.61,,,,,0.0,,,,66.61,26.61,5.41,34.93,22.59,0.0,,7.8,,67.14,0.89,,,,,,,0.0,0.0,25.29,14.39,,,,0.23,,,,
01-Oct-2017,02:15,01-Oct-2017,02:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.7,48.76,,,,,0.0,,,,64.13,26.63,5.59,37.2,23.92,0.0,,18.38,,63.16,0.83,,,,,,,16.93,1.19,25.45,14.14,,,,0.22,,,,
01-Oct-2017,02:30,01-Oct-2017,02:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.0,70.0,,,,,0.0,,,,63.6,26.63,4.5,39.14,24.06,0.0,,13.16,,59.89,0.87,,,,,,,0.0,3.87,25.66,14.44,,,,0.24,,,,
01-Oct-2017,02:45,01-Oct-2017,03:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.94,91.0,,,,,0.0,,,,63.6,26.63,4.47,39.9,24.44,0.0,,12.14,,57.7,0.97,,,,,,,19.54,3.34,25.64,14.7,,,,0.24,,,,
01-Oct-2017,03:00,01-Oct-2017,03:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.93,63.48,,,,,0.0,,,,63.6,26.63,3.56,34.35,20.8,0.0,,13.2,,54.79,1.04,,,,,,,17.52,2.23,25.62,14.58,,,,0.23,,,,
01-Oct-2017,03:15,01-Oct-2017,03:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.38,23.1,,,,,0.0,,,,64.96,18.9,4.21,35.63,21.99,0.0,,11.81,,52.42,1.02,,,,,,,19.4,5.19,25.59,14.44,,,,0.23,,,,
01-Oct-2017,03:30,01-Oct-2017,03:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.68,49.63,,,,,0.0,,,,65.26,17.23,3.9,33.88,20.83,0.0,,21.82,,49.53,1.0,,,,,,,17.82,17.24,25.58,14.29,,,,0.23,,,,
01-Oct-2017,03:45,01-Oct-2017,04:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.52,77.73,,,,,0.0,,,,65.26,17.23,2.97,28.33,17.19,0.0,,15.53,,47.08,1.01,,,,,,,14.75,17.06,25.56,14.15,,,,0.22,,,,
01-Oct-2017,04:00,01-Oct-2017,04:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.07,104.36,,,,,0.0,,,,65.26,17.23,3.4,29.73,18.26,0.0,,12.57,,44.94,0.96,,,,,,,15.96,10.12,25.52,13.9,,,,0.22,,,,
01-Oct-2017,04:15,01-Oct-2017,04:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",1.27,87.16,,,,,0.0,,,,61.6,19.36,4.82,35.62,22.48,0.0,,10.86,,42.53,0.9,,,,,,,18.85,18.0,25.44,13.54,,,,0.22,,,,
01-Oct-2017,04:30,01-Oct-2017,04:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.62,83.46,,,,,0.0,,,,60.8,19.83,4.99,34.09,21.81,0.0,,13.52,,40.6,0.88,,,,,,,17.17,23.57,25.4,13.37,,,,0.22,,,,
01-Oct-2017,04:45,01-Oct-2017,05:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.17,7.95,,,,,0.0,,,,60.8,19.83,5.57,36.24,23.4,0.0,,10.58,,39.34,0.77,,,,,,,17.18,18.94,25.32,13.35,,,,0.23,,,,
01-Oct-2017,05:00,01-Oct-2017,05:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",1.03,72.56,,,,,0.0,,,,60.8,19.83,4.51,33.26,20.99,0.0,,15.08,,38.1,0.72,,,,,,,16.49,21.98,25.33,13.38,,,,0.23,,,,
01-Oct-2017,05:15,01-Oct-2017,05:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.48,57.8,,,,,0.0,,,,45.67,22.57,6.01,38.4,24.89,0.0,,12.73,,36.14,0.7,,,,,,,18.8,28.52,25.38,13.22,,,,0.22,,,,
01-Oct-2017,05:30,01-Oct-2017,05:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.62,53.28,,,,,0.0,,,,42.4,23.17,4.68,32.02,20.48,0.0,,14.66,,34.12,0.69,,,,,,,17.63,29.81,25.34,13.01,,,,0.22,,,,
01-Oct-2017,05:45,01-Oct-2017,06:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.65,50.3,,,,,0.0,,,,42.4,23.17,4.19,31.25,19.69,0.0,,21.25,,32.13,0.66,,,,,,,16.88,29.53,25.35,12.78,,,,0.21,,,,
01-Oct-2017,06:00,01-Oct-2017,06:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.35,51.67,,,,,0.0,,,,42.4,23.17,4.82,33.32,21.27,0.0,,16.51,,30.82,0.62,,,,,,,17.94,33.81,25.36,12.8,,,,0.22,,,,
01-Oct-2017,06:15,01-Oct-2017,06:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.73,66.7,,,,,0.0,,,,44.47,20.26,5.73,34.56,22.65,0.0,,20.85,,29.74,0.74,,,,,,,17.94,32.21,25.34,12.88,,,,0.21,,,,
01-Oct-2017,06:30,01-Oct-2017,06:45,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.45,36.88,,,,,0.0,,,,44.92,19.63,7.04,38.86,25.95,0.0,,22.4,,26.68,0.85,,,,,,,19.3,32.35,25.34,12.29,,,,0.17,,,,
01-Oct-2017,06:45,01-Oct-2017,07:00,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.63,61.49,,,,,0.0,,,,44.92,19.63,7.91,40.59,27.55,0.0,,24.8,,20.94,0.96,,,,,,,20.26,27.05,25.37,10.79,,,,0.14,,,,
01-Oct-2017,07:00,01-Oct-2017,07:15,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.41,28.17,,,,,0.0,,,,44.92,19.63,7.93,40.32,27.42,0.0,,19.93,,18.05,0.93,,,,,,,18.65,19.78,25.52,10.29,,,,0.13,,,,
01-Oct-2017,07:15,01-Oct-2017,07:30,Maharashtra,Thane,"Pimpleshwar Mandir, Thane - MPCB",0.35,61.5,,,,,0.0,,,,49.46,14.93,11.22,48.73,34.46,0.0,,30.32,,18.04,0.85,,,,,,,23.16,19.07,25.91,10.54,,,,0.14,,,,
