﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Nov-2017,00:00,01-Nov-2017,00:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.95,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,00:15,01-Nov-2017,00:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.79,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,00:30,01-Nov-2017,00:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.65,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,00:45,01-Nov-2017,01:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.52,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,01:00,01-Nov-2017,01:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.44,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,01:15,01-Nov-2017,01:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.34,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,01:30,01-Nov-2017,01:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.32,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,01:45,01-Nov-2017,02:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.25,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,02:00,01-Nov-2017,02:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.11,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,02:15,01-Nov-2017,02:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.07,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,02:30,01-Nov-2017,02:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.04,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,02:45,01-Nov-2017,03:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.98,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,03:00,01-Nov-2017,03:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.92,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,03:15,01-Nov-2017,03:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.85,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,03:30,01-Nov-2017,03:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.82,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,03:45,01-Nov-2017,04:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.77,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,04:00,01-Nov-2017,04:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.78,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,04:15,01-Nov-2017,04:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.77,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,04:30,01-Nov-2017,04:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.69,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,04:45,01-Nov-2017,05:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.58,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,05:00,01-Nov-2017,05:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.54,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,05:15,01-Nov-2017,05:30,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.51,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,05:30,01-Nov-2017,05:45,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.68,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,05:45,01-Nov-2017,06:00,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.99,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
01-Nov-2017,06:00,01-Nov-2017,06:15,Maharashtra,Mumbai,"Bandra, Mumbai - MPCB",,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,1.94,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,
