﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Nov-2017,00:00,01-Nov-2017,00:15,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",28.0,755.0,139.0,76.0,76.0,1.0,30.8,2.8,93.0,1.9,0.3,1.1,,17.1,20.7,1.0,11.8,64.2,13.5
01-Nov-2017,00:15,01-Nov-2017,00:30,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27.9,755.0,139.0,76.0,77.0,1.0,30.9,2.2,118.0,1.8,0.2,0.6,,17.0,19.2,0.9,10.9,61.2,13.4
01-Nov-2017,00:30,01-Nov-2017,00:45,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27.6,755.0,139.0,76.0,78.0,1.0,31.0,2.1,97.0,1.9,0.2,0.6,,18.0,19.0,0.6,10.6,58.2,12.3
01-Nov-2017,00:45,01-Nov-2017,01:00,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27.3,755.0,115.0,74.0,78.0,1.0,31.0,2.3,112.0,2.1,0.2,1.0,,17.0,18.5,0.3,10.1,57.3,10.7
01-Nov-2017,01:00,01-Nov-2017,01:15,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27.1,755.0,115.0,74.0,77.0,1.0,30.9,2.0,90.0,2.1,0.2,1.0,,15.8,16.3,0.5,9.1,57.6,9.7
01-Nov-2017,01:15,01-Nov-2017,01:30,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27.0,755.0,115.0,74.0,76.0,1.0,30.9,1.5,91.0,2.0,0.1,0.7,,15.4,13.6,0.3,7.5,60.1,8.6
01-Nov-2017,01:30,01-Nov-2017,01:45,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27.0,755.0,115.0,74.0,75.0,1.0,30.9,1.5,97.0,2.1,0.1,0.8,,15.4,12.1,0.0,6.5,60.1,8.9
01-Nov-2017,01:45,01-Nov-2017,02:00,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26.9,755.0,106.0,67.0,74.0,1.0,30.9,1.5,111.0,2.1,0.1,0.8,,14.9,11.2,0.4,6.3,61.2,8.7
01-Nov-2017,02:00,01-Nov-2017,02:15,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26.9,755.0,106.0,67.0,74.0,1.0,30.7,1.4,99.0,2.1,0.1,0.9,,14.4,10.2,0.6,5.9,63.0,8.4
01-Nov-2017,02:15,01-Nov-2017,02:30,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26.8,755.0,106.0,67.0,74.0,1.0,30.7,1.4,126.0,1.7,0.1,0.9,,14.5,10.3,0.1,5.6,62.1,8.3
01-Nov-2017,02:30,01-Nov-2017,02:45,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26.6,755.0,106.0,67.0,75.0,1.0,30.8,1.3,144.0,1.8,0.1,0.8,,14.7,10.5,0.0,5.3,62.0,7.7
01-Nov-2017,02:45,01-Nov-2017,03:00,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26.5,755.0,97.0,63.0,76.0,1.0,30.6,1.4,129.0,1.7,0.1,0.9,,14.6,10.6,0.1,5.7,3.4,7.4
