﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2017,00:00,01-Dec-2017,00:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,,,,,,,,,331.32,198.79,23.97,18.97,42.93,1.22,360.43,27.89,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,00:15,01-Dec-2017,00:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.4,8.65,77.0,4.0,926.0,,13.85,350.45,210.27,23.97,18.97,42.93,1.22,360.43,27.89,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,00:30,01-Dec-2017,00:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.3,8.7,76.0,4.0,925.0,,13.9,356.53,213.92,23.99,18.99,42.98,1.22,360.48,27.82,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,00:45,01-Dec-2017,01:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.35,8.25,76.0,25.0,926.0,,13.9,343.47,206.08,23.97,18.97,42.94,1.22,360.44,27.9,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,01:00,01-Dec-2017,01:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.3,8.1,79.0,518.0,926.0,,13.9,322.56,193.54,24.0,19.0,43.01,1.22,360.51,27.78,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,01:15,01-Dec-2017,01:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.35,8.35,79.0,2085.0,926.0,,13.9,309.53,185.72,24.13,19.13,43.25,1.23,360.75,27.41,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,01:30,01-Dec-2017,01:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.3,8.6,77.0,2159.0,926.0,,13.9,306.66,184.0,24.24,19.24,43.49,1.24,360.99,27.07,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,01:45,01-Dec-2017,02:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.3,8.25,76.5,2159.0,926.0,,13.9,302.82,181.69,24.25,19.25,43.49,1.24,360.99,27.05,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,02:00,01-Dec-2017,02:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.3,8.7,80.0,2159.0,927.0,,13.8,324.8,194.88,24.3,19.3,43.59,1.24,361.09,26.91,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,02:15,01-Dec-2017,02:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,0.35,9.5,77.5,2159.0,928.5,,13.9,345.25,207.15,24.29,19.29,43.58,1.24,361.08,26.93,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,02:30,01-Dec-2017,02:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,2.2,10.3,76.0,2159.0,930.0,,13.9,365.34,219.21,24.15,19.15,43.31,1.23,360.81,27.32,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,02:45,01-Dec-2017,03:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,18.0,0.55,19.4,12.3,65.5,2159.0,935.5,,13.9,383.52,230.11,24.0,19.0,42.99,1.22,360.49,27.8,,-9999.0,-9999.0,0.55,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,03:00,01-Dec-2017,03:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,37.8,14.9,52.0,2159.0,937.0,,13.8,415.48,249.29,23.89,18.89,42.79,1.21,360.29,28.12,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,03:15,01-Dec-2017,03:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,49.0,1.0,21.5,16.0,49.0,2159.0,946.0,,13.8,438.88,263.33,23.83,18.83,42.66,1.21,360.16,28.34,,-9999.0,-9999.0,1.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,03:30,01-Dec-2017,03:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,28.1,17.3,46.0,2159.0,949.0,,13.8,441.37,264.82,24.05,19.05,43.11,1.22,360.61,27.66,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,03:45,01-Dec-2017,04:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,45.0,1.1,51.15,18.4,43.0,2159.0,958.5,,13.8,423.23,253.94,23.9,18.9,42.8,1.21,360.3,28.14,,-9999.0,-9999.0,1.1,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,04:00,01-Dec-2017,04:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,35.0,19.4,40.0,2159.0,960.0,,13.8,411.9,247.14,23.79,18.79,42.58,1.2,360.08,28.46,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,04:15,01-Dec-2017,04:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,0.0,0.0,46.9,20.3,36.5,2159.0,970.0,,13.8,415.88,249.53,23.73,18.73,42.46,1.2,359.96,28.65,,-9999.0,-9999.0,0.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,04:30,01-Dec-2017,04:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,161.0,2.7,46.2,20.9,34.0,2159.0,967.0,,13.8,409.34,245.6,23.81,18.81,42.63,1.21,360.13,28.38,,-9999.0,-9999.0,2.7,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,04:45,01-Dec-2017,05:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,142.0,1.1,53.8,21.75,32.0,2159.0,982.5,,13.8,394.92,236.95,23.96,18.96,42.92,1.22,360.42,27.92,,-9999.0,-9999.0,1.1,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,05:00,01-Dec-2017,05:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,68.0,2.0,69.3,22.2,30.0,2159.0,990.0,,13.8,390.6,234.36,24.13,19.13,43.25,1.23,360.75,27.41,,-9999.0,-9999.0,2.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,05:15,01-Dec-2017,05:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,180.5,2.2,64.05,23.1,28.5,2159.0,993.5,,13.75,398.1,238.86,24.18,19.18,43.37,1.23,360.87,27.23,,-9999.0,-9999.0,2.2,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,05:30,01-Dec-2017,05:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.1,160.0,4.5,64.5,23.8,27.0,2159.0,996.0,,13.8,413.84,248.3,24.18,19.18,43.37,1.23,360.87,27.23,,-9999.0,-9999.0,4.5,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,05:45,01-Dec-2017,06:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,150.0,2.3,81.3,24.1,26.0,2159.0,1001.0,,13.8,402.15,241.29,24.2,19.2,43.41,1.24,360.91,27.17,,-9999.0,-9999.0,2.3,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,06:00,01-Dec-2017,06:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,,,,,,,,,367.16,220.29,24.26,19.26,43.53,1.24,361.03,27.0,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,,,,,,,,,
01-Dec-2017,06:15,01-Dec-2017,06:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",0.0,225.0,3.65,60.05,24.95,25.0,2159.0,1005.0,,13.8,346.56,207.94,24.19,19.19,43.39,1.24,360.89,27.2,,-9999.0,-9999.0,3.65,-9999.0,,,,,,,,,,,,,,,,
