From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2017,00:00,01-Dec-2017,00:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.59,41.89,,,,,17.4,,,,,84.62,4.44,23.42,18.06,0.21,,61.9,,0.0,0.0,0.0,,,,0.29,,,4.84,16.6,0.0,,,,0.0,,,,
01-Dec-2017,00:15,01-Dec-2017,00:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.49,75.11,,,,,17.4,,,,,84.62,4.43,23.41,18.05,0.34,,58.13,,0.0,0.0,0.0,,,,0.3,,,6.46,16.45,0.0,,,,0.0,,,,
01-Dec-2017,00:30,01-Dec-2017,00:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.65,96.54,,,,,17.4,,,,,84.62,4.44,23.39,18.04,0.42,,55.48,,0.0,0.0,0.0,,,,0.32,,,7.17,16.32,0.0,,,,0.0,,,,
01-Dec-2017,00:45,01-Dec-2017,01:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.65,66.39,,,,,17.4,,,,,70.07,4.41,23.4,18.02,0.36,,60.6,,0.0,0.0,0.0,,,,0.25,,,7.2,16.13,0.0,,,,0.0,,,,
01-Dec-2017,01:00,01-Dec-2017,01:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.63,80.12,,,,,17.4,,,,,67.16,4.42,23.34,18.01,0.33,,54.79,,0.0,0.0,0.0,,,,0.28,,,7.61,15.94,0.0,,,,0.0,,,,
01-Dec-2017,01:15,01-Dec-2017,01:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.66,90.57,,,,,17.4,,,,,67.16,4.41,23.4,18.03,0.42,,72.65,,0.0,0.0,0.0,,,,0.37,,,7.88,15.9,0.0,,,,0.0,,,,
01-Dec-2017,01:30,01-Dec-2017,01:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.69,104.04,,,,,17.5,,,,,67.16,4.33,23.4,17.96,0.23,,60.42,,0.0,0.0,0.0,,,,0.3,,,7.5,15.91,0.0,,,,0.0,,,,
01-Dec-2017,01:45,01-Dec-2017,02:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.62,85.8,,,,,17.5,,,,,60.06,4.36,23.38,17.98,0.36,,59.97,,0.0,0.0,0.0,,,,0.3,,,7.08,15.84,0.0,,,,0.0,,,,
01-Dec-2017,02:00,01-Dec-2017,02:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.58,97.86,,,,,17.5,,,,,58.64,4.35,23.37,17.97,0.43,,63.17,,0.0,0.0,0.0,,,,0.17,,,5.4,15.86,0.0,,,,0.0,,,,
01-Dec-2017,02:15,01-Dec-2017,02:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.56,96.35,,,,,17.5,,,,,58.64,4.38,23.38,17.99,0.74,,60.86,,0.0,0.0,0.0,,,,0.42,,,6.57,15.99,0.0,,,,0.0,,,,
01-Dec-2017,02:30,01-Dec-2017,02:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.29,80.6,,,,,17.5,,,,,58.64,4.35,23.38,17.97,0.83,,55.07,,0.0,0.0,0.0,,,,0.25,,,6.11,15.93,0.0,,,,0.0,,,,
01-Dec-2017,02:45,01-Dec-2017,03:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.57,85.63,,,,,17.5,,,,,52.71,4.28,23.33,17.89,0.57,,65.5,,0.0,0.0,0.0,,,,0.3,,,6.01,15.7,0.0,,,,0.0,,,,
01-Dec-2017,03:00,01-Dec-2017,03:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.35,42.93,,,,,17.5,,,,,51.52,4.28,23.32,17.88,0.8,,56.39,,0.0,0.0,0.0,,,,0.28,,,5.79,15.3,0.0,,,,0.0,,,,
01-Dec-2017,03:15,01-Dec-2017,03:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.52,47.59,,,,,17.5,,,,,51.52,4.36,23.38,17.98,0.74,,59.38,,0.0,0.0,0.0,,,,0.28,,,5.63,15.2,0.0,,,,0.0,,,,
01-Dec-2017,03:30,01-Dec-2017,03:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.46,318.35,,,,,17.5,,,,,51.52,4.39,23.37,18.0,0.68,,57.37,,0.0,0.0,0.0,,,,0.31,,,6.04,15.23,0.0,,,,0.0,,,,
01-Dec-2017,03:45,01-Dec-2017,04:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.57,74.64,,,,,17.5,,,,,48.48,4.39,23.43,18.03,0.91,,63.29,,0.0,0.0,0.0,,,,0.21,,,6.1,15.45,0.0,,,,0.0,,,,
01-Dec-2017,04:00,01-Dec-2017,04:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.56,22.2,,,,,17.5,,,,,47.87,4.44,23.41,18.06,0.94,,61.46,,0.0,0.0,0.0,,,,0.27,,,5.2,15.5,0.0,,,,0.0,,,,
01-Dec-2017,04:15,01-Dec-2017,04:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.51,6.57,,,,,17.5,,,,,47.87,4.46,23.37,18.06,0.52,,52.31,,0.0,0.0,0.0,,,,0.27,,,6.36,15.05,0.0,,,,0.0,,,,
01-Dec-2017,04:30,01-Dec-2017,04:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.65,321.62,,,,,17.5,,,,,47.87,4.39,23.36,17.99,0.72,,66.68,,0.0,0.0,0.0,,,,0.27,,,6.24,14.95,0.0,,,,0.0,,,,
01-Dec-2017,04:45,01-Dec-2017,05:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.94,320.08,,,,,17.5,,,,,58.91,4.36,23.36,17.97,0.48,,51.9,,0.0,0.0,0.0,,,,0.26,,,6.05,14.5,0.0,,,,0.0,,,,
01-Dec-2017,05:00,01-Dec-2017,05:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.87,10.62,,,,,17.5,,,,,61.12,4.4,23.35,18.0,0.8,,41.97,,0.0,0.0,0.0,,,,0.27,,,5.45,14.45,0.0,,,,0.0,,,,
01-Dec-2017,05:15,01-Dec-2017,05:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.82,15.74,,,,,17.5,,,,,61.12,4.39,23.43,18.03,0.69,,54.89,,0.0,0.0,0.0,,,,0.25,,,5.27,14.78,0.0,,,,0.0,,,,
01-Dec-2017,05:30,01-Dec-2017,05:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.73,58.35,,,,,17.5,,,,,61.12,4.38,23.42,18.01,0.74,,47.17,,0.0,0.0,0.0,,,,0.25,,,4.68,14.64,0.0,,,,0.0,,,,
01-Dec-2017,05:45,01-Dec-2017,06:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.56,76.82,,,,,17.6,,,,,36.61,4.43,23.38,18.03,0.63,,45.56,,0.0,0.0,0.0,,,,0.27,,,4.78,15.0,0.0,,,,0.0,,,,
01-Dec-2017,06:00,01-Dec-2017,06:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.22,73.94,,,,,17.5,,,,,31.71,4.39,23.41,18.01,0.55,,50.56,,0.0,0.0,0.0,,,,0.26,,,7.33,15.21,0.0,,,,0.0,,,,
01-Dec-2017,06:15,01-Dec-2017,06:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.76,138.29,,,,,17.5,,,,,31.71,4.39,23.36,17.99,0.62,,50.67,,0.0,0.0,0.0,,,,0.3,,,7.3,15.13,0.0,,,,0.0,,,,
01-Dec-2017,06:30,01-Dec-2017,06:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.57,111.03,,,,,17.5,,,,,31.71,4.4,23.36,18.0,0.64,,51.37,,0.0,0.0,0.0,,,,0.26,,,6.7,14.78,0.0,,,,0.0,,,,
01-Dec-2017,06:45,01-Dec-2017,07:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.85,104.25,,,,,17.8,,,,,31.43,4.39,23.38,18.0,0.57,,40.61,,0.0,0.0,0.0,,,,0.27,,,6.44,14.73,0.0,,,,0.0,,,,
01-Dec-2017,07:00,01-Dec-2017,07:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.75,105.88,,,,,19.7,,,,,31.37,4.4,23.44,18.04,0.71,,46.35,,0.0,0.0,0.0,,,,0.24,,,6.04,14.62,0.0,,,,0.0,,,,
01-Dec-2017,07:15,01-Dec-2017,07:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.98,115.53,,,,,25.3,,,,,31.37,4.38,23.37,17.99,0.71,,39.7,,0.0,0.0,0.0,,,,0.25,,,6.04,14.45,0.0,,,,0.0,,,,
01-Dec-2017,07:30,01-Dec-2017,07:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",1.0,113.21,,,,,35.2,,,,,31.37,4.42,23.38,18.03,0.68,,44.16,,0.0,0.0,0.0,,,,0.27,,,5.97,14.42,0.0,,,,0.0,,,,
01-Dec-2017,07:45,01-Dec-2017,08:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.83,110.59,,,,,46.3,,,,,56.92,4.43,23.41,18.05,0.54,,44.21,,0.0,0.0,0.0,,,,0.31,,,5.91,14.73,0.0,,,,0.0,,,,
01-Dec-2017,08:00,01-Dec-2017,08:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.95,133.43,,,,,64.0,,,,,62.03,4.36,23.36,17.97,0.79,,30.84,,0.0,0.0,0.0,,,,0.24,,,5.53,14.94,0.0,,,,0.0,,,,
01-Dec-2017,08:15,01-Dec-2017,08:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.67,152.86,,,,,81.8,,,,,62.03,4.37,23.36,17.97,0.68,,32.25,,0.0,0.0,0.0,,,,0.27,,,5.35,15.45,0.0,,,,0.0,,,,
01-Dec-2017,08:30,01-Dec-2017,08:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.88,164.5,,,,,80.0,,,,,62.03,4.47,23.43,18.09,0.63,,31.87,,0.0,0.0,0.0,,,,0.27,,,5.47,16.05,0.0,,,,0.0,,,,
01-Dec-2017,08:45,01-Dec-2017,09:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.84,110.32,,,,,89.2,,,,,46.25,4.46,23.42,18.08,0.61,,26.02,,0.0,0.0,0.0,,,,0.32,,,5.39,16.74,0.0,,,,0.0,,,,
01-Dec-2017,09:00,01-Dec-2017,09:15,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.63,102.89,,,,,100.2,,,,,43.09,4.38,23.34,17.98,0.56,,26.79,,0.0,0.0,0.0,,,,0.34,,,5.75,17.6,0.0,,,,0.0,,,,
01-Dec-2017,09:15,01-Dec-2017,09:30,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.34,156.21,,,,,106.2,,,,,43.09,4.38,23.37,17.99,0.79,,31.83,,0.0,0.0,0.0,,,,0.35,,,6.63,18.42,0.0,,,,0.0,,,,
01-Dec-2017,09:30,01-Dec-2017,09:45,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.42,175.7,,,,,111.6,,,,,43.09,4.41,23.39,18.02,0.57,,37.08,,0.0,0.0,0.0,,,,0.3,,,7.95,19.16,0.0,,,,0.0,,,,
01-Dec-2017,09:45,01-Dec-2017,10:00,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",0.77,196.68,,,,,124.8,,,,,59.38,3.19,25.49,18.47,1.05,,39.52,,0.0,0.0,0.0,,,,0.23,,,9.63,19.78,0.0,,,,0.0,,,,
