From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jan-2018,00:00,01-Jan-2018,00:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.64,292.37,,,,77.93,55.7,,,,353.7,197.13,12.64,32.75,45.39,,,19.04,,3.1,16.04,,17.66,,,,,4.3,,13.02,,,,,,,,,
01-Jan-2018,00:15,01-Jan-2018,00:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.25,290.34,,,,78.73,31.0,,,,353.7,197.13,12.22,32.25,44.47,2.28,,18.6,,3.1,15.77,,17.29,,,,,4.22,2.83,12.94,,,,,,,,,
01-Jan-2018,00:30,01-Jan-2018,00:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.47,288.9,,,,78.87,37.7,,,,309.4,161.89,12.28,32.03,44.31,2.34,,18.45,,3.1,15.45,,16.82,,,,,4.15,3.18,12.84,,,,,,,,,
01-Jan-2018,00:45,01-Jan-2018,01:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.09,317.17,,,,79.11,43.0,,,,303.87,157.98,12.61,32.17,44.78,2.39,,18.08,,3.1,15.24,,16.5,,,,,4.34,3.19,12.73,,,,,,,,,
01-Jan-2018,01:00,01-Jan-2018,01:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.27,312.54,,,,80.72,47.0,,,,303.87,157.98,12.25,32.74,44.99,2.16,,18.29,,3.1,15.06,,16.29,,,,,4.42,3.21,12.52,,,,,,,,,
01-Jan-2018,01:15,01-Jan-2018,01:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.29,312.43,,,,81.16,57.0,,,,303.87,157.98,11.96,32.49,44.46,2.38,,18.54,,3.1,14.85,,16.1,,,,,4.38,3.2,12.35,,,,,,,,,
01-Jan-2018,01:30,01-Jan-2018,01:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.34,309.12,,,,80.15,53.7,,,,261.22,141.8,12.01,32.36,44.37,1.9,,18.4,,3.1,14.61,,15.73,,,,,4.29,3.21,12.26,,,,,,,,,
01-Jan-2018,01:45,01-Jan-2018,02:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.37,304.51,,,,78.95,56.3,,,,258.17,140.65,11.76,32.46,44.22,2.51,,18.62,,3.1,14.39,,15.39,,,,,4.24,3.13,12.21,,,,,,,,,
01-Jan-2018,02:00,01-Jan-2018,02:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.1,310.22,,,,80.06,42.3,,,,258.17,140.65,11.73,32.34,44.07,2.38,,19.0,,3.1,14.15,,15.14,,,,,4.32,2.93,11.96,,,,,,,,,
01-Jan-2018,02:15,01-Jan-2018,02:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.36,302.92,,,,79.54,37.0,,,,258.17,140.65,11.76,32.61,44.37,2.0,,18.45,,3.1,13.91,,14.77,,,,,4.29,2.85,11.94,,,,,,,,,
01-Jan-2018,02:30,01-Jan-2018,02:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.24,299.45,,,,78.68,44.3,,,,226.25,127.37,11.59,32.23,43.82,2.02,,18.36,,3.1,13.67,,14.5,,,,,4.3,2.84,12.01,,,,,,,,,
01-Jan-2018,02:45,01-Jan-2018,03:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.47,298.09,,,,78.87,50.3,,,,221.81,125.52,11.6,32.86,44.47,2.0,,18.37,,3.1,13.42,,14.13,,,,,4.35,2.57,12.0,,,,,,,,,
01-Jan-2018,03:00,01-Jan-2018,03:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.3,299.14,,,,80.04,49.0,,,,221.81,125.52,10.85,31.53,42.37,1.91,,18.72,,3.1,13.2,,13.79,,,,,4.04,2.22,11.77,,,,,,,,,
01-Jan-2018,03:15,01-Jan-2018,03:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.34,300.07,,,,81.57,47.7,,,,221.81,125.52,10.16,30.74,40.9,2.01,,18.82,,3.1,12.9,,13.35,,,,,3.89,1.69,11.49,,,,,,,,,
01-Jan-2018,03:30,01-Jan-2018,03:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.3,295.06,,,,81.53,41.0,,,,208.69,125.05,9.77,30.95,40.73,1.95,,18.8,,3.1,12.53,,12.83,,,,,3.9,1.33,11.46,,,,,,,,,
01-Jan-2018,03:45,01-Jan-2018,04:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.29,298.73,,,,82.11,53.7,,,,206.86,124.98,9.5,30.11,39.62,1.71,,18.92,,3.1,12.16,,12.33,,,,,3.88,1.04,11.4,,,,,,,,,
01-Jan-2018,04:00,01-Jan-2018,04:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.42,307.45,,,,83.77,52.3,,,,206.86,124.98,8.94,30.04,38.98,,,18.92,,3.1,11.86,,11.89,,,,,3.8,,11.15,,,,,,,,,
01-Jan-2018,04:15,01-Jan-2018,04:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.42,304.47,,,,83.94,47.7,,,,206.86,124.98,8.21,29.64,37.85,1.4,,18.53,,3.1,11.6,,11.56,,,,,3.73,2.82,11.11,,,,,,,,,
01-Jan-2018,04:30,01-Jan-2018,04:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.45,291.99,,,,84.03,46.3,,,,198.05,123.12,8.03,29.51,37.54,1.37,,17.6,,3.1,11.33,,11.16,,,,,3.78,2.78,11.05,,,,,,,,,
01-Jan-2018,04:45,01-Jan-2018,05:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.29,295.09,,,,82.91,48.3,,,,197.19,122.94,7.64,29.49,37.14,1.43,,18.43,,3.1,11.07,,10.77,,,,,3.63,2.73,11.07,,,,,,,,,
01-Jan-2018,05:00,01-Jan-2018,05:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.23,290.94,,,,84.32,49.0,,,,197.19,122.94,7.38,29.09,36.48,1.41,,19.02,,4.86,10.89,,10.47,,,,,3.53,2.73,10.86,,,,,,,,,
01-Jan-2018,05:15,01-Jan-2018,05:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.19,286.62,,,,84.07,55.7,,,,197.19,122.94,6.89,28.99,35.88,1.57,,18.47,,5.96,10.72,,10.21,,,,,3.5,2.64,10.9,,,,,,,,,
01-Jan-2018,05:30,01-Jan-2018,05:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.99,297.82,,,,84.86,39.0,,,,256.29,134.55,6.54,28.88,35.42,2.09,,18.66,,5.91,10.58,,9.96,,,,,3.49,2.43,10.72,,,,,,,,,
01-Jan-2018,05:45,01-Jan-2018,06:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.36,286.46,,,,85.23,42.3,,,,264.52,135.38,6.36,28.34,34.7,1.74,,18.8,,6.31,10.99,,9.67,,,,,3.38,2.39,10.77,,,,,,,,,
01-Jan-2018,06:00,01-Jan-2018,06:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.01,283.37,,,,84.39,33.7,,,,264.52,135.38,6.02,28.17,34.18,1.32,,18.73,,6.1,10.72,,9.46,,,,,3.35,2.23,10.85,,,,,,,,,
01-Jan-2018,06:15,01-Jan-2018,06:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.5,205.66,,,,84.63,50.3,,,,264.52,135.38,5.78,28.18,33.96,1.32,,18.32,,5.65,10.31,,9.34,,,,,3.36,2.17,10.92,,,,,,,,,
01-Jan-2018,06:30,01-Jan-2018,06:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.86,172.59,,,,85.18,42.3,,,,310.16,166.17,6.31,28.96,35.27,1.5,,18.84,,5.56,10.3,,9.24,,,,,3.45,2.35,11.0,,,,,,,,,
01-Jan-2018,06:45,01-Jan-2018,07:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.02,163.3,,,,85.99,41.7,,,,316.51,170.45,6.46,29.45,35.9,1.4,,18.96,,5.55,10.29,,9.18,,,,,3.51,2.55,10.98,,,,,,,,,
01-Jan-2018,07:00,01-Jan-2018,07:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.14,167.98,,,,88.11,54.3,,,,316.51,170.45,6.45,29.37,35.82,2.0,,18.25,,5.56,10.29,,9.23,,,,,3.51,2.82,10.81,,,,,,,,,
01-Jan-2018,07:15,01-Jan-2018,07:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.55,187.94,,,,89.47,51.0,,,,316.51,170.45,6.59,29.34,35.93,1.63,,17.84,,5.57,10.31,,9.32,,,,,3.58,3.04,10.67,,,,,,,,,
01-Jan-2018,07:30,01-Jan-2018,07:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.84,189.35,,,,90.65,69.7,,,,316.6,180.48,6.98,29.97,36.95,1.6,,18.04,,6.11,10.81,,9.33,,,,,3.63,3.08,10.48,,,,,,,,,
01-Jan-2018,07:45,01-Jan-2018,08:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",1.18,186.88,,,,91.35,70.3,,,,316.61,181.32,7.34,30.15,37.48,1.08,,18.38,,6.48,11.17,,9.34,,,,,3.66,3.2,10.71,,,,,,,,,
