﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jan-2018,00:00,01-Jan-2018,00:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,208.01,,,,,,,,,,,,35.98,7.33,43.97,6.05,16.66
01-Jan-2018,00:15,01-Jan-2018,00:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,206.87,,,,,,,,,,,,30.9,6.79,38.04,7.6,13.96
01-Jan-2018,00:30,01-Jan-2018,00:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,206.55,,,,,,,,,,,,34.72,8.37,43.43,7.38,15.3
01-Jan-2018,00:45,01-Jan-2018,01:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,206.55,,,,,,,,,,,,37.62,9.24,47.39,6.57,16.78
01-Jan-2018,01:00,01-Jan-2018,01:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,206.55,,,,,,,,,,,,40.08,16.53,57.1,5.0,16.0
01-Jan-2018,01:15,01-Jan-2018,01:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,201.91,,,,,,,,,,,,34.72,10.95,46.27,5.72,14.92
01-Jan-2018,01:30,01-Jan-2018,01:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,200.67,,,,,,,,,,,,30.39,9.33,40.18,6.0,13.66
01-Jan-2018,01:45,01-Jan-2018,02:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,200.67,,,,,,,,,,,,27.79,8.91,37.19,6.7,14.92
01-Jan-2018,02:00,01-Jan-2018,02:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,200.67,,,,,,,,,,,,33.08,9.67,43.14,6.0,17.13
01-Jan-2018,02:15,01-Jan-2018,02:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,248.52,,,,,,,,,,,,26.13,8.33,35.04,6.22,15.96
01-Jan-2018,02:30,01-Jan-2018,02:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,261.33,,,,,,,,,,,,22.6,7.47,30.57,7.6,15.87
01-Jan-2018,02:45,01-Jan-2018,03:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,261.33,,,,,,,,,,,,25.82,8.12,34.44,6.6,16.65
01-Jan-2018,03:00,01-Jan-2018,03:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,261.33,,,,,,,,,,,,23.61,7.67,31.94,6.88,16.31
01-Jan-2018,03:15,01-Jan-2018,03:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,265.57,,,,,,,,,,,,21.03,8.08,29.84,7.0,15.97
01-Jan-2018,03:30,01-Jan-2018,03:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,266.7,,,,,,,,,,,,20.99,7.64,29.0,7.63,14.87
01-Jan-2018,03:45,01-Jan-2018,04:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,266.7,,,,,,,,,,,,20.11,6.95,27.59,11.15,16.21
01-Jan-2018,04:00,01-Jan-2018,04:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,266.7,,,,,,,,,,,,19.38,6.08,26.09,13.0,16.84
01-Jan-2018,04:15,01-Jan-2018,04:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,249.08,,,,,,,,,,,,19.08,5.49,25.03,11.75,14.93
01-Jan-2018,04:30,01-Jan-2018,04:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,244.37,,,,,,,,,,,,19.37,6.04,25.98,10.82,16.0
01-Jan-2018,04:45,01-Jan-2018,05:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,244.37,,,,,,,,,,,,21.44,5.3,27.32,10.7,14.43
01-Jan-2018,05:00,01-Jan-2018,05:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,244.37,,,,,,,,,,,,22.73,5.37,28.68,10.5,17.99
01-Jan-2018,05:15,01-Jan-2018,05:30,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,213.13,,,,,,,,,,,,27.32,5.13,33.04,8.94,20.96
01-Jan-2018,05:30,01-Jan-2018,05:45,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,204.21,,,,,,,,,,,,36.74,5.22,42.69,7.74,28.01
01-Jan-2018,05:45,01-Jan-2018,06:00,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,204.21,,,,,,,,,,,,46.62,6.72,53.82,7.0,26.18
01-Jan-2018,06:00,01-Jan-2018,06:15,West Bengal,Haldia,"Haldia, Haldia - WBPCB",,,204.21,,,,,,,,,,,,50.59,6.2,57.45,6.34,16.37
