﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jan-2018,00:00,01-Jan-2018,00:15,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.5,750.0,,211.0,74.0,18.0,32.7,1.4,348.0,0.3,4.81,2.5,,,35.5,3.8,22.0,135.0,8.6
01-Jan-2018,00:15,01-Jan-2018,00:30,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.5,750.0,,,74.0,18.0,32.8,1.4,348.0,0.5,4.37,2.5,,,34.3,3.5,21.1,132.6,8.5
01-Jan-2018,00:30,01-Jan-2018,00:45,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.5,750.0,,211.0,74.0,18.0,32.8,1.1,348.0,0.4,4.67,2.1,,,32.6,3.5,20.1,131.9,8.5
01-Jan-2018,00:45,01-Jan-2018,01:00,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.5,750.0,,192.0,75.0,18.0,32.8,1.1,348.0,0.4,4.28,2.1,,,32.2,2.7,19.4,131.1,8.5
01-Jan-2018,01:00,01-Jan-2018,01:15,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.5,750.0,,192.0,75.0,18.0,32.8,1.2,348.0,0.5,3.45,2.3,,,31.2,3.6,19.5,132.9,8.5
01-Jan-2018,01:15,01-Jan-2018,01:30,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.5,750.0,,192.0,75.0,18.0,32.8,1.2,348.0,0.9,3.93,2.2,,,29.6,3.2,18.3,134.0,8.5
01-Jan-2018,01:30,01-Jan-2018,01:45,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.4,750.0,,192.0,75.0,18.0,32.8,1.1,348.0,0.8,3.3,2.1,,,27.8,0.9,15.6,134.9,8.5
01-Jan-2018,01:45,01-Jan-2018,02:00,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.3,750.0,,158.0,75.0,18.0,32.8,1.1,348.0,1.2,2.79,2.0,,,25.9,2.0,15.4,136.0,8.5
01-Jan-2018,02:00,01-Jan-2018,02:15,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.2,750.0,,158.0,75.0,18.0,32.8,0.8,348.0,1.1,3.23,1.6,,,23.9,1.9,14.2,137.5,8.5
01-Jan-2018,02:15,01-Jan-2018,02:30,Uttar Pradesh,Lucknow,"Nishant Ganj, Lucknow - UPPCB",20.2,750.0,,158.0,75.0,18.0,32.8,0.7,348.0,0.5,2.75,1.5,,,23.2,2.2,14.2,136.5,8.5
