﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jan-2018,00:00,01-Jan-2018,00:15,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.22,237.51,,,,98.98,31.0,,,,263.0,121.3,9.64,24.23,33.87,,,3.41,,4.09,1.83,,,,,,,29.22,,9.79,,,,,,,,,
01-Jan-2018,00:15,01-Jan-2018,00:30,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.05,39.87,,,,98.98,9.67,,,,244.5,117.8,9.71,24.19,33.89,1.23,,3.46,,4.06,1.81,,,,,,,29.11,2.99,9.56,,,,,,,,,
01-Jan-2018,00:30,01-Jan-2018,00:45,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.22,64.81,,,,98.98,23.0,,,,244.5,102.9,9.64,24.25,33.89,1.22,,3.85,,4.03,1.79,,,,,,,28.92,3.57,9.67,,,,,,,,,
01-Jan-2018,00:45,01-Jan-2018,01:00,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.11,277.95,,,,98.98,13.0,,,,244.5,102.9,9.4,24.07,33.48,1.13,,3.91,,4.01,1.77,,,,,,,28.85,4.23,9.66,,,,,,,,,
01-Jan-2018,01:00,01-Jan-2018,01:15,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.04,258.72,,,,98.98,29.0,,,,239.0,102.9,9.02,24.28,33.3,1.06,,3.73,,3.95,1.73,,,,,,,28.69,4.7,9.49,,,,,,,,,
01-Jan-2018,01:15,01-Jan-2018,01:30,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.01,253.73,,,,98.98,26.33,,,,233.7,104.9,8.78,24.17,32.94,1.09,,4.26,,3.9,1.71,,,,,,,28.63,5.17,9.48,,,,,,,,,
01-Jan-2018,01:30,01-Jan-2018,01:45,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.1,295.93,,,,98.98,25.0,,,,233.7,113.9,8.24,23.69,31.92,1.09,,3.74,,3.88,1.66,,,,,,,28.95,5.49,9.29,,,,,,,,,
01-Jan-2018,01:45,01-Jan-2018,02:00,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.25,250.57,,,,98.98,29.0,,,,233.7,113.9,6.74,23.32,30.05,0.91,,3.29,,3.8,1.62,,,,,,,29.48,4.55,9.22,,,,,,,,,
01-Jan-2018,02:00,01-Jan-2018,02:15,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.17,270.02,,,,98.98,11.67,,,,228.0,113.9,6.39,23.4,29.79,0.89,,3.05,,3.68,1.57,,,,,,,29.59,3.24,9.02,,,,,,,,,
01-Jan-2018,02:15,01-Jan-2018,02:30,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.2,26.46,,,,98.98,11.0,,,,223.3,116.5,6.3,23.4,29.7,0.89,,3.16,,3.58,1.51,,,,,,,29.5,2.43,8.86,,,,,,,,,
01-Jan-2018,02:30,01-Jan-2018,02:45,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.17,294.79,,,,98.98,26.33,,,,223.3,125.1,6.09,23.14,29.23,0.79,,3.6,,3.43,1.47,,,,,,,29.43,1.78,8.93,,,,,,,,,
01-Jan-2018,02:45,01-Jan-2018,03:00,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.25,274.1,,,,98.98,22.33,,,,223.3,125.1,5.7,22.89,28.59,0.74,,3.26,,3.4,1.44,,,,,,,29.34,1.67,8.85,,,,,,,,,
01-Jan-2018,03:00,01-Jan-2018,03:15,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.21,259.2,,,,98.99,30.33,,,,214.1,125.1,5.55,22.67,28.23,0.7,,3.49,,3.35,1.41,,,,,,,29.33,1.51,8.56,,,,,,,,,
01-Jan-2018,03:15,01-Jan-2018,03:30,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.23,252.84,,,,99.01,36.33,,,,204.4,122.1,5.41,22.78,28.19,0.69,,3.1,,3.32,1.39,,,,,,,29.2,1.32,8.5,,,,,,,,,
01-Jan-2018,03:30,01-Jan-2018,03:45,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.21,294.17,,,,99.01,20.33,,,,204.4,107.8,5.82,22.76,28.58,0.65,,3.37,,3.21,1.36,,,,,,,28.8,1.81,8.51,,,,,,,,,
01-Jan-2018,03:45,01-Jan-2018,04:00,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.11,269.99,,,,99.01,29.0,,,,204.4,107.8,6.04,22.5,28.54,0.63,,3.16,,3.25,1.35,,,,,,,28.63,2.78,8.4,,,,,,,,,
01-Jan-2018,04:00,01-Jan-2018,04:15,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.16,281.25,,,,99.01,23.0,,,,202.6,107.8,6.08,22.29,28.37,0.67,,3.66,,3.26,1.33,,,,,,,28.54,3.56,8.35,,,,,,,,,
01-Jan-2018,04:15,01-Jan-2018,04:30,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.06,325.47,,,,99.01,27.67,,,,200.6,105.9,6.38,22.29,28.67,0.63,,4.09,,3.3,1.32,,,,,,,28.52,4.23,8.36,,,,,,,,,
01-Jan-2018,04:30,01-Jan-2018,04:45,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.2,257.13,,,,99.01,25.67,,,,200.6,99.6,6.43,22.26,28.69,0.6,,4.02,,3.27,1.3,,,,,,,28.45,4.76,8.25,,,,,,,,,
01-Jan-2018,04:45,01-Jan-2018,05:00,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.31,258.27,,,,99.01,16.33,,,,200.6,99.6,6.57,22.31,28.87,0.57,,3.89,,3.26,1.28,,,,,,,28.4,5.21,8.12,,,,,,,,,
01-Jan-2018,05:00,01-Jan-2018,05:15,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",0.18,245.39,,,,99.01,19.67,,,,194.5,99.6,5.8,22.13,27.93,0.53,,3.79,,3.29,1.27,,,,,,,28.8,5.36,7.99,,,,,,,,,
