﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jan-2018,00:00,01-Jan-2018,00:15,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.7,,391.0,261.0,89.0,6.0,32.3,4.2,70.0,0.6,2.52,1.6,,30.7,69.0,29.6,60.8,4.3,10.6
01-Jan-2018,00:15,01-Jan-2018,00:30,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.6,,391.0,261.0,90.0,6.0,32.5,4.0,68.0,0.6,2.5,1.5,,30.2,65.7,34.2,62.7,4.4,10.4
01-Jan-2018,00:30,01-Jan-2018,00:45,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.5,,391.0,261.0,90.0,6.0,32.6,3.8,65.0,0.6,2.39,1.6,,30.4,65.7,36.8,64.9,4.6,10.3
01-Jan-2018,00:45,01-Jan-2018,01:00,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.5,,347.0,202.0,90.0,6.0,32.3,3.8,64.0,0.7,2.18,1.5,,28.1,72.5,43.0,73.5,4.8,9.1
01-Jan-2018,01:00,01-Jan-2018,01:15,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.4,,347.0,202.0,91.0,6.0,32.2,3.6,64.0,0.5,2.24,1.6,,23.6,64.5,72.4,93.2,4.5,6.6
01-Jan-2018,01:15,01-Jan-2018,01:30,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.6,,347.0,202.0,90.0,6.0,32.2,3.7,45.0,0.4,2.13,1.6,,27.2,69.9,86.7,107.7,4.5,6.4
01-Jan-2018,01:30,01-Jan-2018,01:45,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.4,,347.0,202.0,91.0,6.0,32.1,4.0,59.0,0.6,2.18,1.8,,27.4,74.1,88.8,111.6,4.7,6.9
01-Jan-2018,01:45,01-Jan-2018,02:00,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.5,,306.0,185.0,91.0,6.0,32.2,4.0,136.0,0.5,2.2,1.9,,27.6,72.6,83.4,106.4,4.5,6.1
01-Jan-2018,02:00,01-Jan-2018,02:15,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.5,,306.0,185.0,90.0,6.0,32.6,3.9,113.0,0.4,2.3,1.9,,28.1,67.5,75.6,97.4,4.6,6.5
01-Jan-2018,02:15,01-Jan-2018,02:30,Madhya Pradesh,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",20.6,,306.0,185.0,90.0,6.0,32.6,4.1,290.0,0.3,2.3,2.0,,30.8,63.6,68.5,89.5,4.4,6.2
