﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jan-2018,00:00,01-Jan-2018,00:15,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.8,342.0,,,26.8,78.0,22.0,759.0,,,133.0,106.0,1.9,8.3,6.0,1.43,,76.0,,,,,,,,,,10.1,2.9,28.3,,0.0,,,,,,,
01-Jan-2018,00:15,01-Jan-2018,00:30,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.7,339.0,,,26.8,78.0,22.0,758.0,,,133.0,106.0,1.9,7.9,5.8,1.2,,79.4,,,,,,,,,,10.9,3.5,28.4,,0.0,,,,,,,
01-Jan-2018,00:30,01-Jan-2018,00:45,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.8,331.0,,,26.7,78.0,22.0,758.0,,,133.0,106.0,1.8,7.7,5.6,1.11,,82.9,,,,,,,,,,10.8,4.3,28.4,,0.0,,,,,,,
01-Jan-2018,00:45,01-Jan-2018,01:00,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.8,328.0,,,26.6,79.0,22.0,758.0,,,121.0,90.0,1.9,7.0,5.2,1.1,,83.7,,,,,,,,,,10.6,4.8,28.3,,0.0,,,,,,,
01-Jan-2018,01:00,01-Jan-2018,01:15,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.6,331.0,,,26.5,79.0,22.0,757.0,,,121.0,90.0,2.2,7.1,5.5,1.23,,68.1,,,,,,,,,,10.0,5.1,28.4,,0.0,,,,,,,
01-Jan-2018,01:15,01-Jan-2018,01:30,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.6,336.0,,,26.4,79.0,22.0,758.0,,,121.0,90.0,1.9,7.3,5.4,1.17,,85.1,,,,,,,,,,10.2,4.9,28.4,,0.0,,,,,,,
01-Jan-2018,01:30,01-Jan-2018,01:45,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.4,339.0,,,26.4,80.0,22.0,757.0,,,121.0,90.0,2.2,7.4,5.7,1.19,,83.7,,,,,,,,,,10.8,4.5,28.4,,0.0,,,,,,,
01-Jan-2018,01:45,01-Jan-2018,02:00,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.4,339.0,,,26.4,80.0,22.0,757.0,,,112.0,89.0,2.3,7.7,6.0,1.13,,87.8,,,,,,,,,,10.5,3.7,28.3,,0.0,,,,,,,
01-Jan-2018,02:00,01-Jan-2018,02:15,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.6,311.0,,,26.4,80.0,22.0,756.0,,,112.0,89.0,2.3,6.7,5.5,1.23,,77.8,,,,,,,,,,9.9,3.7,28.4,,0.0,,,,,,,
01-Jan-2018,02:15,01-Jan-2018,02:30,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.6,304.0,,,26.3,80.0,22.0,756.0,,,112.0,89.0,2.2,6.4,5.2,1.16,,88.0,,,,,,,,,,10.6,4.2,28.4,,0.0,,,,,,,
01-Jan-2018,02:30,01-Jan-2018,02:45,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.5,337.0,,,26.2,80.0,22.0,756.0,,,112.0,89.0,2.1,6.5,5.2,1.15,,77.3,,,,,,,,,,9.9,3.8,28.4,,0.0,,,,,,,
01-Jan-2018,02:45,01-Jan-2018,03:00,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.9,338.0,,,26.1,81.0,22.0,756.0,,,104.0,76.0,2.3,6.1,5.0,1.18,,62.6,,,,,,,,,,9.3,3.8,28.4,,0.0,,,,,,,
01-Jan-2018,03:00,01-Jan-2018,03:15,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",1.2,337.0,,,26.0,81.0,23.0,756.0,,,104.0,76.0,2.3,6.1,5.1,1.26,,46.5,,,,,,,,,,8.6,4.1,28.4,,0.0,,,,,,,
01-Jan-2018,03:15,01-Jan-2018,03:30,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-2018,03:30,01-Jan-2018,03:45,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",0.9,338.0,,,25.8,82.0,23.0,755.0,,,104.0,76.0,1.7,5.8,4.5,1.16,,73.9,,,,,,,,,,9.6,4.4,28.4,,0.0,,,,,,,
01-Jan-2018,03:45,01-Jan-2018,04:00,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
