﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Feb-2018,00:00,01-Feb-2018,00:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,277.42,133.98,,,,0.0,,,0.61,0.0,,,12.34,13.52,25.87,10.3,
01-Feb-2018,00:15,01-Feb-2018,00:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,292.31,138.14,,,,0.0,,,0.59,0.0,,,12.41,13.49,25.9,10.29,
01-Feb-2018,00:30,01-Feb-2018,00:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,326.53,151.52,,,,0.0,,,0.55,0.0,,,12.3,13.36,25.67,10.16,
01-Feb-2018,00:45,01-Feb-2018,01:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,338.75,158.28,,,,0.0,,,0.57,0.0,,,12.32,13.18,25.5,10.28,
01-Feb-2018,01:00,01-Feb-2018,01:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,312.37,159.4,,,,0.0,,,0.59,0.0,,,12.27,13.26,25.54,10.33,
01-Feb-2018,01:15,01-Feb-2018,01:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,273.87,148.97,,,,0.0,,,0.59,0.0,,,12.25,13.35,25.61,10.25,
01-Feb-2018,01:30,01-Feb-2018,01:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,260.88,140.69,,,,0.0,,,0.52,0.0,,,12.25,13.25,25.5,10.26,
01-Feb-2018,01:45,01-Feb-2018,02:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,242.89,127.07,,,,0.0,,,0.57,0.0,,,12.16,13.32,25.48,10.25,
01-Feb-2018,02:00,01-Feb-2018,02:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,226.73,123.68,,,,0.0,,,0.56,0.0,,,12.12,13.21,25.33,10.27,
01-Feb-2018,02:15,01-Feb-2018,02:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,213.97,123.98,,,,0.0,,,0.53,0.0,,,12.2,13.14,25.34,10.36,
01-Feb-2018,02:30,01-Feb-2018,02:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,209.57,119.9,,,,0.0,,,0.53,0.0,,,12.13,13.04,25.18,10.19,
01-Feb-2018,02:45,01-Feb-2018,03:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,192.61,106.21,,,,0.0,,,0.52,0.0,,,12.31,12.74,25.05,10.4,
