﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2018,00:00,01-Feb-2018,00:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,200.33,129.57,11.06,5.61,16.67,1.37,,54.1,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,00:15,01-Feb-2018,00:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,232.84,139.88,10.97,5.05,16.01,1.38,,50.96,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,00:30,01-Feb-2018,00:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,248.47,150.2,10.97,4.97,15.94,1.4,,50.52,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,00:45,01-Feb-2018,01:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,250.93,145.75,11.0,5.32,16.32,1.41,,52.08,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,01:00,01-Feb-2018,01:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,249.52,146.47,11.01,5.25,16.26,1.42,,50.5,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,01:15,01-Feb-2018,01:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,244.49,138.73,11.23,4.91,16.14,1.43,,48.63,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,01:30,01-Feb-2018,01:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,235.76,130.56,11.05,4.93,15.98,1.43,,45.23,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,01:45,01-Feb-2018,02:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,205.53,114.15,11.24,5.07,16.31,1.43,,42.92,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,02:00,01-Feb-2018,02:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,180.32,109.24,11.32,4.83,16.15,1.44,,50.5,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,02:15,01-Feb-2018,02:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,165.05,99.12,11.08,5.02,16.09,1.45,,48.9,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,02:30,01-Feb-2018,02:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,158.91,91.32,11.22,5.23,16.44,1.46,,28.2,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,02:45,01-Feb-2018,03:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,145.19,82.95,10.66,4.07,14.73,1.47,,44.78,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,03:00,01-Feb-2018,03:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,133.56,80.89,10.68,4.17,14.84,1.48,,44.61,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,03:15,01-Feb-2018,03:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,124.11,73.39,10.59,3.91,14.5,1.48,,45.86,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,03:30,01-Feb-2018,03:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,121.05,59.32,10.29,3.74,14.03,1.48,,49.71,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,03:45,01-Feb-2018,04:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,126.52,46.06,10.1,3.72,13.81,1.48,,50.19,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,04:00,01-Feb-2018,04:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,131.52,38.13,10.0,3.68,13.68,1.48,,42.39,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,04:15,01-Feb-2018,04:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,134.52,40.04,9.98,3.44,13.42,1.49,,50.46,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,04:30,01-Feb-2018,04:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,127.62,43.74,9.88,3.35,13.23,1.48,,48.31,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,04:45,01-Feb-2018,05:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,117.78,37.69,9.96,3.13,13.09,1.48,,48.92,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,05:00,01-Feb-2018,05:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,115.52,29.24,9.94,3.31,13.24,1.48,,48.6,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,05:15,01-Feb-2018,05:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,108.52,27.18,10.1,3.11,13.22,1.47,,42.32,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,05:30,01-Feb-2018,05:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,103.47,31.99,10.29,3.1,13.39,1.48,,37.81,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,05:45,01-Feb-2018,06:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,93.39,30.07,10.2,3.35,13.54,1.47,,49.37,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,06:00,01-Feb-2018,06:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,98.94,30.08,10.29,3.22,13.51,1.46,,48.28,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,06:15,01-Feb-2018,06:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,98.63,28.6,10.24,3.44,13.69,1.45,,50.53,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,06:30,01-Feb-2018,06:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,107.95,46.52,10.4,3.36,13.77,1.45,,49.72,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,06:45,01-Feb-2018,07:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,114.22,54.17,10.44,3.26,13.7,1.44,,48.83,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,07:00,01-Feb-2018,07:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,120.59,60.0,10.5,3.31,13.82,1.43,,49.96,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,07:15,01-Feb-2018,07:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,120.61,54.76,10.68,3.27,13.95,1.42,,50.08,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,07:30,01-Feb-2018,07:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,131.92,68.77,10.82,3.39,14.21,1.41,,55.54,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,07:45,01-Feb-2018,08:00,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,138.16,85.69,11.34,3.72,15.06,1.41,,53.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,08:00,01-Feb-2018,08:15,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,156.76,97.47,11.62,4.34,15.97,1.4,,40.99,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,08:15,01-Feb-2018,08:30,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,185.26,102.15,13.37,5.25,18.62,1.4,,44.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Feb-2018,08:30,01-Feb-2018,08:45,Delhi,Delhi,"Pusa, Delhi - IMD",,,,,,,,,,,229.63,102.71,14.33,5.64,19.97,1.4,,57.74,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
