﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Feb-2018,00:00,01-Feb-2018,00:15,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,266.43,,,,,,,,1.4,,,,70.23,14.34,85.14,20.76,12.75
01-Feb-2018,00:15,01-Feb-2018,00:30,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,266.43,,,,,,,,1.36,,,,69.29,9.09,78.87,2.06,11.21
01-Feb-2018,00:30,01-Feb-2018,00:45,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,266.43,,,,,,,,0.9,,,,53.62,10.93,65.1,7.65,12.27
01-Feb-2018,00:45,01-Feb-2018,01:00,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,264.79,,,,,,,,1.27,,,,74.34,11.21,86.03,14.54,12.05
01-Feb-2018,01:00,01-Feb-2018,01:15,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,257.76,,,,,,,,1.59,,,,67.03,12.51,80.01,12.37,11.5
01-Feb-2018,01:15,01-Feb-2018,01:30,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,257.76,,,,,,,,1.58,,,,58.54,7.73,66.71,9.83,12.37
01-Feb-2018,01:30,01-Feb-2018,01:45,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,257.76,,,,,,,,1.06,,,,69.71,9.83,80.03,1.96,11.13
01-Feb-2018,01:45,01-Feb-2018,02:00,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,248.98,,,,,,,,1.44,,,,67.72,10.54,78.71,12.74,11.52
01-Feb-2018,02:00,01-Feb-2018,02:15,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,211.29,,,,,,,,1.49,,,,57.41,12.18,70.08,22.44,11.47
01-Feb-2018,02:15,01-Feb-2018,02:30,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,,211.29,,,,,,,,1.0,,,,66.91,13.03,80.41,23.2,11.12
