From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2018,00:00,01-Feb-2018,00:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.0,264.0,,,13.8,78.0,8.0,748.0,,,143.0,106.0,9.1,101.52,34.8,1.79,,5.49,,4.16,20.36,,3.04,,,-0.6,,,12.31,,,,,,,,,,
01-Feb-2018,00:15,01-Feb-2018,00:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.4,245.0,,,13.4,78.0,8.0,748.0,,,143.0,106.0,7.13,86.29,29.1,1.71,,7.64,,4.16,19.98,,3.04,,,-0.6,,,15.72,,,,,,,,,,
01-Feb-2018,00:30,01-Feb-2018,00:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,172.0,,,13.2,78.0,8.0,748.0,,,857.0,106.0,7.87,80.84,28.1,1.67,,6.27,,4.16,19.98,,3.04,,,-0.6,,,17.82,,,,,,,,,,
01-Feb-2018,00:45,01-Feb-2018,01:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,281.0,,,13.2,78.0,8.0,748.0,,,120.0,106.0,9.59,97.95,34.1,1.69,,6.86,,4.16,19.6,,3.04,,,-0.6,,,17.82,,,,,,,,,,
01-Feb-2018,01:00,01-Feb-2018,01:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,159.0,,,13.3,78.0,8.0,748.0,,,120.0,85.0,15.13,105.09,39.8,1.7,,4.31,,4.16,19.23,,2.6,,,-0.6,,,15.46,,,,,,,,,,
01-Feb-2018,01:15,01-Feb-2018,01:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,102.0,,,12.8,78.0,8.0,748.0,,,120.0,85.0,23.37,108.1,46.0,1.76,,2.94,,4.16,18.85,,2.6,,,-0.6,,,14.93,,,,,,,,,,
01-Feb-2018,01:30,01-Feb-2018,01:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,270.0,,,12.6,78.0,8.0,748.0,,,720.0,85.0,26.08,107.16,47.5,1.63,,3.72,,4.16,18.47,,3.04,,,-0.6,,,15.72,,,,,,,,,,
01-Feb-2018,01:45,01-Feb-2018,02:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,332.0,,,12.4,78.0,8.0,748.0,,,110.0,85.0,32.1,112.8,53.1,1.55,,3.14,,4.16,18.47,,2.6,,,-0.6,,,17.29,,,,,,,,,,
01-Feb-2018,02:00,01-Feb-2018,02:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.4,220.0,,,12.0,78.0,8.0,748.0,,,110.0,86.0,37.51,108.85,55.6,1.53,,3.53,,4.16,18.1,,2.6,,,-0.6,,,19.65,,,,,,,,,,
01-Feb-2018,02:15,01-Feb-2018,02:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.9,111.0,,,12.5,78.0,9.0,748.0,,,110.0,86.0,34.56,111.86,54.5,1.67,,3.92,,4.16,17.72,,2.6,,,-0.6,,,22.79,,,,,,,,,,
01-Feb-2018,02:30,01-Feb-2018,02:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,180.0,,,12.0,78.0,9.0,748.0,,,662.0,86.0,43.91,109.98,60.1,1.94,,0.0,,4.16,17.72,,2.6,,,-0.6,,,22.53,,,,,,,,,,
01-Feb-2018,02:45,01-Feb-2018,03:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,189.0,,,11.5,79.0,9.0,748.0,,,107.0,86.0,44.16,99.64,57.4,2.32,,0.0,,4.16,17.34,,2.6,,,-0.6,,,27.25,,,,,,,,,,
01-Feb-2018,03:00,01-Feb-2018,03:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,254.0,,,11.3,79.0,9.0,748.0,,,107.0,71.0,64.33,90.24,68.1,2.43,,0.0,,4.16,17.34,,2.6,,,-0.6,,,31.96,,,,,,,,,,
01-Feb-2018,03:15,01-Feb-2018,03:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,289.0,,,11.2,80.0,9.0,748.0,,,107.0,71.0,72.69,93.62,74.5,2.3,,2.16,,4.16,16.97,,2.17,,,-0.6,,,32.75,,,,,,,,,,
01-Feb-2018,03:30,01-Feb-2018,03:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,207.0,,,10.6,79.0,9.0,748.0,,,641.0,71.0,54.98,97.01,63.8,2.12,,3.53,,4.16,16.59,,2.17,,,-0.6,,,31.7,,,,,,,,,,
01-Feb-2018,03:45,01-Feb-2018,04:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.4,172.0,,,9.9,80.0,9.0,748.0,,,107.0,71.0,51.29,98.7,61.8,1.7,,3.53,,4.16,16.59,,2.17,,,-0.6,,,28.82,,,,,,,,,,
01-Feb-2018,04:00,01-Feb-2018,04:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.5,141.0,,,9.6,81.0,9.0,748.0,,,107.0,65.0,38.01,99.08,53.2,1.2,,2.94,,3.84,16.21,,2.17,,,-0.6,,,27.77,,,,,,,,,,
01-Feb-2018,04:15,01-Feb-2018,04:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.5,169.0,,,9.5,81.0,9.0,748.0,,,107.0,65.0,24.23,98.14,43.8,1.06,,2.94,,3.84,15.83,,1.74,,,-0.6,,,24.89,,,,,,,,,,
01-Feb-2018,04:30,01-Feb-2018,04:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.7,165.0,,,9.2,81.0,9.0,748.0,,,641.0,65.0,23.25,100.2,43.7,0.84,,3.72,,3.84,15.46,,1.74,,,-0.6,,,20.7,,,,,,,,,,
01-Feb-2018,04:45,01-Feb-2018,05:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.5,146.0,,,8.9,81.0,9.0,748.0,,,84.0,65.0,20.79,98.89,41.7,0.72,,3.92,,3.84,15.46,,1.74,,,-0.6,,,18.08,,,,,,,,,,
01-Feb-2018,05:00,01-Feb-2018,05:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.6,118.0,,,8.6,81.0,9.0,748.0,,,84.0,54.0,19.31,95.69,39.8,0.7,,4.51,,3.84,15.08,,1.3,,,-0.6,,,17.29,,,,,,,,,,
01-Feb-2018,05:15,01-Feb-2018,05:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.8,116.0,,,8.9,80.0,9.0,748.0,,,84.0,54.0,17.83,94.0,38.4,0.61,,4.12,,3.52,14.7,,1.74,,,-0.6,,,19.65,,,,,,,,,,
01-Feb-2018,05:30,01-Feb-2018,05:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-2018,05:45,01-Feb-2018,06:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.9,113.0,,,9.4,78.0,10.0,748.0,,,582.0,54.0,15.62,102.84,39.4,0.69,,5.49,,3.52,13.95,,1.3,,,-0.6,,,14.93,,,,,,,,,,
01-Feb-2018,06:00,01-Feb-2018,06:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",2.0,122.0,,,9.2,78.0,11.0,748.0,,,78.0,41.0,20.05,105.09,43.0,0.87,,4.12,,3.52,13.95,,1.3,,,-0.6,,,15.72,,,,,,,,,,
01-Feb-2018,06:15,01-Feb-2018,06:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.4,129.0,,,8.8,79.0,11.0,748.0,,,78.0,41.0,22.63,103.96,44.3,1.01,,3.53,,3.52,13.19,,1.3,,,-0.6,,,20.44,,,,,,,,,,
01-Feb-2018,06:30,01-Feb-2018,06:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.4,177.0,,,8.3,79.0,12.0,748.0,,,468.0,41.0,34.19,83.28,46.2,0.87,,2.94,,3.52,13.19,,1.3,,,-0.6,,,22.79,,,,,,,,,,
01-Feb-2018,06:45,01-Feb-2018,07:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.6,196.0,,,8.1,79.0,15.0,748.0,,,71.0,41.0,37.15,71.82,44.9,0.92,,4.31,,3.52,13.19,,0.87,,,-0.6,,,24.1,,,,,,,,,,
01-Feb-2018,07:00,01-Feb-2018,07:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.3,167.0,,,8.0,80.0,22.0,748.0,,,71.0,60.0,29.03,85.73,43.4,0.53,,3.72,,3.52,13.19,,0.87,,,-0.6,,,24.63,,,,,,,,,,
01-Feb-2018,07:15,01-Feb-2018,07:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.9,125.0,,,8.6,80.0,32.0,748.0,,,71.0,60.0,23.74,88.92,40.8,0.28,,4.31,,3.52,13.19,,0.87,,,-0.6,,,24.89,,,,,,,,,,
01-Feb-2018,07:30,01-Feb-2018,07:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.3,120.0,,,9.1,78.0,44.0,748.0,,,425.0,60.0,22.14,93.06,40.9,0.09,,5.1,,3.52,12.82,,0.87,,,-0.6,,,26.99,,,,,,,,,,
01-Feb-2018,07:45,01-Feb-2018,08:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.4,146.0,,,10.2,76.0,55.0,748.0,,,71.0,60.0,23.12,98.51,43.1,0.47,,6.08,,3.52,12.82,,0.87,,,-0.6,,,25.41,,,,,,,,,,
01-Feb-2018,08:00,01-Feb-2018,08:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.4,177.0,,,11.4,73.0,74.0,748.0,,,71.0,58.0,22.39,112.42,46.6,1.01,,6.86,,3.52,12.82,,0.87,,,-0.6,,,26.2,,,,,,,,,,
01-Feb-2018,08:15,01-Feb-2018,08:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.8,181.0,,,12.3,71.0,101.0,748.0,,,71.0,58.0,25.83,114.12,49.4,1.01,,6.86,,3.52,12.44,,0.87,,,-0.6,,,27.77,,,,,,,,,,
01-Feb-2018,08:30,01-Feb-2018,08:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.5,163.0,,,13.4,69.0,123.0,748.0,,,425.0,58.0,23.37,117.5,48.7,0.98,,6.86,,3.2,12.44,,0.87,,,-0.6,,,27.25,,,,,,,,,,
01-Feb-2018,08:45,01-Feb-2018,09:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.0,147.0,,,14.3,66.0,143.0,748.0,,,89.0,58.0,21.4,121.82,48.6,1.16,,9.6,,3.52,12.06,,0.87,,,-0.6,,,28.3,,,,,,,,,,
01-Feb-2018,09:00,01-Feb-2018,09:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.8,121.0,,,14.9,64.0,167.0,748.0,,,444.0,62.0,15.5,107.91,40.8,1.06,,15.29,,3.52,12.06,,0.87,,,-0.6,,,28.3,,,,,,,,,,
01-Feb-2018,09:15,01-Feb-2018,09:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",2.2,122.0,,,15.3,63.0,188.0,748.0,,,89.0,62.0,14.64,102.08,38.6,1.03,,19.21,,3.2,12.06,,0.87,,,-0.6,,,28.56,,,,,,,,,,
01-Feb-2018,09:30,01-Feb-2018,09:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.5,139.0,,,17.0,61.0,211.0,748.0,,,444.0,62.0,10.45,114.3,39.3,0.0,,19.21,,3.2,11.31,,0.87,,,-0.6,,,30.39,,,,,,,,,,
01-Feb-2018,09:45,01-Feb-2018,10:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",2.3,125.0,,,18.3,58.0,228.0,748.0,,,95.0,62.0,17.83,135.74,50.2,0.0,,23.72,,3.2,10.93,,0.87,,,-0.6,,,29.34,,,,,,,,,,
01-Feb-2018,10:00,01-Feb-2018,10:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",2.6,122.0,,,18.0,60.0,242.0,748.0,,,95.0,58.0,12.18,101.9,36.8,0.0,,29.4,,3.2,10.56,,0.43,,,-0.6,,,30.13,,,,,,,,,,
01-Feb-2018,10:15,01-Feb-2018,10:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.4,138.0,,,20.3,57.0,255.0,748.0,,,95.0,58.0,10.09,98.51,34.5,1.08,,32.93,,3.2,10.56,,0.43,,,-0.6,,,31.18,,,,,,,,,,
01-Feb-2018,10:30,01-Feb-2018,10:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",0.8,148.0,,,22.1,54.0,264.0,748.0,,,95.0,58.0,9.96,100.2,34.9,1.37,,36.65,,3.2,9.8,,0.43,,,-0.6,,,0.0,,,,,,,,,,
01-Feb-2018,10:45,01-Feb-2018,11:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.6,140.0,,,22.5,55.0,269.0,748.0,,,101.0,58.0,6.76,107.54,34.9,1.73,,42.53,,3.2,9.8,,0.43,,,-0.6,,,0.0,,,,,,,,,,
01-Feb-2018,11:00,01-Feb-2018,11:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.9,127.0,,,23.0,54.0,279.0,748.0,,,101.0,54.0,9.72,100.02,34.7,1.82,,46.65,,3.2,9.8,,0.43,,,-0.6,,,0.0,,,,,,,,,,
01-Feb-2018,11:15,01-Feb-2018,11:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",1.3,152.0,,,24.0,53.0,282.0,748.0,,,101.0,54.0,7.5,105.66,34.9,1.89,,47.04,,3.2,9.8,,0.87,,,-0.6,,,0.0,,,,,,,,,,
01-Feb-2018,11:30,01-Feb-2018,11:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",2.6,133.0,,,24.1,53.0,277.0,748.0,,,605.0,54.0,0.0,0.0,,1.84,,44.88,,2.88,9.43,,0.43,,,-0.6,,,36.68,,,,,,,,,,
01-Feb-2018,11:45,01-Feb-2018,12:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",3.6,135.0,,,23.2,54.0,277.0,748.0,,,108.0,108.0,0.0,0.0,,1.36,,50.18,,3.2,9.8,,0.43,,,-0.6,,,36.42,,,,,,,,,,
01-Feb-2018,12:00,01-Feb-2018,12:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",3.9,130.0,,,23.4,54.0,277.0,748.0,,,108.0,61.0,0.0,0.0,,0.76,,57.04,,2.88,9.8,,0.43,,,-0.6,,,34.85,,,,,,,,,,
01-Feb-2018,12:15,01-Feb-2018,12:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",3.8,138.0,,,24.2,53.0,273.0,748.0,,,108.0,61.0,6.4,89.49,29.5,0.75,,57.82,,2.88,9.8,,0.43,,,-0.6,,,30.39,,,,,,,,,,
01-Feb-2018,12:30,01-Feb-2018,12:45,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",4.4,142.0,,,24.4,53.0,263.0,748.0,,,648.0,61.0,5.53,88.36,28.6,0.64,,59.98,,2.88,9.8,,0.43,,,-0.6,,,28.03,,,,,,,,,,
01-Feb-2018,12:45,01-Feb-2018,13:00,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",2.9,131.0,,,25.7,51.0,261.0,748.0,,,96.0,61.0,3.81,93.81,29.0,0.72,,60.37,,2.88,9.43,,0.43,,,-0.6,,,23.06,,,,,,,,,,
01-Feb-2018,13:00,01-Feb-2018,13:15,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",3.1,142.0,,,26.3,51.0,258.0,748.0,,,96.0,48.0,4.3,91.37,28.7,0.64,,61.54,,2.88,9.05,,0.43,,,-0.6,,,21.22,,,,,,,,,,
01-Feb-2018,13:15,01-Feb-2018,13:30,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",4.2,124.0,,,26.8,48.0,93.0,748.0,,,96.0,48.0,4.67,84.6,27.1,0.51,,60.37,,2.56,7.92,,0.43,,,-0.6,,,23.06,,,,,,,,,,
