﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Mar-2018,00:00,01-Mar-2018,00:15,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,00:15,01-Mar-2018,00:30,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,00:30,01-Mar-2018,00:45,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,00:45,01-Mar-2018,01:00,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,139.34,71.39,,,,,,,0.98,,,26.74,67.38,,,,
01-Mar-2018,01:00,01-Mar-2018,01:15,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,135.56,72.05,,,,,,,1.03,,,27.7,72.83,,,,
01-Mar-2018,01:15,01-Mar-2018,01:30,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,125.34,72.05,,,,,,,1.05,,,27.88,75.17,,,,
01-Mar-2018,01:30,01-Mar-2018,01:45,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,125.34,72.05,,,,,,,1.0,,,28.86,73.45,,,,
01-Mar-2018,01:45,01-Mar-2018,02:00,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,125.34,65.54,,,,,,,0.99,,,28.36,69.21,,,,
01-Mar-2018,02:00,01-Mar-2018,02:15,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,130.38,62.99,,,,,,,0.93,,,32.28,66.45,,,,
01-Mar-2018,02:15,01-Mar-2018,02:30,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,147.78,62.99,,,,,,,0.89,,,29.95,58.54,,,,
01-Mar-2018,02:30,01-Mar-2018,02:45,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,147.78,62.99,,,,,,,0.62,,,24.29,53.39,,,,
01-Mar-2018,02:45,01-Mar-2018,03:00,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,147.78,71.67,,,,,,,0.53,,,22.74,51.2,,,,
01-Mar-2018,03:00,01-Mar-2018,03:15,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,144.03,74.87,,,,,,,0.07,,,24.76,65.25,,,,
01-Mar-2018,03:15,01-Mar-2018,03:30,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,130.23,74.87,,,,,,,0.73,,,25.34,70.33,,,,
01-Mar-2018,03:30,01-Mar-2018,03:45,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,130.23,74.87,,,,,,,0.78,,,26.58,71.66,,,,
01-Mar-2018,03:45,01-Mar-2018,04:00,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,130.23,79.98,,,,,,,0.77,,,27.83,70.53,,,,
01-Mar-2018,04:00,01-Mar-2018,04:15,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,04:15,01-Mar-2018,04:30,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,125.82,82.33,,,,,,,0.91,,,35.8,63.45,,,,
01-Mar-2018,04:30,01-Mar-2018,04:45,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,125.82,82.33,,,,,,,0.84,,,31.77,54.12,,,,
01-Mar-2018,04:45,01-Mar-2018,05:00,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,125.82,76.05,,,,,,,0.87,,,29.65,54.76,,,,
01-Mar-2018,05:00,01-Mar-2018,05:15,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,05:15,01-Mar-2018,05:30,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,133.42,73.55,,,,,,,1.02,,,31.52,64.89,,,,
01-Mar-2018,05:30,01-Mar-2018,05:45,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,133.42,73.55,,,,,,,0.96,,,32.43,56.25,,,,
01-Mar-2018,05:45,01-Mar-2018,06:00,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,133.42,76.92,,,,,,,0.97,,,37.44,56.55,,,,
01-Mar-2018,06:00,01-Mar-2018,06:15,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,06:15,01-Mar-2018,06:30,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,133.91,78.17,,,,,,,0.81,,,37.63,57.21,,,,
01-Mar-2018,06:30,01-Mar-2018,06:45,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,133.91,78.17,,,,,,,0.96,,,36.23,60.66,,,,
01-Mar-2018,06:45,01-Mar-2018,07:00,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,133.91,82.17,,,,,,,1.52,,,43.49,66.44,,,,
01-Mar-2018,07:00,01-Mar-2018,07:15,Rajasthan, Alwar,"Moti Doongri, Alwar - RSPCB",,,,,,,,,,,,,,,,,,,
