﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Mar-2018,00:00,01-Mar-2018,00:15,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,985.08,,,59.76,1.7,22.45,,,,,,,,,,,,
01-Mar-2018,00:15,01-Mar-2018,00:30,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,984.98,,,60.65,1.7,22.39,,,,,,,,,,,,
01-Mar-2018,00:30,01-Mar-2018,00:45,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,984.93,,,61.36,1.7,22.25,,,,,,,,,,,,
01-Mar-2018,00:45,01-Mar-2018,01:00,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,01:00,01-Mar-2018,01:15,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,01:15,01-Mar-2018,01:30,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,01:30,01-Mar-2018,01:45,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,01:45,01-Mar-2018,02:00,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,02:00,01-Mar-2018,02:15,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,02:15,01-Mar-2018,02:30,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,
01-Mar-2018,02:30,01-Mar-2018,02:45,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,
