﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Mar-2018,00:00,01-Mar-2018,00:15,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,210.9,106.61,,,,17.48,,,1.51,3.03,,,27.62,18.06,45.69,27.05,
01-Mar-2018,00:15,01-Mar-2018,00:30,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,198.16,116.1,,,,18.11,,,1.19,3.04,,,28.23,17.92,46.15,28.18,
01-Mar-2018,00:30,01-Mar-2018,00:45,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,214.18,125.36,,,,18.31,,,0.72,3.05,,,28.05,17.62,45.67,27.73,
01-Mar-2018,00:45,01-Mar-2018,01:00,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,244.51,130.71,,,,18.44,,,3.55,3.05,,,26.68,19.29,45.97,25.57,
01-Mar-2018,01:00,01-Mar-2018,01:15,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,266.06,140.86,,,,18.91,,,0.77,3.06,,,27.45,18.82,46.27,26.89,
01-Mar-2018,01:15,01-Mar-2018,01:30,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,270.04,147.01,,,,19.19,,,0.85,3.04,,,28.42,17.46,45.88,28.43,
01-Mar-2018,01:30,01-Mar-2018,01:45,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,264.47,150.15,,,,19.41,,,2.06,3.13,,,27.72,18.13,45.85,27.26,
01-Mar-2018,01:45,01-Mar-2018,02:00,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,266.44,147.75,,,,20.0,,,1.9,3.21,,,27.94,17.82,45.75,27.57,
01-Mar-2018,02:00,01-Mar-2018,02:15,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,260.08,146.5,,,,20.38,,,0.55,3.17,,,30.04,16.28,46.32,31.28,
01-Mar-2018,02:15,01-Mar-2018,02:30,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,255.86,145.99,,,,20.3,,,1.21,3.19,,,27.62,18.14,45.76,27.06,
01-Mar-2018,02:30,01-Mar-2018,02:45,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,245.88,151.91,,,,14.86,,,0.63,2.37,,,29.62,16.55,46.17,30.51,
01-Mar-2018,02:45,01-Mar-2018,03:00,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,,238.05,150.19,,,,0.0,,,0.48,0.0,,,27.53,18.38,45.92,26.98,
