﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Mar-2018,00:00,01-Mar-2018,00:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,125.95,89.83,86.5,77.27,17.77,,291.2,0.8,,0.0,,26.92,46.8,11.8,58.6,22.8,
01-Mar-2018,00:15,01-Mar-2018,00:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,111.88,77.84,85.44,70.47,17.81,,323.59,0.56,1.23,0.0,,26.16,46.9,10.3,57.2,17.26,5.0
01-Mar-2018,00:30,01-Mar-2018,00:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,111.88,77.84,87.69,73.4,17.39,,327.13,0.62,1.18,0.0,,25.86,44.9,10.2,55.2,18.35,6.4
01-Mar-2018,00:45,01-Mar-2018,01:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,111.88,77.84,91.06,70.0,16.57,,339.67,0.44,1.22,0.0,,25.31,42.5,9.6,52.1,16.9,6.7
01-Mar-2018,01:00,01-Mar-2018,01:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,122.87,86.1,95.68,76.73,15.99,,331.51,0.67,1.21,0.0,,24.97,40.6,9.2,49.8,10.52,6.8
01-Mar-2018,01:15,01-Mar-2018,01:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,133.38,95.98,93.95,76.8,16.41,,298.24,0.74,1.16,0.0,,23.94,38.4,8.5,46.8,21.79,6.7
01-Mar-2018,01:30,01-Mar-2018,01:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,133.38,95.98,92.55,75.67,16.68,,279.91,0.89,1.15,0.0,,23.79,36.1,8.6,44.7,22.06,6.1
01-Mar-2018,01:45,01-Mar-2018,02:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,133.38,95.98,91.01,73.93,16.88,,320.88,0.9,1.12,0.0,,23.27,34.1,8.2,42.3,26.26,5.7
01-Mar-2018,02:00,01-Mar-2018,02:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,117.06,82.46,93.14,74.73,16.45,,326.18,0.85,1.15,0.0,,22.57,31.9,8.2,40.1,24.47,5.7
01-Mar-2018,02:15,01-Mar-2018,02:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,98.4,68.93,94.33,75.6,16.24,,296.57,0.66,1.2,0.0,,22.47,30.5,8.1,38.6,19.72,5.5
01-Mar-2018,02:30,01-Mar-2018,02:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,98.4,68.93,88.93,75.53,17.09,,293.16,0.9,1.19,0.0,,21.89,28.8,7.6,36.4,22.35,5.5
01-Mar-2018,02:45,01-Mar-2018,03:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,98.4,68.93,88.57,72.0,16.93,,314.11,0.76,1.17,0.0,,21.53,27.8,7.4,35.2,23.66,5.3
01-Mar-2018,03:00,01-Mar-2018,03:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,96.06,68.78,91.88,74.4,16.26,,323.02,0.81,1.13,0.0,,21.46,26.1,8.0,34.1,16.34,5.4
01-Mar-2018,03:15,01-Mar-2018,03:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,93.27,68.63,95.0,75.0,15.77,,322.96,0.72,1.15,0.0,,21.31,25.7,7.8,33.5,16.26,5.3
01-Mar-2018,03:30,01-Mar-2018,03:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,93.27,68.63,95.92,75.6,14.19,,4.47,0.51,1.17,0.0,,21.91,25.3,8.7,34.0,6.27,5.2
01-Mar-2018,03:45,01-Mar-2018,04:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,93.27,68.63,95.97,82.2,14.36,,319.65,0.65,1.15,0.0,,21.68,25.9,8.7,34.6,8.53,5.0
01-Mar-2018,04:00,01-Mar-2018,04:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,91.14,64.51,95.93,73.73,14.56,,350.02,0.81,,0.0,,22.14,26.5,9.3,35.7,10.71,
01-Mar-2018,04:15,01-Mar-2018,04:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,89.1,59.59,95.98,78.0,12.29,,20.07,0.35,1.2,0.0,,22.18,27.1,9.3,36.4,7.26,6.0
01-Mar-2018,04:30,01-Mar-2018,04:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,89.1,59.59,96.02,84.73,11.91,,12.39,0.4,1.12,0.0,,22.48,28.0,9.7,37.7,5.42,8.3
01-Mar-2018,04:45,01-Mar-2018,05:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,89.1,59.59,96.03,85.47,12.03,,347.66,0.1,1.13,0.0,,22.71,28.9,9.9,38.8,5.6,8.8
01-Mar-2018,05:00,01-Mar-2018,05:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,75.46,48.63,96.05,85.53,12.5,,301.92,0.11,1.07,0.0,,23.09,30.1,10.2,40.4,5.39,8.3
01-Mar-2018,05:15,01-Mar-2018,05:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,59.15,37.68,96.05,91.07,13.02,,349.9,0.63,1.09,0.0,,23.46,30.7,11.3,42.0,5.87,8.5
01-Mar-2018,05:30,01-Mar-2018,05:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,59.15,37.68,96.05,86.13,13.23,,358.04,0.53,1.13,0.0,,23.61,31.9,11.0,42.9,8.6,8.2
01-Mar-2018,05:45,01-Mar-2018,06:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,59.15,37.68,96.04,91.53,13.27,,308.11,0.42,1.2,0.0,,24.17,32.6,11.2,43.8,6.18,8.0
01-Mar-2018,06:00,01-Mar-2018,06:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,55.33,40.48,96.02,93.6,13.73,,332.63,0.65,1.16,0.0,,23.97,33.4,10.9,44.3,9.58,7.8
01-Mar-2018,06:15,01-Mar-2018,06:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,51.51,43.15,96.02,95.87,13.51,,294.15,0.26,1.15,0.0,,23.88,33.6,10.6,44.2,4.96,7.5
01-Mar-2018,06:30,01-Mar-2018,06:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,51.51,43.15,95.98,95.53,14.19,,206.81,0.39,1.17,0.0,,23.98,33.6,10.2,43.8,4.87,7.1
01-Mar-2018,06:45,01-Mar-2018,07:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,51.51,43.15,95.96,104.67,13.94,,182.7,0.2,1.29,0.0,,24.09,33.5,10.9,44.4,2.5,6.6
01-Mar-2018,07:00,01-Mar-2018,07:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,74.25,54.66,95.98,117.33,13.4,,165.53,0.35,1.31,0.0,,24.62,32.7,12.4,45.2,1.86,6.8
01-Mar-2018,07:15,01-Mar-2018,07:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,100.24,68.42,95.99,117.93,13.67,,208.55,0.15,1.36,0.0,,24.46,32.1,13.2,45.3,1.63,7.5
01-Mar-2018,07:30,01-Mar-2018,07:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,100.24,68.42,95.96,131.07,14.39,,132.69,0.19,1.35,0.0,,24.61,31.1,14.3,45.4,1.35,7.2
01-Mar-2018,07:45,01-Mar-2018,08:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,100.24,68.42,95.96,155.13,14.45,,70.75,0.21,1.37,0.0,,24.4,30.2,14.7,44.9,1.23,7.8
01-Mar-2018,08:00,01-Mar-2018,08:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,125.08,86.51,95.99,194.27,14.86,,132.59,0.24,,0.0,,24.57,29.2,15.4,44.6,1.4,
01-Mar-2018,08:15,01-Mar-2018,08:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,154.77,108.12,95.96,212.67,15.75,,116.1,0.27,1.44,0.0,,24.34,28.1,15.6,43.7,1.9,5.5
01-Mar-2018,08:30,01-Mar-2018,08:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,154.77,108.12,95.39,224.67,16.55,,271.38,0.85,1.62,0.0,,24.14,27.4,15.9,43.3,1.74,6.2
01-Mar-2018,08:45,01-Mar-2018,09:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,154.77,108.12,89.81,249.4,17.3,,285.35,1.42,1.64,0.0,,24.45,24.8,18.2,43.0,1.93,7.1
01-Mar-2018,09:00,01-Mar-2018,09:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,192.65,126.39,85.16,275.73,17.99,,292.46,1.06,1.5,0.0,,25.1,22.0,21.3,43.3,2.47,9.2
01-Mar-2018,09:15,01-Mar-2018,09:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,228.89,144.66,84.9,238.6,18.3,,329.72,1.6,1.46,0.0,,25.05,20.9,22.3,43.3,2.86,12.2
