From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Mar-2018,00:00,01-Mar-2018,00:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.91,194.33,,,,34.94,88.12,756.87,,,254.35,102.59,7.19,33.07,40.26,,,2.6,,1.27,,0.02,,,,,,7.02,,26.72,0.01,0.0,,,3.19,,,,
01-Mar-2018,00:15,01-Mar-2018,00:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.47,199.28,,,,36.8,89.61,756.87,,,254.35,102.59,6.84,32.82,39.66,0.31,,2.9,,1.24,,0.0,,,,,,6.99,9.98,26.39,0.01,0.0,,,3.98,,,,
01-Mar-2018,00:30,01-Mar-2018,00:45,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.43,299.77,,,,37.94,97.65,756.8,,,222.25,91.26,4.8,31.78,36.58,0.27,,2.93,,1.18,,0.0,,,,,,7.65,9.71,25.98,0.0,0.0,,,4.04,,,,
01-Mar-2018,00:45,01-Mar-2018,01:00,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.25,173.73,,,,37.04,96.82,756.73,,,212.95,89.69,3.64,30.35,33.98,0.25,,3.47,,1.16,,0.0,,,,,,9.13,9.53,25.96,0.0,0.0,,,3.75,,,,
01-Mar-2018,01:00,01-Mar-2018,01:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.71,206.08,,,,36.45,97.22,756.71,,,212.95,89.69,3.01,27.65,30.66,0.26,,6.23,,1.36,,0.04,,,,,,9.89,11.6,26.38,0.0,0.0,,,4.01,,,,
01-Mar-2018,01:15,01-Mar-2018,01:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.76,199.71,,,,38.83,92.14,756.68,,,212.95,89.69,5.26,29.18,34.45,0.36,,5.07,,0.4,,0.0,,,,,,9.2,8.9,26.25,0.0,0.0,,,3.4,,,,
01-Mar-2018,01:30,01-Mar-2018,01:45,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.92,188.12,,,,35.32,95.03,756.6,,,177.21,77.52,5.13,27.45,32.58,0.27,,5.66,,0.02,,0.0,,,,,,9.15,6.48,26.2,0.0,0.0,,,4.28,,,,
01-Mar-2018,01:45,01-Mar-2018,02:00,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.67,226.05,,,,34.01,95.37,756.54,,,166.17,74.89,2.71,19.0,21.71,0.17,,16.51,,0.0,,0.0,,,,,,12.02,5.18,26.06,0.0,0.0,,,4.42,,,,
01-Mar-2018,02:00,01-Mar-2018,02:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.69,194.31,,,,33.74,94.47,756.43,,,166.17,74.89,2.32,20.95,23.27,0.14,,13.39,,0.27,,0.0,,,,,,11.77,5.02,25.85,0.0,0.0,,,3.22,,,,
01-Mar-2018,02:15,01-Mar-2018,02:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",0.67,194.47,,,,33.16,85.42,756.31,,,166.17,74.89,2.86,21.27,24.13,0.12,,12.63,,0.49,,0.0,,,,,,11.4,4.83,25.67,0.0,0.0,,,2.2,,,,
