﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Apr-2018,00:00,01-Apr-2018,00:15,Delhi,Delhi,"DTU, Delhi - CPCB",,,425.16,49.0,49.7,4.5,29.5,,108.0,0.1,,,,46.1,22.5,28.8,26.5,0.0,0.0
01-Apr-2018,00:15,01-Apr-2018,00:30,Delhi,Delhi,"DTU, Delhi - CPCB",,,425.6,,50.5,4.8,29.6,,125.0,0.28,,,,39.2,20.7,13.0,15.8,0.0,0.0
01-Apr-2018,00:30,01-Apr-2018,00:45,Delhi,Delhi,"DTU, Delhi - CPCB",,,425.6,,49.7,6.1,29.1,,110.0,0.3,,,,55.2,9.7,48.5,32.3,0.0,0.0
01-Apr-2018,00:45,01-Apr-2018,01:00,Delhi,Delhi,"DTU, Delhi - CPCB",,,425.6,,48.1,6.3,29.7,,109.0,0.31,,,,52.3,8.4,39.1,29.7,0.0,0.0
01-Apr-2018,01:00,01-Apr-2018,01:15,Delhi,Delhi,"DTU, Delhi - CPCB",,,412.45,,47.1,6.1,29.4,,107.0,0.4,,,,46.0,12.9,25.9,23.4,0.0,0.0
01-Apr-2018,01:15,01-Apr-2018,01:30,Delhi,Delhi,"DTU, Delhi - CPCB",,,412.3,,46.0,5.4,29.7,,109.0,0.32,,,,45.1,17.2,21.6,22.7,0.0,0.0
01-Apr-2018,01:30,01-Apr-2018,01:45,Delhi,Delhi,"DTU, Delhi - CPCB",,,412.3,,45.9,5.6,29.8,,119.0,0.33,,,,49.4,9.4,46.1,36.8,0.0,0.0
01-Apr-2018,01:45,01-Apr-2018,02:00,Delhi,Delhi,"DTU, Delhi - CPCB",,,412.3,,44.6,6.4,29.5,,114.0,0.56,,,,52.7,16.3,38.3,36.7,0.01,0.0
01-Apr-2018,02:00,01-Apr-2018,02:15,Delhi,Delhi,"DTU, Delhi - CPCB",,,255.2,,43.3,5.8,30.1,,118.0,0.52,,,,42.2,29.0,11.1,14.4,0.01,0.0
01-Apr-2018,02:15,01-Apr-2018,02:30,Delhi,Delhi,"DTU, Delhi - CPCB",,,253.4,,43.4,4.7,29.6,,121.0,0.47,,,,47.8,16.0,28.5,20.6,0.01,0.0
