﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Apr-2018,00:00,01-Apr-2018,00:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,00:15,01-Apr-2018,00:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,00:30,01-Apr-2018,00:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,00:45,01-Apr-2018,01:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,01:00,01-Apr-2018,01:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,01:15,01-Apr-2018,01:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,01:30,01-Apr-2018,01:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,01:45,01-Apr-2018,02:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,02:00,01-Apr-2018,02:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,02:15,01-Apr-2018,02:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,02:30,01-Apr-2018,02:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,02:45,01-Apr-2018,03:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,03:00,01-Apr-2018,03:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,03:15,01-Apr-2018,03:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,03:30,01-Apr-2018,03:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,03:45,01-Apr-2018,04:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,04:00,01-Apr-2018,04:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,04:15,01-Apr-2018,04:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,04:30,01-Apr-2018,04:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,04:45,01-Apr-2018,05:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,05:00,01-Apr-2018,05:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,05:15,01-Apr-2018,05:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,05:30,01-Apr-2018,05:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,05:45,01-Apr-2018,06:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,06:00,01-Apr-2018,06:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,06:15,01-Apr-2018,06:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,06:30,01-Apr-2018,06:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18.4,987.0,128.0,51.0,69.0,18.0,,0.9,287.5,1.5,0.4,0.2,0.0,47.9,15.9,1.2,17.1,43.8,3.3
01-Apr-2018,06:45,01-Apr-2018,07:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18.07,987.0,128.0,51.0,71.0,28.0,,0.9,269.33,1.13,0.4,0.2,0.0,47.77,16.83,1.43,18.3,39.23,2.97
01-Apr-2018,07:00,01-Apr-2018,07:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18.43,987.0,153.0,61.0,70.33,42.0,,0.9,141.67,0.6,0.4,0.2,0.0,47.4,18.03,1.8,19.83,32.23,2.9
01-Apr-2018,07:15,01-Apr-2018,07:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",19.47,987.0,153.0,61.0,67.33,57.33,,0.9,135.67,1.57,0.43,0.2,0.0,47.63,16.17,2.03,18.17,29.37,3.07
01-Apr-2018,07:30,01-Apr-2018,07:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",21.43,987.33,153.0,61.0,61.33,80.0,,0.9,126.0,1.4,0.53,0.2,0.0,49.2,16.83,2.47,19.3,35.57,3.53
01-Apr-2018,07:45,01-Apr-2018,08:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",23.5,988.0,153.0,61.0,54.33,117.0,,0.45,133.67,1.57,0.35,0.37,0.0,33.53,17.3,7.03,30.03,35.4,1.7
01-Apr-2018,08:00,01-Apr-2018,08:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",25.33,988.0,178.0,63.0,49.0,179.33,,1.0,129.67,2.2,0.5,0.13,0.0,34.2,15.83,6.57,28.53,69.07,3.3
01-Apr-2018,08:15,01-Apr-2018,08:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",26.37,988.0,178.0,63.0,46.0,224.67,,0.9,110.33,1.63,0.47,0.2,0.0,51.77,13.53,1.9,15.43,82.53,4.73
01-Apr-2018,08:30,01-Apr-2018,08:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",27.2,989.0,178.0,63.0,44.0,260.33,,0.6,121.67,1.73,0.39,0.43,0.0,38.73,16.33,6.33,30.03,56.2,3.73
01-Apr-2018,08:45,01-Apr-2018,09:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",28.07,989.0,178.0,63.0,42.33,285.33,,0.9,130.33,2.43,0.5,0.2,0.0,57.73,15.77,2.03,17.77,90.6,5.3
01-Apr-2018,09:00,01-Apr-2018,09:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",28.47,989.0,182.0,72.0,42.0,347.0,,0.9,152.0,3.9,0.43,0.2,0.0,54.2,13.6,1.73,15.33,99.2,4.93
01-Apr-2018,09:15,01-Apr-2018,09:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",28.9,989.0,182.0,72.0,40.67,389.33,,0.9,149.0,3.83,0.4,0.2,0.0,53.4,11.07,1.53,12.6,98.27,4.67
01-Apr-2018,09:30,01-Apr-2018,09:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",29.4,989.0,182.0,72.0,40.0,427.33,,0.3,143.33,4.33,0.43,0.67,0.0,21.13,10.87,1.4,40.43,127.77,1.63
01-Apr-2018,09:45,01-Apr-2018,10:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",29.43,989.0,182.0,72.0,40.0,462.0,,0.0,160.33,4.23,0.4,0.9,,4.63,11.2,1.47,54.87,115.87,0.1
01-Apr-2018,10:00,01-Apr-2018,10:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",30.1,989.0,210.0,52.0,38.67,493.33,,0.0,156.33,4.1,0.43,0.9,,4.53,11.1,1.43,52.7,117.7,0.1
01-Apr-2018,10:15,01-Apr-2018,10:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",30.5,989.0,210.0,52.0,38.0,524.67,,0.0,155.0,3.67,0.4,1.0,,4.8,11.23,1.5,53.53,121.87,0.1
01-Apr-2018,10:30,01-Apr-2018,10:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",31.43,989.0,210.0,52.0,36.0,561.67,,1.0,144.0,4.47,0.4,0.1,0.0,55.6,10.13,1.57,11.7,126.6,4.8
