﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Apr-2018,00:00,01-Apr-2018,00:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",22.93,743.0,256.0,101.0,46.67,4.67,,24.6,86.33,0.97,1.6,69.6,,46.87,147.8,24.03,169.83,11.5,38.9
01-Apr-2018,00:15,01-Apr-2018,00:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",22.77,743.0,256.0,101.0,46.33,4.0,,22.23,92.0,1.33,1.47,68.17,,44.3,141.63,15.87,152.8,14.13,26.97
01-Apr-2018,00:30,01-Apr-2018,00:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",22.6,743.0,256.0,101.0,45.67,4.33,,20.8,76.33,1.63,1.37,68.7,,44.5,133.43,16.03,145.43,17.17,25.87
01-Apr-2018,00:45,01-Apr-2018,01:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",22.93,743.0,256.0,101.0,43.33,4.67,,19.0,74.67,1.87,1.13,66.83,,43.8,98.13,8.7,102.6,42.67,22.07
01-Apr-2018,01:00,01-Apr-2018,01:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",22.87,743.0,200.0,113.0,43.33,4.67,,16.53,110.33,0.9,0.93,61.8,,43.2,85.57,2.73,82.67,52.4,20.7
01-Apr-2018,01:15,01-Apr-2018,01:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",22.17,743.0,200.0,113.0,44.67,4.0,,14.57,120.67,1.23,0.87,54.27,,39.87,80.6,4.7,80.8,,19.07
01-Apr-2018,01:30,01-Apr-2018,01:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",21.87,742.67,200.0,113.0,45.33,4.33,,12.5,135.0,1.27,0.8,37.33,,33.37,78.43,28.93,65.07,51.1,28.3
01-Apr-2018,01:45,01-Apr-2018,02:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",21.73,743.0,200.0,113.0,45.33,4.33,,11.27,132.0,1.87,0.83,50.03,,42.3,74.0,3.77,73.37,55.9,15.8
01-Apr-2018,02:00,01-Apr-2018,02:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",21.7,742.67,162.0,89.0,45.0,3.67,,11.0,117.0,2.07,0.31,50.7,,44.37,69.6,5.3,71.5,63.2,11.6
01-Apr-2018,02:15,01-Apr-2018,02:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",21.57,742.67,162.0,89.0,45.0,4.0,,,113.33,1.73,0.07,,,42.7,,,,,7.87
01-Apr-2018,02:30,01-Apr-2018,02:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",21.57,743.0,162.0,89.0,43.67,4.67,,,91.67,2.6,0.07,,,40.2,44.4,,,,6.83
01-Apr-2018,02:45,01-Apr-2018,03:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",21.47,743.0,162.0,89.0,44.0,4.33,,6.0,112.67,2.07,0.77,38.07,,40.33,47.93,3.9,49.6,78.57,19.83
01-Apr-2018,03:00,01-Apr-2018,03:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",21.2,743.0,164.0,68.0,44.33,4.33,,5.43,137.33,1.47,0.67,35.03,,40.9,48.67,1.53,46.97,80.7,21.87
01-Apr-2018,03:15,01-Apr-2018,03:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",20.9,743.0,164.0,68.0,45.0,4.33,,4.83,145.0,0.83,0.53,32.37,,38.17,45.97,1.9,42.83,81.17,16.1
01-Apr-2018,03:30,01-Apr-2018,03:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",20.6,743.0,164.0,68.0,45.67,4.33,,4.43,168.67,0.57,0.47,31.37,,38.27,48.9,3.2,49.47,80.87,13.67
01-Apr-2018,03:45,01-Apr-2018,04:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",20.5,743.0,164.0,68.0,46.0,4.33,,21.73,175.33,0.73,0.47,14.83,3.45,38.2,44.4,2.5,41.2,84.77,13.97
01-Apr-2018,04:00,01-Apr-2018,04:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",20.3,743.0,135.0,52.0,46.0,4.0,,3.3,94.0,0.7,0.5,30.3,,38.3,49.2,3.5,50.3,81.8,6.6
01-Apr-2018,04:15,01-Apr-2018,04:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,04:30,01-Apr-2018,04:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,04:45,01-Apr-2018,05:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,05:00,01-Apr-2018,05:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,05:15,01-Apr-2018,05:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,05:30,01-Apr-2018,05:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,05:45,01-Apr-2018,06:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",,,,,,,,,,,,,,,,,,,
01-Apr-2018,06:00,01-Apr-2018,06:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",19.35,743.0,103.0,36.0,49.5,5.0,,24.75,74.5,1.15,1.05,5.75,2.05,43.95,68.95,4.65,70.05,49.0,12.6
01-Apr-2018,06:15,01-Apr-2018,06:30,Delhi,Delhi,"R K Puram, Delhi - DPCC",19.57,743.0,103.0,36.0,49.33,9.67,,25.23,129.67,0.8,1.1,6.27,1.9,40.27,70.27,6.07,73.2,53.17,13.57
01-Apr-2018,06:30,01-Apr-2018,06:45,Delhi,Delhi,"R K Puram, Delhi - DPCC",19.5,743.0,103.0,36.0,50.0,20.0,,26.33,76.33,0.77,1.13,6.53,2.53,42.27,70.63,4.87,71.9,47.93,15.23
01-Apr-2018,06:45,01-Apr-2018,07:00,Delhi,Delhi,"R K Puram, Delhi - DPCC",19.6,743.0,103.0,36.0,50.0,32.33,,10.5,99.67,1.0,1.23,20.6,3.0,40.43,74.37,6.37,77.37,45.93,15.17
01-Apr-2018,07:00,01-Apr-2018,07:15,Delhi,Delhi,"R K Puram, Delhi - DPCC",19.83,743.0,132.0,59.0,50.0,47.0,,3.33,129.67,0.9,1.1,28.17,,41.7,76.07,5.33,77.53,44.33,13.77
