﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Apr-2018,00:00,01-Apr-2018,00:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.4,108.0,,,26.8,49.0,6.0,716.0,,,174.0,73.0,18.1,68.7,51.2,1.69,,25.5,,0.8,2.9,,0.5,,,-0.2,,20.0,6.2,28.2,,0.0,,,,,,,
01-Apr-2018,00:15,01-Apr-2018,00:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.6,105.0,,,26.6,52.0,6.0,716.0,,,174.0,73.0,17.3,67.5,50.0,1.56,,26.3,,0.7,2.5,,0.4,,,-0.2,,22.4,7.0,28.6,,0.0,,,,,,,
01-Apr-2018,00:30,01-Apr-2018,00:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.5,95.0,,,26.2,55.0,6.0,717.0,,,174.0,73.0,15.2,59.5,44.0,1.45,,28.6,,0.5,2.0,,0.3,,,-0.2,,26.5,6.3,29.1,,0.0,,,,,,,
01-Apr-2018,00:45,01-Apr-2018,01:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.5,121.0,,,25.9,57.0,6.0,716.0,,,114.0,53.0,13.6,57.1,41.4,1.37,,26.7,,0.5,1.9,,0.3,,,-0.2,,27.6,5.6,29.3,,0.0,,,,,,,
01-Apr-2018,01:00,01-Apr-2018,01:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.6,101.0,,,25.7,58.0,6.0,716.0,,,114.0,53.0,12.6,54.9,39.4,1.27,,24.9,,0.5,1.8,,0.2,,,-0.2,,25.6,4.9,29.1,,0.0,,,,,,,
01-Apr-2018,01:15,01-Apr-2018,01:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.8,104.0,,,25.5,59.0,6.0,716.0,,,114.0,53.0,12.1,54.7,38.9,1.21,,27.8,,0.4,1.7,,0.2,,,-0.2,,25.5,4.5,29.3,,0.0,,,,,,,
01-Apr-2018,01:30,01-Apr-2018,01:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.9,102.0,,,25.4,59.0,6.0,716.0,,,114.0,53.0,10.6,52.3,36.5,1.12,,27.0,,0.4,1.5,,0.3,,,-0.2,,27.1,4.2,29.5,,0.0,,,,,,,
01-Apr-2018,01:45,01-Apr-2018,02:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.9,105.0,,,25.3,60.0,6.0,716.0,,,92.0,46.0,8.8,50.3,33.9,1.05,,29.4,,0.4,1.4,,0.0,,,-0.2,,27.6,3.9,29.4,,0.0,,,,,,,
01-Apr-2018,02:00,01-Apr-2018,02:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.8,102.0,,,25.2,60.0,6.0,716.0,,,92.0,46.0,7.6,49.3,32.4,1.0,,30.8,,0.3,1.3,,0.0,,,-0.2,,27.2,4.3,29.3,,0.0,,,,,,,
01-Apr-2018,02:15,01-Apr-2018,02:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.9,90.0,,,25.0,61.0,6.0,716.0,,,92.0,46.0,7.4,49.9,32.6,0.98,,27.6,,0.3,1.3,,0.1,,,-0.2,,28.3,4.0,29.6,,0.0,,,,,,,
