﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Apr-2018,00:00,01-Apr-2018,00:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.5,257.2,132.2,28.21,16.23,34.11,0.0,201.81,0.86,0.66,0.0,,,32.86,7.5,24.62,26.03,0.0
01-Apr-2018,00:15,01-Apr-2018,00:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.5,257.2,132.2,28.22,16.0,34.17,0.0,220.83,0.79,0.33,0.0,,,27.53,7.84,21.97,31.26,0.0
01-Apr-2018,00:30,01-Apr-2018,00:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.6,282.4,147.15,28.4,16.0,34.11,0.0,220.38,0.83,0.0,0.0,,,24.91,9.26,21.83,28.37,0.0
01-Apr-2018,00:45,01-Apr-2018,01:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.6,291.6,152.59,28.49,16.0,34.02,0.0,223.5,1.02,0.86,0.0,,,26.31,5.71,19.77,29.82,3.35
01-Apr-2018,01:00,01-Apr-2018,01:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.7,291.6,152.59,28.65,16.0,33.79,0.0,213.13,1.04,0.81,0.0,,,26.73,5.83,20.09,28.89,3.78
01-Apr-2018,01:15,01-Apr-2018,01:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.7,291.6,152.59,28.73,16.0,33.75,0.0,223.88,1.35,0.86,0.0,,,24.5,5.27,18.27,29.98,1.77
01-Apr-2018,01:30,01-Apr-2018,01:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.8,344.0,164.86,28.84,16.0,33.61,0.0,213.74,1.45,0.71,0.0,,,22.37,6.07,17.56,34.55,2.08
01-Apr-2018,01:45,01-Apr-2018,02:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.9,363.0,169.32,28.93,16.0,33.47,0.0,221.23,1.15,0.66,0.0,,,26.56,4.9,18.98,32.21,0.91
01-Apr-2018,02:00,01-Apr-2018,02:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.7,363.0,169.32,29.06,16.01,33.37,0.0,158.2,0.14,0.65,0.0,,,23.49,8.29,20.35,19.25,0.99
01-Apr-2018,02:15,01-Apr-2018,02:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.5,363.0,169.32,29.68,16.17,32.76,0.0,143.33,0.1,0.7,0.0,,,34.24,10.37,27.66,13.55,0.51
01-Apr-2018,02:30,01-Apr-2018,02:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.3,398.1,181.6,30.06,16.3,32.32,0.0,171.02,0.08,0.0,0.0,,,38.7,8.61,28.34,16.98,0.0
01-Apr-2018,02:45,01-Apr-2018,03:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.2,410.8,185.81,30.49,16.33,31.96,0.0,214.07,0.22,0.93,0.0,,,37.01,13.46,31.57,13.14,4.59
01-Apr-2018,03:00,01-Apr-2018,03:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.0,410.8,185.81,30.65,16.54,31.78,0.0,70.23,0.26,1.0,0.0,,,45.56,16.07,38.14,13.36,4.94
01-Apr-2018,03:15,01-Apr-2018,03:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.9,410.8,185.81,31.06,16.61,31.39,0.0,174.47,0.55,0.9,0.0,,,44.89,23.16,43.45,12.94,5.13
01-Apr-2018,03:30,01-Apr-2018,03:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.7,424.7,204.17,31.22,17.25,31.3,0.0,137.64,0.17,0.73,0.0,,,42.49,22.39,41.59,23.61,5.09
01-Apr-2018,03:45,01-Apr-2018,04:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.6,429.8,210.85,31.5,17.5,30.84,0.0,178.21,0.3,1.02,0.0,,,43.35,12.67,34.26,10.88,5.19
01-Apr-2018,04:00,01-Apr-2018,04:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.5,429.8,210.85,31.55,17.5,30.34,0.0,194.56,0.14,1.2,0.0,,,38.0,13.55,32.17,10.88,4.66
01-Apr-2018,04:15,01-Apr-2018,04:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.4,429.8,210.85,31.38,17.5,30.31,0.0,180.84,0.22,1.37,0.0,,,39.8,14.11,33.47,11.28,4.7
01-Apr-2018,04:30,01-Apr-2018,04:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.4,413.2,209.26,31.97,17.5,29.94,0.0,222.26,0.16,0.0,0.0,,,37.83,21.32,38.3,8.18,0.0
01-Apr-2018,04:45,01-Apr-2018,05:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.4,407.2,208.69,32.22,17.5,29.79,0.0,190.97,0.21,1.36,0.0,,,40.49,22.8,40.64,7.85,3.8
01-Apr-2018,05:00,01-Apr-2018,05:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.3,407.2,208.69,32.52,17.53,29.45,0.0,210.52,0.31,0.99,0.0,,,35.94,15.3,32.49,6.0,3.95
01-Apr-2018,05:15,01-Apr-2018,05:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.1,407.2,208.69,32.45,17.57,29.54,0.0,171.34,0.77,0.76,0.0,,,36.45,16.24,33.5,5.76,3.74
01-Apr-2018,05:30,01-Apr-2018,05:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.9,370.1,180.0,32.71,17.6,29.27,0.0,172.77,0.43,0.57,0.0,,,30.16,10.89,25.93,7.86,3.38
01-Apr-2018,05:45,01-Apr-2018,06:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.8,356.6,169.56,32.68,17.6,29.21,0.0,180.76,0.5,0.78,0.0,,,32.32,10.63,26.86,8.71,2.91
01-Apr-2018,06:00,01-Apr-2018,06:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Apr-2018,06:15,01-Apr-2018,06:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Apr-2018,06:30,01-Apr-2018,06:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,,,,,,,,,,,,,,,,,,
01-Apr-2018,06:45,01-Apr-2018,07:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.4,342.5,168.62,32.3,31.47,28.95,0.0,175.83,0.9,1.01,0.0,,,29.22,10.21,24.9,18.65,3.36
01-Apr-2018,07:00,01-Apr-2018,07:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.3,342.5,168.62,32.53,41.92,28.98,0.0,171.15,0.67,0.95,0.0,,,29.79,7.7,22.59,21.52,4.62
01-Apr-2018,07:15,01-Apr-2018,07:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.0,342.5,168.62,32.78,52.29,29.17,0.0,158.45,0.58,1.4,0.0,,,34.94,16.44,32.87,20.41,6.16
01-Apr-2018,07:30,01-Apr-2018,07:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.0,334.1,149.07,32.75,67.65,29.47,0.0,143.4,0.43,1.39,0.0,,,34.13,4.55,22.18,17.28,4.83
01-Apr-2018,07:45,01-Apr-2018,08:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.2,331.1,141.96,32.78,97.89,29.66,0.0,156.26,0.71,1.8,0.0,,,39.79,5.08,25.63,19.63,3.62
01-Apr-2018,08:00,01-Apr-2018,08:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.5,331.1,141.96,33.27,130.77,29.81,0.0,167.62,0.88,1.99,0.0,,,42.1,4.79,26.91,27.68,3.92
01-Apr-2018,08:15,01-Apr-2018,08:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,758.9,331.1,141.96,33.57,164.38,30.22,0.0,173.11,1.26,1.1,0.0,,,38.46,10.84,30.24,43.52,3.34
01-Apr-2018,08:30,01-Apr-2018,08:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.2,324.2,147.72,34.11,202.32,30.69,0.0,172.81,1.66,0.0,0.0,,,31.66,10.91,26.74,45.82,0.0
01-Apr-2018,08:45,01-Apr-2018,09:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.5,321.7,149.81,34.51,246.06,31.2,0.0,168.9,1.34,0.55,0.0,,,37.87,5.19,25.41,42.15,4.59
01-Apr-2018,09:00,01-Apr-2018,09:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.7,321.7,149.81,34.92,293.88,31.7,0.0,172.68,1.94,0.41,0.0,,,34.23,7.52,25.3,55.2,3.69
01-Apr-2018,09:15,01-Apr-2018,09:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,759.9,321.7,149.81,35.67,343.95,32.42,0.0,166.33,1.73,0.67,0.0,,,31.72,2.95,19.97,49.01,2.78
01-Apr-2018,09:30,01-Apr-2018,09:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.1,277.1,142.47,35.58,396.52,33.09,0.0,180.3,1.12,0.78,0.0,,,34.56,5.24,23.37,51.0,1.9
01-Apr-2018,09:45,01-Apr-2018,10:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.3,260.8,139.94,35.52,451.53,33.45,0.0,167.68,1.84,0.54,0.0,,,36.85,3.95,23.48,59.6,1.75
01-Apr-2018,10:00,01-Apr-2018,10:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.4,260.8,139.94,35.68,510.25,33.69,0.0,167.8,2.04,0.62,0.0,,,29.51,4.13,20.14,58.45,0.82
01-Apr-2018,10:15,01-Apr-2018,10:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.5,260.8,139.94,34.74,571.05,34.1,0.0,163.37,1.84,0.85,0.0,,,30.99,5.15,21.27,64.35,0.55
01-Apr-2018,10:30,01-Apr-2018,10:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.8,270.7,138.43,33.11,634.32,34.84,0.0,166.84,1.39,0.0,0.0,,,31.95,5.54,22.53,59.25,0.0
01-Apr-2018,10:45,01-Apr-2018,11:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,761.2,274.3,137.88,31.78,701.74,35.41,0.0,160.92,1.33,1.0,0.0,,,34.66,2.57,20.94,61.73,3.89
01-Apr-2018,11:00,01-Apr-2018,11:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,761.5,274.3,137.88,31.31,770.18,36.01,0.0,179.76,1.38,0.71,0.0,,,35.53,4.0,22.57,60.12,4.01
01-Apr-2018,11:15,01-Apr-2018,11:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,761.9,274.3,137.88,30.63,835.38,36.52,0.0,165.5,1.43,0.7,0.0,,,33.67,3.65,21.94,59.38,3.9
01-Apr-2018,11:30,01-Apr-2018,11:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,762.1,272.7,134.6,30.33,886.75,37.21,0.0,183.57,1.12,1.05,0.0,,,31.73,4.1,21.15,57.41,4.43
01-Apr-2018,11:45,01-Apr-2018,12:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,762.3,272.1,133.41,30.05,925.96,37.6,0.0,158.5,1.41,0.77,0.0,,,26.59,8.87,22.45,57.23,5.93
01-Apr-2018,12:00,01-Apr-2018,12:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,762.7,272.1,133.41,29.61,955.84,38.2,0.0,159.15,1.14,1.05,0.0,,,31.73,4.54,21.67,56.52,6.62
01-Apr-2018,12:15,01-Apr-2018,12:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,763.2,272.1,133.41,28.74,980.07,38.73,0.0,160.12,1.24,0.99,0.0,,,24.7,7.83,20.62,61.91,6.1
01-Apr-2018,12:30,01-Apr-2018,12:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,763.4,254.3,125.19,28.24,986.28,39.15,0.0,171.96,1.07,0.0,0.0,,,24.93,18.5,29.28,67.35,0.0
01-Apr-2018,12:45,01-Apr-2018,13:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,763.6,247.8,122.21,27.82,986.54,39.69,0.0,179.39,0.84,0.65,0.0,,,31.73,13.85,29.04,65.96,8.79
01-Apr-2018,13:00,01-Apr-2018,13:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,763.9,247.8,122.21,27.56,970.32,39.85,0.0,218.53,1.1,0.28,0.0,,,32.64,5.34,21.39,77.2,8.84
01-Apr-2018,13:15,01-Apr-2018,13:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,763.9,247.8,122.21,27.24,953.58,40.28,0.0,188.89,1.5,0.5,0.0,,,26.78,7.74,21.64,80.12,9.22
01-Apr-2018,13:30,01-Apr-2018,13:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.2,240.6,114.84,26.71,936.4,40.47,0.0,187.67,1.37,0.41,0.0,,,11.87,9.06,14.89,82.82,9.01
01-Apr-2018,13:45,01-Apr-2018,14:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.5,238.0,112.16,26.52,893.88,40.91,0.0,199.05,0.72,0.33,0.0,,,25.49,12.87,24.66,72.22,6.85
01-Apr-2018,14:00,01-Apr-2018,14:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.8,238.0,112.16,26.38,839.84,41.22,0.0,211.77,1.1,0.21,0.0,,,24.71,6.18,19.19,83.99,7.39
01-Apr-2018,14:15,01-Apr-2018,14:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.0,238.0,112.16,26.47,762.43,41.73,0.0,206.37,0.91,0.75,0.0,,,21.7,10.12,20.77,71.88,8.45
01-Apr-2018,14:30,01-Apr-2018,14:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.1,217.1,110.43,26.59,701.9,41.74,0.0,226.15,0.91,0.0,0.0,,,14.17,5.02,11.44,78.48,0.0
01-Apr-2018,14:45,01-Apr-2018,15:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.2,209.5,109.8,26.58,639.04,41.62,0.0,226.96,1.09,1.14,0.0,,,20.63,3.12,14.56,80.16,5.14
01-Apr-2018,15:00,01-Apr-2018,15:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.2,209.5,109.8,26.21,577.49,41.63,0.0,223.83,1.01,1.14,0.0,,,14.13,3.57,11.67,84.65,5.15
01-Apr-2018,15:15,01-Apr-2018,15:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.3,209.5,109.8,26.17,518.05,41.76,0.0,259.12,1.02,0.37,0.0,,,13.93,12.88,18.58,83.93,3.55
01-Apr-2018,15:30,01-Apr-2018,15:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.3,207.9,103.69,26.08,422.06,41.81,0.0,210.46,0.81,0.74,0.0,,,15.31,4.49,12.44,83.66,5.17
01-Apr-2018,15:45,01-Apr-2018,16:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.3,207.3,101.47,26.05,370.81,42.21,0.0,214.22,0.65,1.31,0.0,,,22.55,0.83,8.3,72.54,2.96
01-Apr-2018,16:00,01-Apr-2018,16:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.4,207.3,101.47,26.19,233.01,41.71,0.0,217.59,1.22,1.28,0.0,,,27.76,0.0,10.62,83.4,0.93
01-Apr-2018,16:15,01-Apr-2018,16:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,765.2,207.3,101.47,26.17,124.36,41.78,0.0,259.93,0.85,1.22,0.0,,,22.79,3.89,15.89,89.71,0.09
01-Apr-2018,16:30,01-Apr-2018,16:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.8,204.1,94.99,26.15,169.17,41.67,0.0,170.53,1.25,0.0,0.0,,,16.96,3.59,13.17,78.18,0.0
01-Apr-2018,16:45,01-Apr-2018,17:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.6,202.8,92.5,25.95,208.47,41.94,0.0,199.91,0.61,1.14,0.0,,,18.08,5.69,15.27,71.46,3.11
01-Apr-2018,17:00,01-Apr-2018,17:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.8,202.8,92.5,25.85,162.58,42.12,0.0,234.55,0.44,1.08,0.0,,,19.69,5.79,16.21,77.61,2.42
01-Apr-2018,17:15,01-Apr-2018,17:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.8,202.8,92.5,26.03,130.02,41.99,0.0,271.22,0.36,1.17,0.0,,,19.13,2.66,12.31,84.84,2.26
01-Apr-2018,17:30,01-Apr-2018,17:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.6,194.5,86.91,26.29,100.41,41.74,0.0,195.83,0.54,1.08,0.0,,,17.14,5.66,14.51,75.75,2.92
01-Apr-2018,17:45,01-Apr-2018,18:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,764.2,191.5,84.88,25.97,69.8,41.18,0.0,201.51,0.37,1.08,0.0,,,16.06,5.54,14.27,74.56,2.54
01-Apr-2018,18:00,01-Apr-2018,18:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,763.8,191.5,84.88,26.63,48.11,40.75,0.0,150.65,0.08,1.22,0.0,,,20.99,2.63,14.4,64.37,2.39
01-Apr-2018,18:15,01-Apr-2018,18:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,763.1,191.5,84.88,27.37,37.73,39.39,0.0,158.54,0.27,1.67,0.0,,,32.34,5.31,22.6,35.79,3.07
01-Apr-2018,18:30,01-Apr-2018,18:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,762.4,198.0,93.61,28.43,27.58,38.26,0.0,171.81,0.09,0.0,0.0,,,51.99,6.84,34.11,25.61,0.0
01-Apr-2018,18:45,01-Apr-2018,19:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,761.7,200.3,96.79,29.87,19.27,36.94,0.0,274.77,0.07,1.6,0.0,,,61.3,9.51,41.13,17.68,5.78
01-Apr-2018,19:00,01-Apr-2018,19:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,761.2,200.3,96.79,31.14,16.32,35.85,0.0,256.16,0.04,1.62,0.0,,,69.45,10.65,46.31,16.55,6.77
01-Apr-2018,19:15,01-Apr-2018,19:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.8,200.3,96.79,30.58,16.26,35.71,0.0,257.84,0.14,2.36,0.0,,,73.9,14.54,51.75,26.53,8.16
01-Apr-2018,19:30,01-Apr-2018,19:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.5,226.6,115.1,29.34,16.37,36.18,0.0,233.22,0.31,2.26,0.0,,,82.55,27.07,66.3,20.62,10.73
01-Apr-2018,19:45,01-Apr-2018,20:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.2,236.1,121.76,28.73,16.97,37.12,0.0,223.45,0.44,2.2,0.0,,,78.8,28.07,65.15,14.53,12.7
01-Apr-2018,20:00,01-Apr-2018,20:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.0,236.1,121.76,29.12,17.16,36.93,0.0,211.54,0.41,3.02,0.0,,,90.72,48.14,87.44,12.76,16.21
01-Apr-2018,20:15,01-Apr-2018,20:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.0,236.1,121.76,29.01,17.02,36.62,0.0,224.12,0.54,2.22,0.0,,,88.01,52.93,89.85,11.19,16.17
01-Apr-2018,20:30,01-Apr-2018,20:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.1,252.4,136.59,28.46,16.87,36.96,0.0,243.84,0.81,0.0,0.0,,,77.23,23.19,60.42,10.46,0.0
01-Apr-2018,20:45,01-Apr-2018,21:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.3,258.3,141.98,27.97,16.66,37.18,0.0,245.34,0.87,0.04,0.0,,,54.39,8.53,36.73,22.96,5.76
01-Apr-2018,21:00,01-Apr-2018,21:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",,760.4,258.3,141.98,27.87,16.57,37.16,0.0,245.93,0.9,0.04,0.0,,,45.16,9.86,32.76,43.19,5.82
