﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2018,00:00,01-May-2018,00:15,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-May-2018,00:15,01-May-2018,00:30,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",2.74,164.53,,,,25.11,,,,,124.82,59.76,11.7,26.66,16.09,0.27,,40.58,,0.19,1.67,4.38,,,,,,4.47,4.59,31.51,3.27,0.0,,,0.98,,,,
01-May-2018,00:30,01-May-2018,00:45,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-May-2018,00:45,01-May-2018,01:00,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",3.51,168.28,,,,28.47,,,,,118.14,59.76,9.51,28.03,15.05,0.46,,33.29,,0.18,1.24,1.23,,,,,,4.69,4.11,30.94,1.33,0.0,,,0.34,,,,
01-May-2018,01:00,01-May-2018,01:15,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-May-2018,01:15,01-May-2018,01:30,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",3.04,165.73,,,,32.65,,,,,116.82,59.76,11.4,28.7,16.92,0.43,,32.34,,0.19,1.14,0.44,,,,,,4.44,4.13,30.47,0.7,0.0,,,0.16,,,,
01-May-2018,01:30,01-May-2018,01:45,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-May-2018,01:45,01-May-2018,02:00,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",2.53,172.69,,,,34.12,,,,,108.99,61.87,9.37,28.25,15.06,0.32,,25.48,,0.15,1.76,1.2,,,,,,4.95,4.12,30.04,1.19,0.0,,,0.29,,,,
01-May-2018,02:00,01-May-2018,02:15,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-May-2018,02:15,01-May-2018,02:30,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",2.65,175.54,,,,32.26,,,,,108.32,50.95,10.09,28.37,15.7,0.28,,25.11,,0.16,3.46,1.38,,,,,,4.22,3.8,29.77,1.34,0.0,,,0.31,,,,
01-May-2018,02:30,01-May-2018,02:45,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-May-2018,02:45,01-May-2018,03:00,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",2.24,157.92,,,,27.38,,,,,104.34,50.95,7.79,30.63,15.03,0.24,,23.78,,0.18,8.4,0.33,,,,,,4.77,4.23,29.61,0.53,0.0,,,0.12,,,,
01-May-2018,03:00,01-May-2018,03:15,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
