﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-May-2018,00:00,01-May-2018,00:15,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",23.73,981.0,232.33,61.67,48.67,4.0,,0.8,116.67,2.87,0.9,0.5,0.1,62.97,32.8,11.7,50.93,72.3,17.8
01-May-2018,00:15,01-May-2018,00:30,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",23.57,981.0,221.0,59.0,49.67,4.0,,1.27,119.33,2.63,0.9,0.2,0.1,74.8,38.57,3.07,39.83,65.57,29.67
01-May-2018,00:30,01-May-2018,00:45,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",23.47,981.0,221.0,59.0,50.0,4.0,,1.1,118.33,3.2,0.83,0.3,0.03,71.03,33.03,2.47,33.87,68.67,28.03
01-May-2018,00:45,01-May-2018,01:00,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.3,981.0,221.0,59.0,50.0,4.0,,1.1,118.33,2.67,0.8,0.2,0.1,69.07,31.3,2.17,31.87,70.5,25.63
01-May-2018,01:00,01-May-2018,01:15,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.63,981.0,195.67,53.67,51.0,4.0,,0.7,110.0,1.9,0.8,0.47,0.1,70.27,33.03,1.83,32.93,63.8,16.37
01-May-2018,01:15,01-May-2018,01:30,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.77,980.67,183.0,51.0,51.0,4.0,,1.0,117.33,2.63,0.7,0.2,0.0,75.03,33.17,1.6,32.8,,24.0
01-May-2018,01:30,01-May-2018,01:45,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.77,980.33,183.0,51.0,51.0,4.0,,1.1,116.67,3.7,0.7,0.2,0.0,78.93,29.0,1.63,29.03,61.95,23.43
01-May-2018,01:45,01-May-2018,02:00,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.67,980.33,183.0,51.0,52.33,4.0,,1.0,113.33,3.6,0.7,0.2,0.0,78.5,26.57,2.13,27.5,66.4,22.7
01-May-2018,02:00,01-May-2018,02:15,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.73,981.0,165.0,45.0,53.33,4.0,,1.3,109.33,2.93,0.28,0.2,0.1,26.9,26.3,2.0,9.17,68.8,7.63
01-May-2018,02:15,01-May-2018,02:30,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.7,981.0,156.0,42.0,54.0,4.0,,,126.67,2.33,0.07,,,1.0,,,0.2,,
01-May-2018,02:30,01-May-2018,02:45,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.33,981.0,156.0,42.0,54.0,4.0,,,119.0,2.6,0.07,0.0,,0.73,82.3,,3.77,1.3,1.0
01-May-2018,02:45,01-May-2018,03:00,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.77,981.0,156.0,42.0,55.0,4.0,,1.0,103.0,2.67,0.7,0.2,0.1,81.3,27.07,0.87,26.1,62.63,21.23
01-May-2018,03:00,01-May-2018,03:15,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",23.1,981.0,147.33,43.33,55.33,4.0,,1.0,110.33,3.2,0.7,0.1,0.1,72.87,25.37,1.17,24.97,66.07,19.6
01-May-2018,03:15,01-May-2018,03:30,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.6,981.0,143.0,44.0,57.67,4.0,,0.55,96.33,3.03,0.28,0.43,0.0,27.27,35.27,14.0,34.37,23.27,6.7
01-May-2018,03:30,01-May-2018,03:45,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.53,981.0,143.0,44.0,59.0,4.0,,0.0,99.0,3.57,0.49,0.7,,12.6,63.2,1.45,49.7,49.27,0.5
01-May-2018,03:45,01-May-2018,04:00,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",22.63,981.33,143.0,44.0,61.33,4.0,,0.0,100.0,3.53,0.7,1.0,,18.33,,1.23,72.17,78.17,0.2
01-May-2018,04:00,01-May-2018,04:15,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",23.47,981.0,131.0,44.0,63.0,4.0,,0.0,89.67,3.97,0.49,0.67,,11.23,74.7,1.15,57.1,48.27,0.47
01-May-2018,04:15,01-May-2018,04:30,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.37,981.33,125.0,44.0,64.0,4.0,,0.0,94.67,3.13,0.7,1.0,,16.47,,1.23,86.87,69.63,0.2
01-May-2018,04:30,01-May-2018,04:45,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.67,982.0,125.0,44.0,63.33,4.0,,0.0,105.67,3.27,0.7,1.1,,15.8,,1.43,94.23,69.5,0.2
01-May-2018,04:45,01-May-2018,05:00,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.77,982.0,125.0,44.0,63.33,4.0,,0.1,106.33,3.03,0.49,0.75,,5.87,92.3,1.3,61.6,46.53,0.63
01-May-2018,05:00,01-May-2018,05:15,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.5,982.67,121.0,44.67,63.67,4.0,,0.1,104.67,3.2,0.7,1.8,,15.8,,1.6,90.67,70.13,0.3
01-May-2018,05:15,01-May-2018,05:30,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.8,983.0,119.0,45.0,63.33,4.0,,0.0,104.67,2.33,0.7,1.17,,15.97,,1.63,90.4,68.3,0.1
01-May-2018,05:30,01-May-2018,05:45,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.73,983.0,119.0,45.0,63.67,4.33,,0.1,105.67,2.63,0.7,1.1,,15.97,19.2,1.33,90.5,65.35,0.1
01-May-2018,05:45,01-May-2018,06:00,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",25.0,983.0,119.0,45.0,64.0,10.33,,0.0,106.33,3.4,0.7,1.0,,16.07,19.33,1.57,89.7,65.6,0.1
01-May-2018,06:00,01-May-2018,06:15,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.57,983.0,118.33,42.33,64.67,21.33,,0.1,102.0,3.23,0.7,1.0,,16.0,20.2,1.57,87.3,60.2,0.1
01-May-2018,06:15,01-May-2018,06:30,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.0,983.67,118.0,41.0,65.0,33.67,,0.37,101.33,3.03,0.77,0.73,0.1,39.7,20.7,1.4,65.13,58.63,5.47
01-May-2018,06:30,01-May-2018,06:45,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",24.7,984.0,118.0,41.0,66.0,47.33,,1.37,100.0,3.6,0.8,0.27,0.1,86.63,21.67,1.4,21.9,54.6,16.37
01-May-2018,06:45,01-May-2018,07:00,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",25.13,984.0,118.0,41.0,67.33,68.67,,1.1,90.67,3.43,0.8,0.2,0.0,85.7,26.07,1.5,26.13,41.8,16.47
