From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2018,00:00,01-May-2018,00:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,166.52,36.29,31.04,34.25,65.27,0.24,0.0,52.02,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,00:15,01-May-2018,00:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,156.72,39.55,27.86,34.56,62.41,0.24,0.0,48.78,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,00:30,01-May-2018,00:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,149.31,41.78,27.94,32.92,60.85,0.15,0.0,49.15,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,00:45,01-May-2018,01:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,143.6,33.1,24.29,32.11,56.39,0.18,0.0,46.46,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,01:00,01-May-2018,01:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,130.5,20.72,24.83,32.74,57.57,0.14,0.0,44.16,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,01:15,01-May-2018,01:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,128.19,10.81,23.17,31.16,54.32,0.11,0.0,44.17,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,01:30,01-May-2018,01:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,122.76,7.86,22.57,30.19,52.75,0.18,0.0,45.98,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,01:45,01-May-2018,02:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,119.14,5.21,22.29,28.98,51.26,0.17,0.0,46.86,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,02:00,01-May-2018,02:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,107.98,4.6,19.38,26.93,46.29,0.13,0.0,46.89,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,02:15,01-May-2018,02:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,97.62,4.46,16.4,25.38,41.78,0.01,0.0,45.39,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,02:30,01-May-2018,02:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,85.57,1.55,15.94,24.64,40.57,0.0,0.0,43.99,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,02:45,01-May-2018,03:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,86.85,,15.56,26.55,42.12,0.0,0.0,41.76,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,03:00,01-May-2018,03:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,85.41,,15.47,24.95,40.41,0.0,0.0,41.19,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,03:15,01-May-2018,03:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,95.64,,15.33,24.86,40.2,0.0,0.0,41.93,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,03:30,01-May-2018,03:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,96.5,,15.24,25.11,40.36,0.0,0.0,42.26,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,03:45,01-May-2018,04:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,90.66,,15.12,24.72,39.84,0.0,0.0,43.22,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,04:00,01-May-2018,04:15,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,74.72,,15.08,25.07,40.15,0.0,0.0,42.06,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,04:15,01-May-2018,04:30,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,79.38,,15.09,23.66,38.76,0.0,0.0,43.3,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,04:30,01-May-2018,04:45,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,82.89,,15.02,24.48,39.5,0.81,0.0,41.33,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-May-2018,04:45,01-May-2018,05:00,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,,,,,,,,,,79.97,,15.07,24.41,39.48,0.91,0.0,40.44,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
