﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-May-2018,00:00,01-May-2018,00:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",32.23,978.33,345.0,94.0,45.33,3.0,,1.07,138.33,2.77,0.43,0.6,0.0,85.4,54.07,36.57,90.57,33.17,12.53
01-May-2018,00:15,01-May-2018,00:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",31.87,978.0,345.0,94.0,46.33,3.0,,1.67,143.0,2.57,0.37,0.17,0.0,79.4,44.43,26.87,71.8,30.5,15.63
01-May-2018,00:30,01-May-2018,00:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",31.5,978.0,345.0,94.0,48.0,3.0,,1.07,135.0,2.47,0.3,0.63,0.0,60.0,122.53,60.8,62.37,33.4,10.4
01-May-2018,00:45,01-May-2018,01:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",31.57,978.0,345.0,94.0,48.0,3.0,,1.5,137.33,2.53,0.3,0.1,0.0,94.0,53.3,42.07,95.53,25.07,16.57
01-May-2018,01:00,01-May-2018,01:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",31.4,978.0,284.0,77.0,48.0,3.0,,0.5,144.33,2.4,0.3,0.97,0.0,32.43,73.83,65.43,105.2,20.43,6.13
01-May-2018,01:15,01-May-2018,01:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",31.2,978.0,284.0,77.0,48.33,3.0,,0.5,134.67,2.37,0.3,1.03,0.0,48.23,89.3,40.6,67.03,23.1,5.9
01-May-2018,01:30,01-May-2018,01:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",30.9,978.0,284.0,77.0,49.67,3.0,,1.0,140.33,2.53,0.3,0.57,0.0,68.83,40.4,17.8,62.33,10.3,11.83
01-May-2018,01:45,01-May-2018,02:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",30.67,978.0,284.0,77.0,50.0,3.0,,1.5,129.33,2.4,0.3,0.2,0.0,90.03,46.8,51.07,95.43,11.2,17.17
01-May-2018,02:00,01-May-2018,02:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",30.5,978.33,206.0,64.0,50.0,3.0,,1.5,132.67,2.47,0.11,0.2,0.0,29.7,38.3,14.3,17.57,17.2,15.5
01-May-2018,02:15,01-May-2018,02:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",30.2,979.0,206.0,64.0,50.0,3.0,,,140.0,2.73,0.03,,,1.5,,,0.1,,
01-May-2018,02:30,01-May-2018,02:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",30.03,979.0,206.0,64.0,50.0,3.0,,,128.67,2.67,0.02,,,1.4,,,0.1,,
01-May-2018,02:45,01-May-2018,03:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",29.93,979.0,206.0,64.0,50.0,3.0,,1.4,132.33,2.7,0.2,0.1,0.0,67.33,36.13,27.27,62.07,36.1,11.27
01-May-2018,03:00,01-May-2018,03:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",29.5,979.0,211.0,56.0,52.33,3.0,,1.4,104.67,3.5,0.3,0.1,0.0,65.17,20.73,6.57,27.43,39.27,10.57
01-May-2018,03:15,01-May-2018,03:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",29.2,979.0,211.0,56.0,53.33,3.0,,1.4,114.67,3.3,0.3,0.1,0.0,66.4,23.83,7.07,30.9,44.4,10.2
01-May-2018,03:30,01-May-2018,03:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.9,979.0,211.0,56.0,55.67,3.0,,1.47,110.0,2.93,0.3,0.1,0.0,70.93,20.27,3.9,24.13,43.1,10.47
01-May-2018,03:45,01-May-2018,04:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.47,979.0,211.0,56.0,58.67,3.0,,1.4,104.0,3.07,0.3,0.1,0.0,71.77,25.6,6.7,32.03,38.5,10.33
01-May-2018,04:00,01-May-2018,04:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.27,979.0,223.0,56.0,60.0,3.0,,1.57,113.0,3.7,0.3,0.1,0.0,79.17,22.57,4.7,27.13,37.27,9.77
01-May-2018,04:15,01-May-2018,04:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.13,979.33,223.0,56.0,60.0,3.0,,0.5,113.67,3.5,0.23,1.03,0.0,77.2,26.4,7.67,34.5,41.47,3.13
01-May-2018,04:30,01-May-2018,04:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.0,980.0,223.0,56.0,60.0,3.0,,1.43,113.67,3.73,0.2,0.1,0.0,82.33,23.1,8.33,31.53,37.53,8.4
01-May-2018,04:45,01-May-2018,05:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.9,980.0,223.0,56.0,61.0,3.0,,0.93,121.0,2.87,0.15,0.53,0.0,56.2,18.17,7.43,42.07,32.9,5.27
01-May-2018,05:00,01-May-2018,05:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.7,980.0,348.0,73.0,61.33,3.0,,1.4,123.33,3.3,0.27,0.1,0.0,80.33,13.8,2.87,16.63,55.77,8.07
01-May-2018,05:15,01-May-2018,05:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.63,980.33,348.0,73.0,62.0,3.0,,0.93,118.67,3.03,0.3,0.53,0.0,55.27,11.6,2.5,37.33,52.3,5.13
01-May-2018,05:30,01-May-2018,05:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.6,981.0,348.0,73.0,62.0,3.33,,1.3,116.0,2.97,0.3,0.1,0.0,74.03,21.8,5.5,27.23,39.13,7.4
01-May-2018,05:45,01-May-2018,06:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.43,981.0,348.0,73.0,62.67,8.0,,0.43,110.0,3.1,0.3,0.9,0.0,86.13,31.1,8.83,38.77,25.57,2.6
01-May-2018,06:00,01-May-2018,06:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.27,981.0,218.0,52.0,63.0,17.33,,0.93,117.67,2.87,0.3,0.53,0.0,86.87,22.4,5.7,27.87,33.8,5.27
01-May-2018,06:15,01-May-2018,06:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.17,981.0,218.0,52.0,64.0,27.33,,1.4,117.0,3.5,0.3,0.1,0.0,83.43,17.83,6.6,24.4,34.33,8.2
01-May-2018,06:30,01-May-2018,06:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.1,981.0,218.0,52.0,64.0,41.67,,1.4,113.0,3.83,0.3,0.1,0.0,77.37,20.67,8.0,29.03,39.8,8.17
01-May-2018,06:45,01-May-2018,07:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.2,981.67,218.0,52.0,64.0,59.0,,1.4,111.67,4.3,0.33,0.1,0.0,94.27,24.6,12.87,37.0,34.07,8.7
01-May-2018,07:00,01-May-2018,07:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.3,982.0,251.0,64.0,64.0,76.0,,0.93,111.67,3.93,0.37,0.53,0.0,93.7,23.47,4.27,27.3,41.97,5.93
01-May-2018,07:15,01-May-2018,07:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.47,982.0,251.0,64.0,63.33,93.33,,1.4,112.33,3.37,0.37,0.1,0.0,97.3,16.53,5.8,22.2,38.73,9.07
01-May-2018,07:30,01-May-2018,07:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.53,982.0,251.0,64.0,63.33,125.33,,0.93,110.0,3.6,0.37,0.53,0.0,99.67,13.37,3.87,17.13,39.03,5.8
01-May-2018,07:45,01-May-2018,08:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.67,982.0,251.0,64.0,63.0,202.33,,0.47,117.0,3.93,0.4,0.97,0.0,68.67,11.07,3.07,42.77,43.5,2.93
01-May-2018,08:00,01-May-2018,08:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27.77,982.0,439.0,85.0,63.0,242.0,,1.47,120.0,4.1,0.37,0.1,0.0,92.27,14.6,3.83,18.4,42.37,8.67
01-May-2018,08:15,01-May-2018,08:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.17,982.67,439.0,85.0,61.67,280.67,,1.4,118.0,3.6,0.4,0.1,0.0,97.7,13.57,5.13,18.73,41.97,8.57
01-May-2018,08:30,01-May-2018,08:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.63,983.0,439.0,85.0,60.33,321.0,,0.47,122.67,3.37,0.4,0.97,0.0,64.77,15.9,4.33,48.97,47.23,3.0
01-May-2018,08:45,01-May-2018,09:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.9,983.0,439.0,85.0,59.0,360.33,,0.93,114.67,3.33,0.4,0.53,0.0,96.87,18.1,7.47,25.17,44.2,5.93
01-May-2018,09:00,01-May-2018,09:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",29.63,983.0,339.0,81.0,57.0,404.0,,0.93,124.33,3.07,0.4,0.53,0.0,64.33,15.13,3.93,46.53,48.5,5.97
01-May-2018,09:15,01-May-2018,09:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",29.7,983.0,339.0,81.0,56.67,446.67,,0.47,119.67,3.77,0.4,0.97,0.0,93.17,13.2,3.5,16.73,53.2,3.03
01-May-2018,09:30,01-May-2018,09:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",29.8,983.0,339.0,81.0,56.0,480.67,,0.75,116.33,3.7,0.4,0.57,0.0,65.07,10.83,2.77,42.0,59.33,3.5
