﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2018,00:00,01-May-2018,00:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",1.08,172.74,,,,69.6,40.8,998.3,,,37.15,20.09,1.26,11.08,12.34,0.29,,33.98,,6.97,32.34,6.36,,,,-0.06,,6.86,0.68,27.57,5.81,0.0,,,3.52,,,,
01-May-2018,00:15,01-May-2018,00:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",1.12,275.61,,,,68.2,42.2,998.2,,,37.15,20.09,1.37,10.83,12.2,0.4,,29.61,,6.88,33.17,6.84,,,,-0.04,,6.27,1.23,27.62,6.07,0.0,,,3.67,,,,
01-May-2018,00:30,01-May-2018,00:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",1.97,307.94,,,,71.28,44.6,998.1,,,37.15,20.09,1.87,11.23,13.1,0.43,,22.55,,6.98,35.11,8.39,,,,-0.03,,5.83,1.29,27.41,6.77,0.0,,,4.01,,,,
01-May-2018,00:45,01-May-2018,01:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.15,299.85,,,,70.39,44.0,997.9,,,36.66,20.82,2.76,10.31,13.07,0.46,,27.44,,6.23,32.58,9.5,,,,0.01,,5.43,1.41,27.42,6.98,0.0,,,3.94,,,,
01-May-2018,01:00,01-May-2018,01:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.59,290.97,,,,67.7,43.8,998.1,,,33.99,25.17,2.42,10.01,12.43,0.5,,37.55,,5.97,32.44,9.73,,,,-0.06,,5.33,1.46,27.47,7.01,0.0,,,3.96,,,,
01-May-2018,01:15,01-May-2018,01:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.35,275.99,,,,70.42,42.3,998.4,,,33.99,25.17,2.4,9.72,12.12,0.52,,35.19,,5.72,32.37,9.44,,,,-0.01,,5.53,1.78,27.19,6.89,0.0,,,3.93,,,,
01-May-2018,01:30,01-May-2018,01:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.33,273.27,,,,74.56,41.7,998.5,,,33.99,25.17,2.62,9.43,12.05,0.56,,27.34,,5.69,33.44,8.84,,,,-0.03,,5.88,1.76,26.82,6.74,0.0,,,3.96,,,,
01-May-2018,01:45,01-May-2018,02:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.38,259.79,,,,77.39,42.3,998.4,,,34.62,24.39,2.09,10.99,13.08,0.6,,19.82,,5.32,31.9,8.05,,,,0.02,,6.03,1.63,26.59,6.34,0.0,,,3.77,,,,
01-May-2018,02:00,01-May-2018,02:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.39,263.91,,,,79.84,50.3,998.3,,,38.01,19.28,2.63,9.77,12.4,0.63,,13.42,,5.19,31.38,7.68,,,,0.04,,6.21,1.56,26.44,6.18,0.0,,,3.68,,,,
01-May-2018,02:15,01-May-2018,02:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.6,301.49,,,,81.98,46.1,998.2,,,38.01,19.28,1.43,9.81,11.24,0.64,,13.79,,5.2,31.84,7.58,,,,-0.03,,6.63,1.31,26.2,6.17,0.0,,,3.69,,,,
01-May-2018,02:30,01-May-2018,02:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.6,317.59,,,,83.18,44.3,998.2,,,38.01,19.28,2.22,10.34,12.56,0.64,,10.52,,5.29,32.18,7.49,,,,-0.12,,6.87,1.1,26.04,6.07,0.0,,,3.63,,,,
01-May-2018,02:45,01-May-2018,03:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",3.06,327.63,,,,83.88,45.0,998.5,,,38.9,20.52,3.04,10.02,13.06,0.66,,6.87,,5.09,32.6,7.61,,,,-0.19,,6.71,0.99,25.93,6.16,0.0,,,3.69,,,,
01-May-2018,03:00,01-May-2018,03:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.96,319.29,,,,84.56,45.2,998.7,,,43.71,28.54,2.68,9.08,11.77,0.67,,4.66,,5.16,33.91,7.89,,,,-0.09,,6.53,1.05,25.59,6.48,0.0,,,3.92,,,,
01-May-2018,03:15,01-May-2018,03:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.92,332.2,,,,84.78,48.3,999.0,,,43.71,28.54,3.13,8.72,11.85,0.68,,5.38,,5.34,36.36,8.31,,,,-0.19,,6.72,0.87,25.48,6.75,0.0,,,4.15,,,,
01-May-2018,03:30,01-May-2018,03:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.77,335.72,,,,84.9,53.2,999.3,,,43.71,28.54,3.17,10.04,13.22,0.71,,7.51,,5.39,37.19,8.44,,,,-0.22,,6.94,0.96,25.43,6.88,0.0,,,4.23,,,,
01-May-2018,03:45,01-May-2018,04:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",3.01,338.29,,,,85.01,45.3,999.4,,,46.93,29.19,3.04,9.67,12.72,0.66,,9.65,,5.46,38.71,8.69,,,,-0.26,,6.74,0.95,25.33,7.08,0.0,,,4.39,,,,
01-May-2018,04:00,01-May-2018,04:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.64,356.2,,,,85.26,44.7,999.4,,,64.45,33.44,4.06,9.12,13.17,0.34,,9.39,,5.59,38.35,8.56,,,,-0.22,,6.27,0.56,25.12,7.08,0.0,,,4.38,,,,
01-May-2018,04:15,01-May-2018,04:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.93,341.65,,,,85.98,41.9,999.6,,,64.45,33.44,3.95,9.53,13.48,0.45,,6.77,,5.66,39.0,8.73,,,,-0.27,,6.28,0.85,24.98,7.21,0.0,,,4.48,,,,
01-May-2018,04:30,01-May-2018,04:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.43,8.62,,,,86.36,48.5,999.3,,,64.45,33.44,3.93,9.94,13.87,0.43,,7.1,,5.66,38.73,8.68,,,,-0.16,,6.11,1.07,24.82,7.2,0.0,,,4.49,,,,
01-May-2018,04:45,01-May-2018,05:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.35,334.72,,,,86.53,47.4,999.3,,,62.26,34.32,3.42,9.26,12.68,0.4,,6.69,,5.66,38.33,8.63,,,,-0.12,,6.71,1.07,24.75,7.19,0.0,,,4.5,,,,
01-May-2018,05:00,01-May-2018,05:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",3.42,340.82,,,,86.26,51.9,1000.1,,,50.4,39.5,3.7,9.34,13.04,0.41,,7.31,,5.6,37.02,8.33,,,,-0.35,,6.87,0.84,24.77,7.02,0.0,,,4.37,,,,
01-May-2018,05:15,01-May-2018,05:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",3.46,327.43,,,,86.07,60.1,1000.7,,,50.4,39.5,3.12,9.31,12.43,0.41,,7.5,,5.67,36.12,8.15,,,,-0.29,,5.99,0.87,24.66,6.93,0.0,,,4.29,,,,
01-May-2018,05:30,01-May-2018,05:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",3.14,320.15,,,,85.97,69.6,1001.0,,,50.4,39.5,5.38,8.13,13.51,0.44,,8.59,,5.73,37.97,8.57,,,,-0.2,,6.54,0.85,24.59,7.2,0.0,,,4.52,,,,
01-May-2018,05:45,01-May-2018,06:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.94,326.72,,,,85.68,75.8,1001.0,,,52.21,39.25,4.36,8.37,12.73,0.5,,12.82,,5.8,38.34,8.68,,,,-0.23,,7.1,0.76,24.56,7.3,0.0,,,4.58,,,,
01-May-2018,06:00,01-May-2018,06:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2.37,347.36,,,,85.23,79.5,1001.0,,,62.05,37.62,4.16,8.07,12.23,0.56,,13.43,,5.76,37.91,8.53,,,,-0.19,,7.11,1.06,24.62,7.22,0.0,,,4.52,,,,
