﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2018,00:00,01-May-2018,00:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",1.39,230.05,,,,37.25,16.6,765.5,,,323.8,169.97,0.99,24.16,13.17,0.17,,13.4,,0.0,0.0,0.0,,,,0.35,,,8.17,38.82,0.0,,,,0.0,,,,
01-May-2018,00:15,01-May-2018,00:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",1.66,230.41,,,,36.53,16.6,765.6,,,331.5,172.54,0.46,21.38,11.36,0.02,,16.53,,0.0,0.0,0.0,,,,0.35,,,9.27,39.12,0.0,,,,0.0,,,,
01-May-2018,00:30,01-May-2018,00:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",1.44,228.09,,,,36.46,16.6,765.6,,,439.7,208.48,3.55,20.42,13.96,0.0,,14.61,,0.0,0.0,0.0,,,,0.35,,,11.31,39.04,0.0,,,,0.0,,,,
01-May-2018,00:45,01-May-2018,01:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",1.71,213.57,,,,37.13,16.6,765.6,,,439.7,208.48,3.18,18.55,12.68,0.0,,15.07,,0.0,0.0,0.0,,,,0.35,,,14.53,38.44,0.0,,,,0.0,,,,
01-May-2018,01:00,01-May-2018,01:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",1.56,220.93,,,,36.78,16.6,765.6,,,439.7,208.48,0.81,21.6,11.92,0.0,,21.76,,0.0,0.0,0.0,,,,0.35,,,15.64,38.23,0.0,,,,0.0,,,,
01-May-2018,01:15,01-May-2018,01:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",2.38,229.48,,,,36.34,16.6,765.6,,,450.8,212.2,0.53,20.95,11.57,0.03,,33.93,,0.0,0.0,0.0,,,,0.35,,,16.19,38.26,0.0,,,,0.0,,,,
01-May-2018,01:30,01-May-2018,01:45,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",2.54,225.16,,,,36.15,16.6,765.6,,,606.2,264.23,0.74,16.73,8.5,0.0,,45.09,,0.0,0.0,0.0,,,,0.35,,,0.0,38.16,0.0,,,,0.0,,,,
01-May-2018,01:45,01-May-2018,02:00,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",2.34,234.02,,,,36.07,16.6,765.6,,,606.2,264.23,0.46,15.4,8.0,0.74,,58.22,,0.0,0.0,0.0,,,,0.35,,,4.53,37.95,0.0,,,,0.0,,,,
01-May-2018,02:00,01-May-2018,02:15,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",2.36,220.03,,,,35.96,16.6,765.6,,,606.2,264.23,0.0,15.22,6.55,0.78,,56.5,,0.0,0.0,0.0,,,,0.35,,,0.74,37.6,0.0,,,,0.0,,,,
01-May-2018,02:15,01-May-2018,02:30,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",2.65,227.31,,,,35.92,16.6,765.5,,,624.8,270.05,0.05,13.31,6.65,0.17,,65.68,,0.0,0.0,0.0,,,,0.35,,,0.02,37.31,0.0,,,,0.0,,,,
