From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2018,00:00,01-May-2018,00:15,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",4.3,266.0,,,33.9,33.0,1.0,,,,166.0,48.0,,8.9,5.1,0.9,,85.6,,0.1,4.7,0.1,,,,,,18.4,7.9,27.8,,0.0,,,,,,,
01-May-2018,00:15,01-May-2018,00:30,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",4.6,263.0,,,33.9,34.0,1.0,,,,166.0,48.0,,7.3,4.3,0.93,,85.4,,0.1,4.6,0.1,,,,,,17.5,8.1,27.6,,0.0,,,,,,,
01-May-2018,00:30,01-May-2018,00:45,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",5.1,257.0,,,33.9,34.0,1.0,,,,166.0,48.0,,6.5,3.7,0.93,,82.9,,0.1,4.5,0.1,,,,,,18.1,8.5,27.7,,0.0,,,,,,,
01-May-2018,00:45,01-May-2018,01:00,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",4.9,256.0,,,33.8,35.0,1.0,,,,156.0,41.0,,6.1,3.5,0.93,,79.8,,0.1,4.4,0.1,,,,,,19.0,8.0,27.7,,0.0,,,,,,,
01-May-2018,01:00,01-May-2018,01:15,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",4.9,260.0,,,33.7,36.0,1.0,,,,156.0,41.0,,5.8,3.3,0.92,,74.4,,0.1,4.4,0.1,,,,,,19.6,7.4,27.6,,0.0,,,,,,,
01-May-2018,01:15,01-May-2018,01:30,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",5.3,262.0,,,33.7,37.0,1.0,,,,156.0,41.0,,5.4,3.1,0.88,,71.3,,0.1,4.3,0.1,,,,,,20.1,6.9,27.6,,0.0,,,,,,,
01-May-2018,01:30,01-May-2018,01:45,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",4.8,263.0,,,33.6,38.0,1.0,,,,156.0,41.0,,5.1,3.0,0.84,,67.1,,0.1,4.2,0.1,,,,,,20.6,6.5,27.6,,0.0,,,,,,,
01-May-2018,01:45,01-May-2018,02:00,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",5.4,272.0,,,33.5,39.0,1.0,,,,156.0,43.0,,5.1,2.9,0.82,,63.0,,0.1,4.1,0.1,,,,,,20.9,6.9,27.6,,0.0,,,,,,,
01-May-2018,02:00,01-May-2018,02:15,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",6.0,274.0,,,33.4,41.0,1.0,,,,156.0,43.0,,5.0,2.8,0.81,,58.8,,0.1,4.1,0.1,,,,,,20.9,7.0,27.6,,0.0,,,,,,,
01-May-2018,02:15,01-May-2018,02:30,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",5.7,279.0,,,33.4,43.0,1.0,,,,156.0,43.0,,4.9,2.6,0.78,,55.5,,0.1,4.0,0.1,,,,,,21.2,7.3,27.5,,0.0,,,,,,,
