﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Dec-2017,00:00,01-Dec-2017,00:15,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.8,,227.91,80.24,50.0,26.31,2.15,164.08,0.14,7.65,1.92,,,,,,13.24,7.55
01-Dec-2017,00:15,01-Dec-2017,00:30,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.7,,225.85,79.97,50.0,26.28,2.14,170.97,0.14,1.99,1.91,,,,,,10.11,6.95
01-Dec-2017,00:30,01-Dec-2017,00:45,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.6,,218.16,80.76,50.0,26.26,2.14,173.81,0.14,1.29,1.91,,,,,,12.6,7.9
01-Dec-2017,00:45,01-Dec-2017,01:00,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.6,,218.16,82.5,50.0,26.16,2.13,167.6,0.14,1.29,1.9,,,,,,9.96,6.96
01-Dec-2017,01:00,01-Dec-2017,01:15,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.6,,218.16,83.67,50.0,26.09,2.12,164.16,0.14,1.29,1.89,,,,,,13.04,5.92
01-Dec-2017,01:15,01-Dec-2017,01:30,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.6,,211.66,83.91,50.0,26.08,2.12,164.08,0.14,1.29,1.89,,,,,,14.54,6.72
01-Dec-2017,01:30,01-Dec-2017,01:45,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.6,,187.38,82.81,50.0,26.14,2.13,160.32,0.14,1.29,1.9,,,,,,12.45,7.02
01-Dec-2017,01:45,01-Dec-2017,02:00,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.7,,187.38,83.33,50.0,26.1,2.13,171.5,0.14,1.29,1.9,,,,,,12.66,6.01
01-Dec-2017,02:00,01-Dec-2017,02:15,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.6,,187.38,85.4,50.0,25.98,2.12,167.88,0.14,3.16,1.89,,,,,,12.56,5.8
01-Dec-2017,02:15,01-Dec-2017,02:30,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.5,,183.97,86.5,50.0,25.92,2.11,167.65,0.14,3.69,1.88,,,,,,13.81,5.9
01-Dec-2017,02:30,01-Dec-2017,02:45,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.5,,171.23,86.51,50.0,25.92,2.11,173.18,0.14,1.73,1.88,,,,,,12.02,5.7
01-Dec-2017,02:45,01-Dec-2017,03:00,Haryana,Rohtak,"MD University, Rohtak - HSPCB",,1012.5,,171.23,87.38,50.0,25.88,2.11,167.09,0.14,1.48,1.88,,,,,,12.86,6.14
