﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jun-2018,00:00,01-Jun-2018,00:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.73,737.0,193.0,54.0,46.67,12.33,,0.0,73.33,3.07,1.07,9.45,,8.23,48.87,57.0,21.37,27.77,6.83
01-Jun-2018,00:15,01-Jun-2018,00:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.8,736.67,193.0,54.0,45.67,12.67,,0.0,78.0,3.8,1.6,7.03,,6.87,39.83,38.07,32.5,14.2,1.4
01-Jun-2018,00:30,01-Jun-2018,00:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.67,737.33,193.0,54.0,45.67,12.0,,0.0,71.0,2.47,1.7,8.07,,6.3,47.3,43.07,30.67,15.37,1.3
01-Jun-2018,00:45,01-Jun-2018,01:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.6,738.0,193.0,54.0,45.0,12.0,,0.0,84.67,3.37,1.7,5.07,,5.43,41.97,38.5,30.1,15.6,1.07
01-Jun-2018,01:00,01-Jun-2018,01:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.47,737.67,164.0,61.0,45.67,12.67,,0.0,81.33,3.37,1.7,11.63,,5.2,32.23,28.07,31.37,14.5,1.0
01-Jun-2018,01:15,01-Jun-2018,01:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.2,738.0,164.0,61.0,47.33,12.0,,0.0,75.33,3.63,1.7,14.93,,5.27,25.9,23.25,30.6,,1.27
01-Jun-2018,01:30,01-Jun-2018,01:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",32.9,738.0,164.0,61.0,49.33,12.67,,0.0,86.33,4.5,1.7,5.7,,5.03,21.97,,33.07,,1.03
01-Jun-2018,01:45,01-Jun-2018,02:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",32.47,738.0,164.0,61.0,51.67,12.0,,0.0,76.67,5.73,1.73,6.13,,5.2,,,34.97,9.65,1.0
01-Jun-2018,02:00,01-Jun-2018,02:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",32.17,738.0,178.0,63.0,53.33,12.33,,0.0,83.33,5.6,0.91,2.05,,3.13,,,17.9,10.55,2.1
01-Jun-2018,02:15,01-Jun-2018,02:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.73,738.0,178.0,63.0,55.33,12.0,,,87.67,4.13,0.01,,,3.27,,,1.1,,0.0
01-Jun-2018,02:30,01-Jun-2018,02:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.57,738.0,178.0,63.0,56.67,12.33,,,93.67,3.13,0.01,,,2.57,,,1.2,,0.0
01-Jun-2018,02:45,01-Jun-2018,03:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.53,738.0,178.0,63.0,57.67,12.33,,0.0,88.67,3.5,1.6,2.67,,5.77,,,33.17,14.0,1.03
01-Jun-2018,03:00,01-Jun-2018,03:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.6,738.0,196.0,67.0,58.33,12.33,,0.0,88.67,3.3,1.77,2.33,,6.07,20.0,,33.13,12.2,1.0
01-Jun-2018,03:15,01-Jun-2018,03:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.5,738.0,196.0,67.0,59.33,12.0,,0.0,88.33,3.87,1.8,2.97,,6.3,20.0,,31.77,10.97,1.0
01-Jun-2018,03:30,01-Jun-2018,03:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.3,738.0,196.0,67.0,60.67,12.33,,0.0,78.33,4.37,1.8,2.53,,5.43,19.1,,32.83,11.57,1.0
01-Jun-2018,03:45,01-Jun-2018,04:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.03,738.0,196.0,67.0,62.67,12.33,,0.0,84.33,4.5,1.8,3.27,,4.83,,,34.13,11.27,1.0
01-Jun-2018,04:00,01-Jun-2018,04:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30.63,738.0,178.0,68.0,64.67,12.33,,0.0,79.33,4.33,1.77,2.17,,5.23,19.55,,33.93,11.0,1.1
01-Jun-2018,04:15,01-Jun-2018,04:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30.2,738.0,178.0,68.0,67.0,12.33,,0.0,80.33,4.07,1.8,1.53,,5.2,20.97,,34.07,10.73,0.93
01-Jun-2018,04:30,01-Jun-2018,04:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.83,738.0,178.0,68.0,68.67,12.33,,0.0,73.67,4.63,1.73,3.23,,5.1,22.1,,34.87,11.87,1.27
01-Jun-2018,04:45,01-Jun-2018,05:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.7,738.0,178.0,68.0,70.0,12.5,,0.0,87.0,3.7,1.7,2.2,,4.8,21.75,,36.3,12.85,1.1
01-Jun-2018,05:00,01-Jun-2018,05:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.57,737.33,208.0,67.0,70.0,12.67,,0.0,77.33,5.1,1.7,1.53,,5.0,24.37,,36.8,12.63,0.93
01-Jun-2018,05:15,01-Jun-2018,05:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.43,738.0,208.0,67.0,70.0,23.33,,0.0,82.0,4.8,1.77,1.33,,4.93,24.43,,37.7,13.17,0.8
01-Jun-2018,05:30,01-Jun-2018,05:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.2,738.0,208.0,67.0,69.33,66.0,,0.0,75.0,6.2,1.57,1.4,,4.93,23.7,,39.73,13.73,0.8
01-Jun-2018,05:45,01-Jun-2018,06:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.93,738.0,208.0,67.0,69.0,163.33,,0.0,88.33,5.53,1.6,1.0,,3.53,23.47,,40.43,14.8,1.1
01-Jun-2018,06:00,01-Jun-2018,06:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.83,738.0,252.0,57.0,68.33,282.0,,0.0,86.67,5.8,0.94,2.45,,4.23,33.1,23.57,27.63,15.6,3.8
01-Jun-2018,06:15,01-Jun-2018,06:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.87,738.0,252.0,57.0,67.33,340.0,,0.0,75.33,3.67,1.67,3.83,,5.0,31.07,23.7,39.83,15.2,2.7
01-Jun-2018,06:30,01-Jun-2018,06:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.87,738.0,252.0,57.0,66.33,367.33,,0.0,74.0,4.53,1.73,4.7,,4.83,32.6,24.53,39.0,13.7,2.9
01-Jun-2018,06:45,01-Jun-2018,07:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.0,738.0,252.0,57.0,65.33,382.67,,0.0,85.0,4.77,1.63,9.5,,3.77,30.0,22.27,39.47,15.87,3.1
01-Jun-2018,07:00,01-Jun-2018,07:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.33,737.33,207.0,45.0,63.67,394.0,,0.0,82.33,4.27,1.8,35.93,,3.93,37.3,28.9,36.6,13.13,3.0
01-Jun-2018,07:15,01-Jun-2018,07:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.5,737.33,207.0,45.0,62.33,403.33,,0.0,101.0,5.13,1.47,14.43,,4.23,36.33,28.33,37.07,13.37,2.6
01-Jun-2018,07:30,01-Jun-2018,07:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.63,737.33,207.0,45.0,61.33,411.67,,0.0,93.0,5.63,1.7,51.2,,4.03,35.33,27.73,37.1,14.53,2.8
01-Jun-2018,07:45,01-Jun-2018,08:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",29.7,738.0,207.0,45.0,61.0,418.0,,0.0,86.33,6.4,1.43,14.87,,3.83,31.4,24.07,37.4,14.37,2.9
01-Jun-2018,08:00,01-Jun-2018,08:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30.2,738.0,191.0,48.0,60.0,422.0,,0.0,85.33,4.73,1.63,9.4,,3.93,35.53,28.1,35.23,15.17,2.7
01-Jun-2018,08:15,01-Jun-2018,08:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30.73,738.0,191.0,48.0,58.33,425.67,,0.0,93.33,4.7,1.67,5.77,,3.73,37.47,29.87,34.97,14.23,2.3
01-Jun-2018,08:30,01-Jun-2018,08:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.23,738.0,191.0,48.0,57.0,428.33,,0.0,88.33,3.97,1.7,4.93,,3.67,36.53,28.1,36.03,14.1,2.5
01-Jun-2018,08:45,01-Jun-2018,09:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.67,738.0,191.0,48.0,55.67,431.67,,0.0,86.67,4.9,1.77,5.6,,3.47,37.03,28.43,35.6,14.97,2.9
01-Jun-2018,09:00,01-Jun-2018,09:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",31.97,738.0,195.0,51.0,55.33,434.33,,0.0,92.0,4.6,1.7,4.97,,3.63,38.33,29.37,34.63,13.43,3.03
01-Jun-2018,09:15,01-Jun-2018,09:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",32.43,738.0,195.0,51.0,53.67,435.67,,0.07,88.0,5.1,1.77,6.2,,3.57,40.43,31.57,34.5,13.93,3.5
01-Jun-2018,09:30,01-Jun-2018,09:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",32.53,738.0,195.0,51.0,53.67,438.33,,1.23,78.67,5.43,1.8,8.47,,3.87,34.7,28.0,36.03,13.77,3.67
01-Jun-2018,09:45,01-Jun-2018,10:00,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.0,738.0,195.0,51.0,51.67,439.67,,0.0,75.67,5.3,1.77,11.07,,3.93,34.57,27.17,35.2,13.5,3.07
01-Jun-2018,10:00,01-Jun-2018,10:15,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.4,738.0,226.0,51.0,51.0,441.33,,0.0,80.33,4.83,1.77,1.7,,3.7,31.3,24.0,35.43,14.33,0.9
01-Jun-2018,10:15,01-Jun-2018,10:30,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",33.67,738.0,226.0,51.0,50.0,442.67,,0.0,89.33,4.63,1.7,2.93,,3.63,27.2,23.1,36.6,13.37,0.93
01-Jun-2018,10:30,01-Jun-2018,10:45,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",34.25,738.0,226.0,51.0,48.5,444.0,,0.0,93.5,4.75,1.6,2.15,,3.85,27.7,21.75,36.45,13.65,1.3
