From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jun-2018,00:00,01-Jun-2018,00:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.43,122.33,,,33.37,36.67,8.33,553.5,,,248.0,97.0,4.27,88.53,87.5,0.93,,27.63,,1.2,1.73,,,,,0.0,,60.37,21.53,,,,,,,,,,
01-Jun-2018,00:15,01-Jun-2018,00:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.6,122.0,,,33.2,37.0,8.33,553.5,,,248.0,97.0,4.53,87.57,86.93,0.73,,28.6,,0.7,2.07,,,,,0.0,,61.77,33.67,,,,,,,,,,
01-Jun-2018,00:30,01-Jun-2018,00:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.7,119.33,,,33.2,36.67,8.0,553.5,,,248.0,97.0,2.8,81.33,78.8,0.6,,29.8,,0.8,1.7,,,,,0.0,,64.1,30.63,,,,,,,,,,
01-Jun-2018,00:45,01-Jun-2018,01:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.6,122.0,,,33.07,37.0,8.33,553.5,,,248.0,97.0,1.8,70.5,67.33,0.63,,32.93,,0.8,1.63,,,,,-0.03,,65.57,33.33,,,,,,,,,,
01-Jun-2018,01:00,01-Jun-2018,01:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.73,105.0,,,32.97,36.33,8.0,553.5,,,189.0,61.0,2.77,70.5,68.97,0.73,,32.1,,0.77,1.8,,,,,0.0,,66.6,29.4,,,,,,,,,,
01-Jun-2018,01:15,01-Jun-2018,01:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.67,117.0,,,32.77,36.0,8.0,553.5,,,189.0,61.0,2.47,58.53,57.33,0.67,,,,0.7,1.7,,,,,0.0,,71.33,27.9,,,,,,,,,,
01-Jun-2018,01:30,01-Jun-2018,01:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.4,131.0,,,32.6,36.67,8.33,553.5,,,189.0,61.0,1.17,65.87,62.23,0.57,,25.55,,0.7,1.77,,,,,0.0,,69.87,28.73,,,,,,,,,,
01-Jun-2018,01:45,01-Jun-2018,02:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.43,119.0,,,32.43,37.67,8.33,553.5,,,189.0,61.0,1.13,64.6,61.03,0.43,,37.9,,0.6,1.57,,,,,0.0,,63.5,27.3,,,,,,,,,,
01-Jun-2018,02:00,01-Jun-2018,02:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.7,116.67,,,32.2,38.67,8.0,553.5,,,158.0,63.0,0.97,60.8,57.3,0.57,,39.07,,0.53,1.33,,,,,0.0,,62.17,22.8,,,,,,,,,,
01-Jun-2018,02:15,01-Jun-2018,02:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.13,137.0,,,31.97,40.0,8.0,553.5,,,158.0,63.0,1.2,57.8,54.87,0.53,,37.97,,0.6,1.5,,,,,0.0,,63.3,28.37,,,,,,,,,,
01-Jun-2018,02:30,01-Jun-2018,02:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.27,122.0,,,31.6,41.67,8.0,553.5,,,158.0,63.0,1.7,46.97,45.63,0.5,,40.27,,0.6,1.47,,,,,-0.03,,65.13,31.43,,,,,,,,,,
01-Jun-2018,02:45,01-Jun-2018,03:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.1,124.67,,,31.3,43.0,8.0,553.5,,,158.0,63.0,1.3,46.33,44.43,0.5,,38.73,,0.5,1.2,,,,,0.0,,65.53,35.23,,,,,,,,,,
01-Jun-2018,03:00,01-Jun-2018,03:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.03,121.33,,,31.0,44.0,8.0,553.5,,,171.0,63.0,1.0,43.97,41.87,0.6,,38.73,,0.5,1.0,,,,,0.0,,65.73,36.67,,,,,,,,,,
01-Jun-2018,03:15,01-Jun-2018,03:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.47,134.67,,,30.8,45.33,8.0,553.5,,,171.0,63.0,0.83,42.9,40.57,0.53,,36.83,,0.4,1.0,,,,,0.0,,65.93,35.97,,,,,,,,,,
01-Jun-2018,03:30,01-Jun-2018,03:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.4,137.67,,,30.67,46.67,8.0,553.5,,,171.0,63.0,1.17,40.47,38.83,0.5,,38.43,,0.5,0.97,,,,,0.0,,66.8,37.8,,,,,,,,,,
01-Jun-2018,03:45,01-Jun-2018,04:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.37,136.33,,,30.47,47.67,8.0,553.5,,,171.0,63.0,1.13,41.47,39.73,0.47,,38.43,,0.5,0.77,,,,,0.07,,66.93,45.37,,,,,,,,,,
01-Jun-2018,04:00,01-Jun-2018,04:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.3,126.0,,,30.4,48.67,8.0,553.5,,,183.0,70.0,0.97,41.27,39.3,0.67,,35.6,,0.5,0.6,,,,,0.0,,65.83,46.27,,,,,,,,,,
01-Jun-2018,04:15,01-Jun-2018,04:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.53,134.33,,,30.23,50.0,8.0,553.5,,,183.0,70.0,1.73,39.37,38.67,0.7,,39.17,,0.4,0.5,,,,,0.0,,61.17,42.87,,,,,,,,,,
01-Jun-2018,04:30,01-Jun-2018,04:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.2,136.33,,,30.07,51.0,8.0,553.5,,,183.0,70.0,0.83,32.87,31.43,0.73,,45.6,,0.4,0.5,,,,,0.0,,57.17,37.8,,,,,,,,,,
01-Jun-2018,04:45,01-Jun-2018,05:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.13,124.67,,,29.9,52.33,8.0,553.5,,,183.0,70.0,1.2,34.43,33.37,0.73,,45.37,,0.4,0.47,,,,,0.0,,56.97,33.87,,,,,,,,,,
01-Jun-2018,05:00,01-Jun-2018,05:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.27,129.33,,,29.77,53.33,8.0,553.5,,,183.0,65.0,1.1,35.0,33.77,0.83,,40.97,,0.4,0.4,,,,,0.03,,58.33,34.3,,,,,,,,,,
01-Jun-2018,05:15,01-Jun-2018,05:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.07,132.0,,,29.57,55.0,8.33,553.5,,,183.0,65.0,1.77,38.2,37.67,0.77,,37.07,,0.3,0.4,,,,,-0.03,,58.7,38.03,,,,,,,,,,
01-Jun-2018,05:30,01-Jun-2018,05:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.23,122.33,,,29.33,56.67,11.33,553.5,,,183.0,65.0,2.73,36.23,37.17,0.7,,35.43,,0.3,0.5,,,,,0.0,,59.47,33.23,,,,,,,,,,
01-Jun-2018,05:45,01-Jun-2018,06:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.13,121.67,,,29.3,57.33,17.0,553.5,,,183.0,65.0,15.5,39.73,44.77,0.48,,26.27,,0.2,0.6,,,,,0.0,,39.1,17.23,,,,,,,,,,
01-Jun-2018,06:00,01-Jun-2018,06:15,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.93,121.67,,,29.2,58.0,24.33,553.5,,,190.0,71.0,8.3,44.8,52.9,0.83,,29.83,,0.37,0.37,,,,,-0.03,,59.37,14.03,,,,,,,,,,
01-Jun-2018,06:15,01-Jun-2018,06:30,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.2,117.67,,,29.0,57.33,34.0,553.5,,,190.0,71.0,3.47,40.2,41.9,0.77,,29.9,,0.33,0.73,,,,,-0.03,,61.1,22.27,,,,,,,,,,
01-Jun-2018,06:30,01-Jun-2018,06:45,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",1.37,126.0,,,28.7,57.0,44.67,553.5,,,190.0,71.0,2.73,38.83,39.6,0.67,,33.3,,0.47,0.9,,,,,0.0,,60.2,20.9,,,,,,,,,,
01-Jun-2018,06:45,01-Jun-2018,07:00,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",0.9,119.33,,,28.6,56.33,55.67,553.5,,,190.0,71.0,3.27,44.5,45.53,0.7,,34.7,,0.4,0.87,,,,,-0.03,,60.23,24.87,,,,,,,,,,
