From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jul-2018,00:00,01-Jul-2018,00:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,00:15,01-Jul-2018,00:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,00:30,01-Jul-2018,00:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,00:45,01-Jul-2018,01:00,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:00,01-Jul-2018,01:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:15,01-Jul-2018,01:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:30,01-Jul-2018,01:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:45,01-Jul-2018,02:00,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:00,01-Jul-2018,02:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:15,01-Jul-2018,02:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:30,01-Jul-2018,02:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:45,01-Jul-2018,03:00,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,03:00,01-Jul-2018,03:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,03:15,01-Jul-2018,03:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,03:30,01-Jul-2018,03:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,03:45,01-Jul-2018,04:00,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,04:00,01-Jul-2018,04:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,04:15,01-Jul-2018,04:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,04:30,01-Jul-2018,04:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,04:45,01-Jul-2018,05:00,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,05:00,01-Jul-2018,05:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,05:15,01-Jul-2018,05:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,05:30,01-Jul-2018,05:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,05:45,01-Jul-2018,06:00,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,06:00,01-Jul-2018,06:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,06:15,01-Jul-2018,06:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,06:30,01-Jul-2018,06:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,06:45,01-Jul-2018,07:00,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,07:00,01-Jul-2018,07:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,07:15,01-Jul-2018,07:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,07:30,01-Jul-2018,07:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,07:45,01-Jul-2018,08:00,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,08:00,01-Jul-2018,08:15,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,08:15,01-Jul-2018,08:30,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",1.8,,,,,81.0,,,,,44.0,24.0,,12.8,,0.22,,21.95,,0.3,,,,,,,,18.9,4.7,,,,,,,,,,
01-Jul-2018,08:30,01-Jul-2018,08:45,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",1.6,,,,,81.0,,,,,44.0,24.0,,12.5,,0.35,,22.15,,0.3,,,,,,,,18.8,4.7,,,,,,,,,,
