From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Dec-2017,06:15,01-Dec-2017,06:30,Maharashtra,Chandrapur,"Chandrapur, Chandrapur - MPCB",1.0,141.0,,,17.9,64.0,2.0,743.0,,,,60.0,4.7,22.9,16.0,0.55,,16.1,,84704.1,819221.0,,50.0,,,,,126.5,15.2,54.6,2018707.62,0.0,,,,,,,
01-Jul-2018,00:00,01-Jul-2018,00:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.8,110.8,,,,83.99,,,,,12.99,,5.54,4.11,9.5,0.43,,25.55,,3.0,10.0,,,,,,,0.25,0.29,28.22,,0.0,,,3.0,,,,
01-Jul-2018,00:15,01-Jul-2018,00:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.75,122.59,,,,85.68,,,,,12.99,,9.91,2.88,12.3,0.43,,19.8,,3.0,10.0,,,,,,,1.29,0.06,28.2,,0.0,,,3.0,,,,
01-Jul-2018,00:30,01-Jul-2018,00:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.74,117.67,,,,86.01,,,,,12.99,,7.77,3.92,11.2,0.43,,20.7,,3.0,10.0,,,,,,,0.84,0.22,28.16,,0.0,,,3.0,,,,
01-Jul-2018,00:45,01-Jul-2018,01:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.87,118.34,,,,86.46,,,,,17.68,,6.21,2.29,8.8,0.43,,17.28,,3.0,10.0,,,,,,,0.25,0.27,28.11,,0.0,,,3.0,,,,
01-Jul-2018,01:00,01-Jul-2018,01:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.96,122.78,,,,87.16,,,,,21.78,,6.13,7.22,11.6,0.43,,17.07,,3.0,10.0,,,,,,,0.2,0.25,28.09,,0.0,,,3.0,,,,
01-Jul-2018,01:15,01-Jul-2018,01:30,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.82,103.4,,,,86.43,,,,,21.78,,7.07,3.06,9.5,0.43,,20.43,,3.0,10.0,,,,,,,1.93,0.2,28.07,,0.0,,,3.0,,,,
01-Jul-2018,01:30,01-Jul-2018,01:45,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.87,116.08,,,,85.46,,,,,21.78,,6.67,2.56,9.6,0.43,,23.07,,3.0,10.0,,,,,,,0.62,0.23,28.12,,0.0,,,3.0,,,,
01-Jul-2018,01:45,01-Jul-2018,02:00,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.89,122.16,,,,86.12,,,,,21.31,,6.09,2.89,9.3,0.43,,19.16,,3.0,10.0,,,,,,,0.71,0.36,28.11,,0.0,,,3.0,,,,
01-Jul-2018,02:00,01-Jul-2018,02:15,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",0.83,117.76,,,,86.04,,,,,20.89,,7.56,3.14,10.6,0.43,,21.85,,3.0,10.0,,,,,,,1.09,0.31,27.97,,0.0,,,3.0,,,,
