﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1004.4,,85.1,93.15,0.17,,0.0,195.14,2.43,0.91,0.0,,,14.45,5.98,10.6,33.05,4.74
01-Jul-2018,00:15,01-Jul-2018,00:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1004.5,,76.4,93.18,0.71,,0.0,191.08,2.32,1.07,0.0,,,13.29,5.96,10.02,33.05,4.37
01-Jul-2018,00:30,01-Jul-2018,00:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,,,,,,,,,,,,,,,,,,
01-Jul-2018,00:45,01-Jul-2018,01:00,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1004.4,,76.4,93.68,0.83,,0.0,199.7,2.64,0.85,0.0,,,12.06,5.49,9.07,33.37,4.8
01-Jul-2018,01:00,01-Jul-2018,01:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1004.5,,76.4,93.68,0.65,,0.0,201.25,2.69,0.73,0.0,,,12.5,6.19,9.81,33.58,4.57
01-Jul-2018,01:15,01-Jul-2018,01:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1004.3,,76.4,94.07,0.3,,0.0,197.4,2.59,0.56,0.0,,,11.83,5.84,9.22,33.82,4.7
01-Jul-2018,01:30,01-Jul-2018,01:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,,,,,,,,,,,,,,,,,,
01-Jul-2018,01:45,01-Jul-2018,02:00,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1003.8,,76.4,93.28,,,0.0,196.59,2.36,0.63,0.0,,,11.9,6.07,9.42,34.14,4.61
01-Jul-2018,02:00,01-Jul-2018,02:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1003.8,,64.28,92.35,,,0.0,204.01,2.37,0.46,0.0,,,11.18,5.88,8.93,32.79,4.72
01-Jul-2018,02:15,01-Jul-2018,02:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1003.7,,49.78,92.23,0.03,,0.0,207.4,2.39,0.52,0.0,,,12.03,5.48,9.05,34.65,4.42
01-Jul-2018,02:30,01-Jul-2018,02:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,,,,,,,,,,,,,,,,,,
01-Jul-2018,02:45,01-Jul-2018,03:00,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1003.7,,49.78,91.23,0.54,,0.0,210.15,2.32,0.37,0.0,,,11.27,5.93,9.01,31.49,4.6
01-Jul-2018,03:00,01-Jul-2018,03:15,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1003.5,,49.78,90.4,0.09,,0.0,206.57,2.17,0.61,0.0,,,10.66,5.02,8.04,29.13,4.49
01-Jul-2018,03:15,01-Jul-2018,03:30,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,1003.3,,49.78,90.37,0.28,,0.0,208.2,1.75,0.44,0.0,,,11.35,5.53,8.75,28.22,4.5
01-Jul-2018,03:30,01-Jul-2018,03:45,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",,,,,,,,,,,,,,,,,,,
