﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,111.55,72.97,,,,,,,2.51,,,,47.57,27.64,75.21,15.42,
01-Jul-2018,00:15,01-Jul-2018,00:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,108.34,71.14,,,,,,,1.36,,,,47.47,28.11,75.59,17.3,
01-Jul-2018,00:30,01-Jul-2018,00:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,99.18,68.62,,,,,,,2.22,,,,48.98,28.02,76.99,16.73,
01-Jul-2018,00:45,01-Jul-2018,01:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,88.06,62.44,,,,,,,2.96,,,,46.93,28.0,74.93,17.09,
01-Jul-2018,01:00,01-Jul-2018,01:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,74.9,54.35,,,,,,,1.46,,,,47.73,28.35,76.07,15.75,
01-Jul-2018,01:15,01-Jul-2018,01:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,76.38,47.72,,,,,,,1.4,,,,46.31,29.25,75.57,16.05,
01-Jul-2018,01:30,01-Jul-2018,01:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,77.0,47.26,,,,,,,1.37,,,,47.49,29.6,77.09,18.88,
01-Jul-2018,01:45,01-Jul-2018,02:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,76.89,55.98,,,,,,,1.26,,,,47.26,29.23,76.49,17.83,
01-Jul-2018,02:00,01-Jul-2018,02:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,82.36,66.94,,,,,,,0.97,,,,47.22,29.65,76.87,17.62,
01-Jul-2018,02:15,01-Jul-2018,02:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,85.04,69.47,,,,,,,1.44,,,,47.74,28.53,76.27,18.3,
01-Jul-2018,02:30,01-Jul-2018,02:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,79.9,71.06,,,,,,,1.32,,,,48.16,30.57,78.74,17.03,
01-Jul-2018,02:45,01-Jul-2018,03:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,74.49,59.91,,,,,,,1.28,,,,47.37,28.93,76.29,20.31,
01-Jul-2018,03:00,01-Jul-2018,03:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,70.06,52.54,,,,,,,1.71,,,,48.07,28.59,76.66,20.28,
01-Jul-2018,03:15,01-Jul-2018,03:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,64.23,41.84,,,,,,,1.23,,,,47.81,28.07,75.87,22.22,
01-Jul-2018,03:30,01-Jul-2018,03:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,55.48,53.66,,,,,,,1.58,,,,47.63,29.2,76.82,22.72,
01-Jul-2018,03:45,01-Jul-2018,04:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,45.28,51.08,,,,,,,1.53,,,,47.38,28.82,76.2,22.74,
01-Jul-2018,04:00,01-Jul-2018,04:15,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,39.82,37.91,,,,,,,0.62,,,,47.6,28.89,76.51,23.92,
01-Jul-2018,04:15,01-Jul-2018,04:30,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,38.93,20.91,,,,,,,1.04,,,,47.08,28.94,76.04,24.01,
01-Jul-2018,04:30,01-Jul-2018,04:45,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,44.0,25.57,,,,,,,1.42,,,,47.97,27.62,75.58,22.31,
01-Jul-2018,04:45,01-Jul-2018,05:00,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,,42.51,27.51,,,,,,,1.2,,,,46.88,28.2,75.1,27.51,
