﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",31.0,975.8,167.0,45.0,79.9,2.6,,32.9,169.4,0.5,1.6,3.7,,27.5,23.1,23.5,31.5,0.6,4.9
01-Jul-2018,00:15,01-Jul-2018,00:30,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",30.8,975.7,167.0,45.0,80.8,2.5,,30.9,181.6,0.8,1.6,3.3,,27.7,18.6,30.7,34.8,1.8,
01-Jul-2018,00:30,01-Jul-2018,00:45,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",30.7,975.6,133.0,38.0,81.7,2.6,,29.8,191.4,0.7,,3.1,,29.1,22.9,25.7,33.2,1.7,6.5
01-Jul-2018,00:45,01-Jul-2018,01:00,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",30.6,975.4,133.0,38.0,82.7,2.5,,28.8,195.1,1.0,1.3,3.0,,29.8,20.8,23.2,30.0,,7.6
01-Jul-2018,01:00,01-Jul-2018,01:15,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",30.6,975.2,133.0,38.0,83.0,2.4,,30.3,199.5,1.0,1.3,3.1,,32.9,20.9,22.1,29.1,,8.0
01-Jul-2018,01:15,01-Jul-2018,01:30,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",30.6,975.1,133.0,38.0,83.2,2.5,,29.2,196.2,1.0,1.3,3.0,,34.1,20.6,20.7,27.8,,8.8
01-Jul-2018,01:30,01-Jul-2018,01:45,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",30.7,975.0,127.0,41.0,82.3,2.4,,27.5,203.8,0.9,1.2,2.8,,32.0,20.1,19.6,26.7,1.1,8.9
01-Jul-2018,01:45,01-Jul-2018,02:00,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",30.9,974.8,127.0,41.0,80.7,2.5,,26.6,207.2,0.8,,2.7,,,,,,3.1,
01-Jul-2018,02:00,01-Jul-2018,02:15,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",31.1,974.7,127.0,41.0,79.8,2.5,,26.1,208.8,0.8,,2.6,,,,,,2.9,
01-Jul-2018,02:15,01-Jul-2018,02:30,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",31.0,974.7,127.0,41.0,80.4,2.5,,25.8,208.4,0.8,,2.5,,,,,,3.3,
01-Jul-2018,02:30,01-Jul-2018,02:45,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",31.0,974.6,130.0,47.0,80.2,2.5,,26.0,207.1,0.8,1.1,2.5,,26.7,17.6,20.5,26.1,2.1,11.7
01-Jul-2018,02:45,01-Jul-2018,03:00,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",31.0,974.5,130.0,47.0,79.4,2.4,,25.9,218.0,0.7,1.1,2.4,,21.6,15.1,26.0,29.0,2.2,11.9
