﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.8,73.88,36.91,77.37,39.2,30.86,26.85,201.54,2.84,0.29,2.03,,12.03,2.78,4.62,6.4,19.28,4.83
01-Jul-2018,00:15,01-Jul-2018,00:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.7,75.32,33.41,78.36,41.5,30.78,27.16,201.69,3.01,0.46,2.15,,12.09,3.06,4.61,6.68,19.91,8.99
01-Jul-2018,00:30,01-Jul-2018,00:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.4,75.32,33.41,79.28,38.2,30.73,29.59,213.01,2.7,0.51,2.23,,12.41,4.53,3.32,6.79,18.65,16.66
01-Jul-2018,00:45,01-Jul-2018,01:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.4,75.32,33.41,79.62,39.3,30.7,27.86,207.51,2.71,0.52,2.48,,12.73,5.02,4.34,8.36,18.74,19.45
01-Jul-2018,01:00,01-Jul-2018,01:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.3,77.28,34.69,79.6,40.3,30.7,26.6,213.13,2.73,0.51,2.88,,12.86,5.52,4.47,8.98,18.64,19.08
01-Jul-2018,01:15,01-Jul-2018,01:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.1,87.9,42.27,78.98,40.2,30.71,26.95,208.81,2.99,0.53,2.89,,11.57,3.82,4.66,7.48,20.33,13.23
01-Jul-2018,01:30,01-Jul-2018,01:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.1,87.9,42.27,78.67,40.3,30.7,26.72,216.85,3.07,0.54,2.95,,12.46,3.79,3.11,5.91,24.29,8.56
01-Jul-2018,01:45,01-Jul-2018,02:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.0,87.9,42.27,78.48,37.6,30.61,27.41,211.83,2.57,0.53,2.86,,16.59,2.92,2.66,4.58,25.78,8.13
01-Jul-2018,02:00,01-Jul-2018,02:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,993.9,86.51,40.46,78.02,37.1,30.52,27.26,220.67,2.38,0.49,2.68,,16.26,2.54,4.41,5.95,27.72,6.83
01-Jul-2018,02:15,01-Jul-2018,02:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,993.7,78.98,29.71,77.0,41.8,30.44,25.56,217.06,2.61,0.43,2.47,,16.49,0.36,4.14,3.39,28.59,6.13
01-Jul-2018,02:30,01-Jul-2018,02:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,993.7,78.98,29.71,76.65,40.3,30.45,24.96,209.63,2.73,0.4,2.37,,14.76,1.9,2.88,3.78,29.27,4.53
01-Jul-2018,02:45,01-Jul-2018,03:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,993.8,78.98,29.71,78.33,38.7,30.26,25.27,212.58,2.55,0.36,2.19,,14.66,2.83,2.69,4.53,27.84,4.39
01-Jul-2018,03:00,01-Jul-2018,03:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,993.7,78.48,29.38,77.0,41.8,30.23,25.52,207.7,2.77,0.35,2.12,,14.74,2.68,2.78,4.45,28.16,3.9
01-Jul-2018,03:15,01-Jul-2018,03:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,993.8,75.77,27.44,76.32,42.2,30.14,24.01,202.33,2.56,0.32,2.0,,15.28,1.36,2.99,3.29,28.42,3.19
01-Jul-2018,03:30,01-Jul-2018,03:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,993.7,75.77,27.44,75.06,43.8,30.12,24.98,206.04,2.82,0.33,1.98,,14.9,0.82,2.4,2.35,28.93,2.69
01-Jul-2018,03:45,01-Jul-2018,04:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,993.8,75.77,27.44,74.68,43.0,30.03,24.86,207.69,2.78,0.28,1.91,,11.95,1.08,2.9,2.97,29.05,2.54
01-Jul-2018,04:00,01-Jul-2018,04:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.1,74.08,27.25,74.4,41.3,29.96,26.35,211.0,2.62,0.15,1.94,,11.79,0.73,3.04,2.7,28.99,2.05
01-Jul-2018,04:15,01-Jul-2018,04:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.1,64.91,26.01,74.55,42.5,29.88,27.35,198.23,2.72,0.4,1.85,,12.52,1.08,2.76,2.84,28.5,2.36
01-Jul-2018,04:30,01-Jul-2018,04:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.2,64.91,26.01,74.78,41.3,29.78,28.41,206.0,2.54,0.45,1.85,,12.89,1.62,3.16,3.77,28.12,2.18
01-Jul-2018,04:45,01-Jul-2018,05:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.2,64.91,26.01,74.86,42.4,29.74,26.47,205.78,2.61,0.48,1.67,,12.53,2.61,3.27,4.87,26.82,2.44
01-Jul-2018,05:00,01-Jul-2018,05:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.4,63.12,26.94,75.22,44.1,29.69,26.06,203.31,2.53,0.49,1.61,,12.52,2.27,2.41,3.68,26.46,2.32
01-Jul-2018,05:15,01-Jul-2018,05:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.4,53.39,32.43,75.59,52.4,29.66,26.5,206.14,2.79,0.51,1.66,,13.3,1.21,3.53,3.74,25.84,2.18
01-Jul-2018,05:30,01-Jul-2018,05:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.5,53.39,32.43,75.92,61.7,29.73,25.99,202.4,2.72,0.51,1.65,,12.71,1.8,2.96,3.7,25.91,2.1
01-Jul-2018,05:45,01-Jul-2018,06:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.5,53.39,32.43,75.88,71.2,29.89,26.87,205.54,2.86,0.52,1.67,,13.44,2.74,3.52,5.25,26.75,2.47
01-Jul-2018,06:00,01-Jul-2018,06:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.7,56.17,32.2,75.69,88.4,30.15,26.66,210.37,2.59,0.52,1.66,,13.54,3.67,3.12,5.79,26.19,3.04
01-Jul-2018,06:15,01-Jul-2018,06:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.8,71.27,30.82,74.98,132.8,30.56,26.47,216.73,2.52,0.47,1.63,,15.12,3.47,3.37,5.84,26.31,3.53
01-Jul-2018,06:30,01-Jul-2018,06:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.9,71.27,30.82,74.75,113.3,30.76,25.42,213.46,2.87,0.45,1.65,,16.1,2.21,2.71,3.92,26.59,3.81
01-Jul-2018,06:45,01-Jul-2018,07:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,994.9,71.27,30.82,75.2,92.0,30.77,25.24,199.59,2.88,0.42,1.68,,15.53,2.01,3.22,4.23,26.98,4.71
01-Jul-2018,07:00,01-Jul-2018,07:15,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,995.0,71.78,30.48,75.04,124.7,30.98,26.4,204.23,2.99,0.39,1.66,,15.46,2.12,3.32,4.44,27.17,9.99
01-Jul-2018,07:15,01-Jul-2018,07:30,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,995.1,74.57,28.45,73.85,179.5,31.47,26.63,208.29,3.19,0.39,1.74,,14.38,3.47,4.06,6.53,29.05,9.53
01-Jul-2018,07:30,01-Jul-2018,07:45,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,995.3,74.57,28.45,71.56,186.5,32.03,26.8,215.07,3.24,0.39,2.1,,14.47,3.23,3.86,6.09,30.76,9.16
01-Jul-2018,07:45,01-Jul-2018,08:00,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",,995.4,74.57,28.45,69.19,210.0,32.59,28.47,215.8,2.97,0.37,2.3,,12.55,2.57,3.81,5.38,32.99,9.03
