From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jul-2018,00:00,01-Jul-2018,00:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.4,296.0,,,25.7,53.0,5.0,713.0,,,22.0,14.0,4.1,28.4,18.4,0.3,,94.1,,0.4,5.8,,0.4,,,-0.2,,13.6,2.4,30.3,,0.0,,,,,,,
01-Jul-2018,00:15,01-Jul-2018,00:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,341.0,,,25.6,53.0,5.0,713.0,,,22.0,14.0,4.1,29.3,18.9,0.3,,62.7,,0.4,6.9,,0.5,,,-0.2,,13.5,2.4,30.4,,0.0,,,,,,,
01-Jul-2018,00:30,01-Jul-2018,00:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,283.0,,,25.4,53.0,5.0,713.0,,,22.0,14.0,4.2,29.7,19.2,0.29,,,,0.5,9.5,,0.4,,,-0.2,,13.4,2.6,30.4,,0.0,,,,,,,
01-Jul-2018,00:45,01-Jul-2018,01:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,52.0,,,25.3,54.0,5.0,713.0,,,21.0,13.0,4.3,29.9,19.4,0.29,,62.7,,0.6,11.7,,0.4,,,-0.2,,13.4,2.4,30.5,,0.0,,,,,,,
01-Jul-2018,01:00,01-Jul-2018,01:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,231.0,,,25.1,54.0,5.0,713.0,,,21.0,13.0,4.6,30.5,19.9,0.29,,,,0.6,12.4,,0.3,,,-0.2,,13.9,2.4,30.6,,0.0,,,,,,,
01-Jul-2018,01:15,01-Jul-2018,01:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,321.0,,,25.0,55.0,5.0,713.0,,,21.0,13.0,4.8,30.5,20.1,0.27,,78.4,,0.6,12.9,,0.3,,,-0.2,,13.9,2.6,30.5,,0.0,,,,,,,
01-Jul-2018,01:30,01-Jul-2018,01:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,312.0,,,24.9,55.0,5.0,713.0,,,21.0,13.0,4.9,31.2,20.6,0.27,,86.2,,0.6,13.0,,0.6,,,-0.2,,13.6,2.9,30.4,,0.0,,,,,,,
01-Jul-2018,01:45,01-Jul-2018,02:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,302.0,,,24.8,56.0,5.0,713.0,,,22.0,18.0,4.9,31.8,20.9,0.27,,17.6,,0.6,13.0,,0.7,,,-0.2,,13.7,2.4,30.5,,0.0,,,,,,,
01-Jul-2018,02:00,01-Jul-2018,02:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,300.0,,,24.8,56.0,5.0,713.0,,,22.0,18.0,4.9,32.3,21.2,0.27,,,,0.6,13.0,,0.5,,,-0.2,,13.8,2.6,30.4,,0.0,,,,,,,
01-Jul-2018,02:15,01-Jul-2018,02:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.3,279.0,,,24.9,56.0,5.0,713.0,,,22.0,18.0,5.2,33.5,22.0,0.27,,31.4,,0.6,13.0,,0.4,,,-0.2,,13.5,2.6,30.4,,0.0,,,,,,,
01-Jul-2018,02:30,01-Jul-2018,02:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.5,271.0,,,25.0,55.0,5.0,713.0,,,22.0,18.0,5.3,33.7,22.2,0.27,,,,0.6,13.3,,0.9,,,-0.2,,13.5,2.9,30.4,,0.0,,,,,,,
01-Jul-2018,02:45,01-Jul-2018,03:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.4,274.0,,,25.1,55.0,5.0,713.0,,,19.0,15.0,5.5,33.5,22.3,0.25,,,,0.6,13.6,,0.7,,,-0.2,,14.0,2.9,30.4,,0.0,,,,,,,
01-Jul-2018,03:00,01-Jul-2018,03:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.5,278.0,,,25.0,56.0,5.0,713.0,,,19.0,15.0,5.7,33.1,22.2,0.25,,,,0.6,13.9,,0.3,,,-0.2,,14.3,2.6,30.4,,0.0,,,,,,,
01-Jul-2018,03:15,01-Jul-2018,03:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.5,242.0,,,24.9,56.0,5.0,713.0,,,19.0,15.0,5.9,33.1,22.4,0.24,,49.0,,0.6,14.2,,0.5,,,-0.2,,14.7,2.6,30.6,,0.0,,,,,,,
01-Jul-2018,03:30,01-Jul-2018,03:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.5,202.0,,,24.9,56.0,5.0,713.0,,,19.0,15.0,6.0,32.1,22.0,0.29,,,,0.5,14.6,,0.9,,,-0.2,,16.0,2.9,30.7,,0.0,,,,,,,
01-Jul-2018,03:45,01-Jul-2018,04:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.4,238.0,,,24.9,56.0,5.0,713.0,,,25.0,15.0,6.2,30.5,21.2,0.35,,25.5,,0.5,13.9,,1.2,,,-0.2,,15.0,2.6,29.5,,0.0,,,,,,,
01-Jul-2018,04:00,01-Jul-2018,04:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.6,262.0,,,24.7,56.0,5.0,713.0,,,25.0,15.0,6.0,29.5,20.6,0.35,,15.7,,0.5,14.4,,1.6,,,-0.2,,14.3,2.4,28.5,,0.0,,,,,,,
01-Jul-2018,04:15,01-Jul-2018,04:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.7,254.0,,,24.7,56.0,5.0,713.0,,,25.0,15.0,5.5,28.4,19.6,0.38,,66.6,,0.5,14.9,,0.4,,,-0.2,,14.1,1.6,27.9,,0.0,,,,,,,
01-Jul-2018,04:30,01-Jul-2018,04:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.7,290.0,,,24.7,56.0,5.0,713.0,,,25.0,15.0,4.8,27.4,18.5,0.38,,,,0.5,14.4,,0.6,,,-0.2,,13.9,0.5,27.5,,0.0,,,,,,,
01-Jul-2018,04:45,01-Jul-2018,05:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.7,274.0,,,24.6,55.0,5.0,713.0,,,19.0,10.0,4.3,26.7,17.7,0.38,,,,0.4,13.7,,0.5,,,-0.2,,13.6,0.8,27.4,,0.0,,,,,,,
01-Jul-2018,05:00,01-Jul-2018,05:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.8,280.0,,,24.5,55.0,5.0,713.0,,,19.0,10.0,4.3,25.9,17.3,0.38,,,,0.4,12.7,,0.3,,,-0.2,,13.5,0.5,27.3,,0.0,,,,,,,
01-Jul-2018,05:15,01-Jul-2018,05:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.7,285.0,,,24.4,56.0,5.0,713.0,,,19.0,10.0,4.3,25.6,17.1,0.38,,,,0.4,11.7,,0.3,,,-0.2,,13.5,0.5,27.1,,0.0,,,,,,,
01-Jul-2018,05:30,01-Jul-2018,05:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.7,274.0,,,24.3,56.0,5.0,713.0,,,19.0,10.0,3.7,25.4,16.5,0.38,,,,0.4,10.7,,0.3,,,-0.2,,13.4,0.8,27.0,,0.0,,,,,,,
01-Jul-2018,05:45,01-Jul-2018,06:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.7,279.0,,,24.1,56.0,5.0,713.0,,,13.0,11.0,3.7,25.4,16.5,0.34,,,,0.4,9.9,,0.4,,,-0.2,,13.5,0.5,27.0,,0.0,,,,,,,
01-Jul-2018,06:00,01-Jul-2018,06:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.6,237.0,,,24.0,57.0,6.0,713.0,,,13.0,11.0,3.9,25.4,16.6,0.23,,,,0.3,9.7,,0.3,,,-0.2,,13.6,0.5,27.0,,0.0,,,,,,,
01-Jul-2018,06:15,01-Jul-2018,06:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.6,272.0,,,24.0,57.0,18.0,713.0,,,13.0,11.0,3.9,25.8,16.9,0.23,,,,0.3,9.3,,0.5,,,-0.2,,13.5,0.8,27.0,,0.0,,,,,,,
01-Jul-2018,06:30,01-Jul-2018,06:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.8,278.0,,,24.2,57.0,39.0,713.0,,,13.0,11.0,3.9,26.3,17.2,0.23,,,,0.3,8.4,,0.3,,,-0.2,,13.4,0.8,27.0,,0.0,,,,,,,
01-Jul-2018,06:45,01-Jul-2018,07:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.9,275.0,,,24.6,56.0,64.0,713.0,,,18.0,8.0,4.2,26.3,17.4,0.23,,,,0.3,8.0,,0.3,,,-0.2,,13.4,0.8,27.0,,0.0,,,,,,,
01-Jul-2018,07:00,01-Jul-2018,07:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.8,266.0,,,24.9,55.0,125.0,713.0,,,18.0,8.0,4.2,26.3,17.4,0.23,,,,0.4,8.1,,0.3,,,-0.2,,13.5,0.8,27.0,,0.0,,,,,,,
01-Jul-2018,07:15,01-Jul-2018,07:30,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.8,265.0,,,25.4,53.0,159.0,713.0,,,18.0,8.0,4.3,25.9,17.3,0.24,,,,0.4,8.0,,0.4,,,-0.2,,13.6,0.5,27.1,,0.0,,,,,,,
01-Jul-2018,07:30,01-Jul-2018,07:45,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.8,255.0,,,25.8,52.0,184.0,713.0,,,18.0,8.0,4.4,26.7,17.8,0.17,,,,0.3,7.9,,0.7,,,-0.2,,14.6,0.8,28.4,,0.0,,,,,,,
01-Jul-2018,07:45,01-Jul-2018,08:00,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.9,272.0,,,26.2,51.0,223.0,713.0,,,27.0,17.0,5.0,27.3,18.6,0.14,,,,0.3,7.0,,0.8,,,-0.2,,14.7,1.0,29.7,,0.0,,,,,,,
01-Jul-2018,08:00,01-Jul-2018,08:15,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",0.8,284.0,,,26.6,50.0,245.0,713.0,,,27.0,17.0,5.4,28.2,19.4,0.13,,,,0.2,3.8,,0.3,,,-0.2,,14.8,0.8,30.2,,0.0,,,,,,,
