﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.6,127.74,49.38,70.22,100.5,29.82,1.07,223.7,1.03,,0.22,,10.57,28.01,8.79,36.8,31.1,
01-Jul-2018,00:15,01-Jul-2018,00:30,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.5,127.74,49.38,70.22,100.4,29.68,0.78,222.67,0.86,0.42,0.18,,11.03,26.74,8.68,35.42,31.41,14.71
01-Jul-2018,00:30,01-Jul-2018,00:45,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.5,110.4,44.18,70.08,99.0,29.57,0.65,224.3,0.84,0.47,0.18,,10.85,23.55,8.6,32.15,32.66,13.88
01-Jul-2018,00:45,01-Jul-2018,01:00,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.3,108.71,44.0,70.26,99.5,29.44,0.87,223.12,0.72,0.41,0.13,,12.28,18.42,9.12,27.54,35.02,13.28
01-Jul-2018,01:00,01-Jul-2018,01:15,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.3,108.71,44.0,70.53,99.8,29.35,0.83,223.46,0.72,0.35,0.11,,12.75,18.84,7.7,26.55,33.93,13.3
01-Jul-2018,01:15,01-Jul-2018,01:30,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.2,108.71,44.0,71.2,97.0,29.14,0.88,217.67,0.56,0.3,0.11,,12.72,18.87,7.9,26.77,32.68,13.83
01-Jul-2018,01:30,01-Jul-2018,01:45,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.2,120.41,54.45,71.46,99.0,28.96,0.91,221.54,0.57,0.37,0.12,,14.31,21.66,8.16,29.83,32.05,14.94
01-Jul-2018,01:45,01-Jul-2018,02:00,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.1,120.95,55.61,71.56,98.5,28.85,0.86,214.67,0.65,0.36,0.1,,15.69,22.9,7.43,30.33,30.75,15.31
01-Jul-2018,02:00,01-Jul-2018,02:15,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.1,120.95,55.61,71.93,96.7,28.7,0.86,214.42,0.59,0.33,0.1,,16.2,18.72,5.78,24.5,31.59,15.35
01-Jul-2018,02:15,01-Jul-2018,02:30,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.1,120.95,55.61,72.63,97.4,28.56,0.87,216.62,0.75,0.33,0.09,,16.65,17.53,6.82,24.35,31.39,15.47
01-Jul-2018,02:30,01-Jul-2018,02:45,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.1,125.73,30.99,72.7,100.4,28.47,0.87,218.3,0.73,0.33,0.08,,16.49,16.97,7.2,24.17,31.59,15.36
01-Jul-2018,02:45,01-Jul-2018,03:00,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.0,126.19,29.85,73.08,97.3,28.36,0.88,213.22,0.58,0.29,0.08,,16.87,17.34,5.77,22.95,30.63,14.12
01-Jul-2018,03:00,01-Jul-2018,03:15,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.0,126.19,29.85,73.47,98.9,28.25,0.87,214.93,0.6,,0.08,,17.41,16.26,8.34,24.6,29.25,
01-Jul-2018,03:15,01-Jul-2018,03:30,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,743.9,126.19,29.85,73.03,100.9,28.28,0.85,217.06,0.65,0.47,0.07,,17.64,17.18,7.69,24.86,28.47,15.22
01-Jul-2018,03:30,01-Jul-2018,03:45,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,743.9,127.39,36.33,71.78,99.6,28.39,0.44,218.38,0.62,0.54,0.07,,17.03,20.92,6.49,27.41,26.61,13.74
01-Jul-2018,03:45,01-Jul-2018,04:00,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.0,127.52,36.56,71.24,99.0,28.41,0.94,217.97,0.72,0.46,0.08,,16.52,25.37,6.86,32.23,23.73,12.65
01-Jul-2018,04:00,01-Jul-2018,04:15,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.0,127.52,36.56,70.66,99.4,28.43,0.98,216.38,0.53,0.42,0.08,,16.9,25.37,7.05,32.42,23.9,12.28
01-Jul-2018,04:15,01-Jul-2018,04:30,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.2,127.52,36.56,70.41,97.5,28.42,1.01,212.31,0.44,0.41,0.1,,17.02,25.01,6.78,31.79,24.93,12.76
01-Jul-2018,04:30,01-Jul-2018,04:45,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.2,126.17,44.7,70.82,101.8,28.3,1.04,215.79,0.63,0.43,0.1,,16.1,27.28,7.67,34.95,22.71,12.66
01-Jul-2018,04:45,01-Jul-2018,05:00,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.2,126.09,45.6,70.42,97.6,28.31,1.07,217.03,0.51,0.43,0.09,,15.88,26.08,6.46,32.54,22.93,12.34
01-Jul-2018,05:00,01-Jul-2018,05:15,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",,744.1,126.09,45.6,71.69,98.9,28.14,1.08,217.32,0.64,0.43,0.1,,15.47,22.21,6.83,29.04,25.16,13.21
