﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.6,57.65,19.19,88.28,66.2,28.51,2.07,195.17,0.87,0.32,1.29,,3.75,16.15,0.25,16.38,25.79,3.53
01-Jul-2018,00:15,01-Jul-2018,00:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.5,57.65,20.91,89.09,95.9,28.48,2.12,217.23,0.78,0.33,0.82,,3.68,15.86,0.2,16.05,21.0,4.97
01-Jul-2018,00:30,01-Jul-2018,00:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.3,57.65,33.26,89.31,100.9,28.5,2.11,196.2,1.16,0.31,0.72,,3.87,14.42,0.26,14.68,22.36,4.28
01-Jul-2018,00:45,01-Jul-2018,01:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.2,57.61,33.26,89.17,105.9,28.51,1.92,201.52,1.01,0.3,0.58,,3.88,14.08,0.14,14.19,23.34,4.4
01-Jul-2018,01:00,01-Jul-2018,01:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.0,56.47,33.26,89.33,101.2,28.45,1.89,218.39,0.99,0.3,0.49,,4.21,13.19,0.07,13.22,23.9,3.92
01-Jul-2018,01:15,01-Jul-2018,01:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.0,56.47,32.76,88.5,2.8,28.4,1.87,200.17,0.73,0.31,0.47,,4.21,11.9,0.11,11.99,24.29,3.87
01-Jul-2018,01:30,01-Jul-2018,01:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.9,56.47,29.16,87.47,,28.37,1.86,193.45,0.69,0.33,0.58,,3.8,13.26,0.07,13.33,22.45,3.81
01-Jul-2018,01:45,01-Jul-2018,02:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.8,56.26,29.16,86.04,,28.36,1.48,209.13,0.77,0.33,0.6,,3.77,14.27,0.06,14.32,21.86,3.7
01-Jul-2018,02:00,01-Jul-2018,02:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.7,50.29,29.16,85.12,113.9,28.32,1.52,223.83,0.85,0.32,0.71,,3.48,14.68,,14.19,23.17,3.43
01-Jul-2018,02:15,01-Jul-2018,02:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.6,50.29,28.89,85.35,74.5,28.25,1.51,237.09,1.11,0.3,0.74,,3.69,13.63,0.05,13.54,24.37,3.63
01-Jul-2018,02:30,01-Jul-2018,02:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.5,50.29,26.9,85.59,104.8,28.14,1.45,204.59,0.79,0.29,0.62,,3.73,13.16,0.18,13.34,24.89,2.88
01-Jul-2018,02:45,01-Jul-2018,03:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.6,50.24,26.9,84.57,108.8,28.14,1.37,194.45,0.9,0.29,0.49,,4.0,12.65,0.23,12.87,25.78,2.45
01-Jul-2018,03:00,01-Jul-2018,03:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.5,48.7,26.9,84.12,98.3,28.04,1.3,199.73,0.85,0.3,0.43,,4.11,12.93,,12.85,25.75,2.1
01-Jul-2018,03:15,01-Jul-2018,03:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.6,48.7,25.96,83.16,37.1,28.0,1.3,206.14,0.87,0.31,0.37,,4.04,10.46,0.09,10.53,26.57,2.19
01-Jul-2018,03:30,01-Jul-2018,03:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.5,48.7,19.24,82.71,95.8,27.94,1.37,204.35,0.78,0.31,0.34,,3.89,9.57,0.03,9.52,26.93,1.86
01-Jul-2018,03:45,01-Jul-2018,04:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.6,48.52,19.24,82.42,8.7,27.9,1.35,202.08,0.83,0.31,0.31,,3.72,9.44,0.05,9.37,26.89,1.96
01-Jul-2018,04:00,01-Jul-2018,04:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.9,43.35,19.24,82.42,,27.86,1.35,205.74,0.83,0.28,0.29,,3.82,9.37,,9.18,26.07,1.69
01-Jul-2018,04:15,01-Jul-2018,04:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.9,43.35,20.02,83.18,13.6,27.74,1.39,194.88,0.84,0.3,0.32,,4.0,11.96,0.34,12.27,25.06,1.67
01-Jul-2018,04:30,01-Jul-2018,04:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.0,43.35,25.65,83.17,48.1,27.69,1.36,205.57,0.75,0.29,0.32,,4.02,13.17,0.02,13.15,24.47,2.31
01-Jul-2018,04:45,01-Jul-2018,05:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.1,43.57,25.65,83.51,69.6,27.62,1.33,194.67,0.72,0.31,0.34,,3.98,14.17,0.09,14.23,23.86,2.16
01-Jul-2018,05:00,01-Jul-2018,05:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.2,50.1,25.65,83.52,,27.65,1.35,196.46,1.02,0.31,0.38,,3.97,15.06,0.02,14.94,23.93,2.52
01-Jul-2018,05:15,01-Jul-2018,05:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.3,50.1,24.81,84.08,,27.64,1.4,200.65,0.8,0.31,0.39,,4.01,14.83,0.31,15.14,24.47,3.71
01-Jul-2018,05:30,01-Jul-2018,05:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.3,50.1,18.77,84.54,,27.66,1.46,207.24,0.82,0.31,0.46,,3.77,16.09,0.64,16.73,23.19,4.9
01-Jul-2018,05:45,01-Jul-2018,06:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.4,50.09,18.77,84.94,85.2,27.73,1.57,203.4,0.76,0.32,0.62,,3.49,20.08,1.22,21.3,20.42,12.22
01-Jul-2018,06:00,01-Jul-2018,06:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.5,49.91,18.77,85.35,,27.89,1.59,217.19,0.89,0.32,0.92,,3.76,23.25,1.4,24.64,18.17,28.42
01-Jul-2018,06:15,01-Jul-2018,06:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.6,49.91,18.21,85.63,161.3,28.11,1.78,198.11,0.82,0.31,1.87,,4.01,22.52,1.31,23.83,18.95,36.93
01-Jul-2018,06:30,01-Jul-2018,06:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.8,49.91,14.21,86.12,180.0,28.25,2.1,205.12,0.91,0.32,2.89,,4.49,19.25,1.13,20.38,20.49,28.02
01-Jul-2018,06:45,01-Jul-2018,07:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.8,50.17,14.21,85.98,203.6,28.49,1.98,181.44,1.08,0.33,2.51,,4.16,15.08,0.26,15.34,22.02,21.13
01-Jul-2018,07:00,01-Jul-2018,07:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.9,57.95,14.21,84.72,312.3,28.99,1.73,210.99,0.95,0.35,1.75,,4.09,16.5,1.04,17.53,21.27,17.48
01-Jul-2018,07:15,01-Jul-2018,07:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.9,57.95,15.6,83.46,347.7,29.38,1.68,213.11,1.02,0.34,1.16,,3.7,13.93,1.45,15.38,22.9,17.41
01-Jul-2018,07:30,01-Jul-2018,07:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.1,57.95,24.63,82.14,375.0,29.85,1.79,218.02,0.94,0.34,0.9,,3.48,12.75,1.46,14.22,24.23,16.91
01-Jul-2018,07:45,01-Jul-2018,08:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.2,57.82,24.63,80.22,398.0,30.1,1.67,204.9,1.22,0.32,0.97,,3.89,13.22,1.66,14.88,25.78,15.71
01-Jul-2018,08:00,01-Jul-2018,08:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.3,53.96,24.63,78.52,395.4,30.25,1.67,206.68,1.23,0.3,0.98,,4.04,13.14,1.04,14.18,32.7,10.01
01-Jul-2018,08:15,01-Jul-2018,08:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.4,53.96,24.41,77.65,396.3,30.48,1.55,205.54,1.26,0.32,0.89,,4.19,12.96,0.78,13.74,31.92,17.95
01-Jul-2018,08:30,01-Jul-2018,08:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.4,53.96,22.86,76.37,513.1,30.75,1.42,206.61,1.23,0.33,0.69,,3.94,13.19,0.94,14.13,32.19,17.09
01-Jul-2018,08:45,01-Jul-2018,09:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.5,53.96,22.86,75.96,475.4,31.04,1.42,216.26,1.15,0.34,0.87,,3.77,13.29,1.02,14.31,33.02,15.19
01-Jul-2018,09:00,01-Jul-2018,09:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.4,54.01,22.86,74.73,552.3,31.25,1.52,201.05,1.23,0.34,0.99,,3.53,13.28,1.13,14.41,35.76,12.85
01-Jul-2018,09:15,01-Jul-2018,09:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.5,54.01,23.69,73.57,578.5,31.3,1.46,199.79,1.53,0.34,0.82,,3.37,13.65,1.07,14.71,39.99,13.52
01-Jul-2018,09:30,01-Jul-2018,09:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.4,54.01,29.7,73.0,564.9,31.58,1.47,208.99,1.44,0.32,0.67,,3.48,10.23,0.55,10.77,43.48,12.73
01-Jul-2018,09:45,01-Jul-2018,10:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.4,54.08,29.7,72.29,696.7,31.93,1.49,195.02,1.23,0.31,0.54,,3.64,13.36,0.85,14.21,45.4,11.03
01-Jul-2018,10:00,01-Jul-2018,10:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,,,,,,,,,,,,,,,,,,
01-Jul-2018,10:15,01-Jul-2018,10:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.4,56.1,29.58,69.62,718.2,32.3,1.41,215.45,1.18,0.33,0.58,,3.51,13.06,0.92,13.98,46.73,10.33
01-Jul-2018,10:30,01-Jul-2018,10:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.3,56.1,28.8,69.48,608.8,32.2,1.54,216.12,1.56,0.34,0.67,,3.4,10.35,0.59,10.93,45.32,9.16
01-Jul-2018,10:45,01-Jul-2018,11:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,999.1,55.78,28.8,68.8,675.6,32.3,1.54,213.92,1.46,0.34,0.58,,3.46,9.48,0.59,10.07,48.95,12.33
01-Jul-2018,11:00,01-Jul-2018,11:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.9,46.58,28.8,69.47,632.7,32.34,1.54,213.77,1.74,0.34,0.54,,3.4,10.48,0.5,10.98,60.43,24.21
01-Jul-2018,11:15,01-Jul-2018,11:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.9,46.58,29.55,68.16,752.7,32.43,1.57,226.28,1.77,0.33,0.64,,3.43,13.99,0.8,14.79,61.96,28.14
01-Jul-2018,11:30,01-Jul-2018,11:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.9,46.58,34.38,67.88,546.0,32.28,1.56,219.99,1.81,0.32,0.68,,3.63,13.47,0.57,14.04,62.4,17.52
01-Jul-2018,11:45,01-Jul-2018,12:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.8,46.71,34.38,69.01,664.3,32.28,1.57,216.23,1.39,0.32,0.7,,3.71,13.32,0.68,14.01,64.77,13.78
01-Jul-2018,12:00,01-Jul-2018,12:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.6,50.49,34.38,67.35,808.9,32.45,1.51,196.4,1.79,0.31,0.7,,3.58,14.04,0.53,14.58,64.29,7.4
01-Jul-2018,12:15,01-Jul-2018,12:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,998.3,50.49,34.1,67.63,803.5,32.49,1.49,240.37,1.95,0.32,0.79,,3.74,11.9,0.41,12.31,63.04,19.55
01-Jul-2018,12:30,01-Jul-2018,12:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.9,50.49,32.24,68.26,746.0,32.75,1.57,238.31,1.77,0.33,0.66,,3.63,12.21,0.35,12.55,63.77,25.95
01-Jul-2018,12:45,01-Jul-2018,13:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.8,50.93,32.24,68.44,792.6,32.57,1.55,217.06,1.95,0.33,0.67,,3.48,12.6,0.2,12.78,66.0,31.04
01-Jul-2018,13:00,01-Jul-2018,13:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.3,63.6,32.24,65.97,786.1,32.75,1.74,200.37,1.77,0.33,0.89,,3.53,14.54,1.01,15.55,63.61,39.85
01-Jul-2018,13:15,01-Jul-2018,13:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,997.1,63.6,33.01,65.24,759.5,32.62,1.67,181.03,1.45,0.32,0.71,,3.69,17.84,1.2,19.04,61.4,40.7
01-Jul-2018,13:30,01-Jul-2018,13:45,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,996.8,63.6,38.53,62.68,737.3,32.72,1.68,193.17,1.88,0.31,0.71,,3.91,16.52,1.02,17.55,63.62,27.96
01-Jul-2018,13:45,01-Jul-2018,14:00,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,996.8,63.41,38.53,63.15,605.1,32.47,1.49,212.61,1.82,0.29,0.64,,4.18,13.28,0.51,13.79,65.9,30.3
01-Jul-2018,14:00,01-Jul-2018,14:15,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,996.6,58.03,38.53,64.39,710.7,32.71,1.43,234.84,1.83,0.3,0.51,,4.19,10.99,0.12,11.11,65.21,25.35
01-Jul-2018,14:15,01-Jul-2018,14:30,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",,996.5,58.03,38.62,66.64,595.3,32.82,1.42,218.11,1.69,0.31,0.43,,4.12,9.92,0.43,10.35,58.06,15.87
