﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",33.0,740.0,129.0,52.0,59.0,7.0,25.5,7.9,83.0,1.3,0.92,0.9,,18.6,29.4,1.6,16.9,5.4,7.5
01-Jul-2018,00:15,01-Jul-2018,00:30,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.9,740.0,129.0,52.0,59.0,7.0,25.4,6.6,105.0,1.3,0.9,0.9,,18.1,26.6,1.0,15.0,5.9,7.5
01-Jul-2018,00:30,01-Jul-2018,00:45,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.9,740.0,129.0,,59.0,7.0,25.4,6.7,117.0,1.9,0.89,0.9,,17.8,24.1,0.9,13.6,7.0,7.7
01-Jul-2018,00:45,01-Jul-2018,01:00,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.8,740.0,129.0,52.0,59.0,7.0,25.3,6.5,95.0,1.4,0.88,0.8,,18.1,23.1,1.0,13.2,6.7,7.5
01-Jul-2018,01:00,01-Jul-2018,01:15,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.8,740.0,120.0,73.0,59.0,7.0,25.2,5.9,129.0,1.2,0.9,0.7,,18.4,22.2,1.1,12.7,7.5,7.4
01-Jul-2018,01:15,01-Jul-2018,01:30,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.7,740.0,120.0,73.0,59.0,7.0,25.3,5.4,99.0,1.2,0.92,0.7,,18.8,21.4,1.2,12.3,8.2,7.2
01-Jul-2018,01:30,01-Jul-2018,01:45,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.8,740.0,120.0,73.0,59.0,7.0,25.3,5.2,62.0,1.3,0.93,0.9,,19.8,20.8,1.3,12.1,7.7,7.7
01-Jul-2018,01:45,01-Jul-2018,02:00,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.8,740.0,120.0,73.0,59.0,7.0,25.5,5.2,113.0,1.3,0.96,0.8,,20.8,21.5,1.1,12.4,8.3,7.4
01-Jul-2018,02:00,01-Jul-2018,02:15,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.8,740.0,110.0,100.0,59.0,7.0,25.3,5.2,101.0,1.4,0.97,1.0,,21.1,23.0,0.4,12.6,5.3,7.7
01-Jul-2018,02:15,01-Jul-2018,02:30,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.7,740.0,110.0,100.0,60.0,7.0,25.2,5.5,85.0,1.4,0.97,1.1,,20.6,25.4,0.5,13.9,6.4,8.3
01-Jul-2018,02:30,01-Jul-2018,02:45,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.6,740.0,110.0,100.0,60.0,7.0,25.2,6.6,69.0,1.3,0.98,1.1,,19.4,28.4,1.3,16.2,6.8,8.4
01-Jul-2018,02:45,01-Jul-2018,03:00,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.5,740.0,110.0,100.0,60.0,7.0,25.3,6.4,93.0,1.2,0.98,1.0,,18.5,28.3,1.7,16.4,6.3,7.4
01-Jul-2018,03:00,01-Jul-2018,03:15,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.5,740.0,117.0,58.0,61.0,7.0,25.2,6.0,70.0,2.0,1.0,1.0,,18.6,25.7,1.8,15.1,6.6,7.6
01-Jul-2018,03:15,01-Jul-2018,03:30,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.2,740.0,117.0,58.0,62.0,7.0,25.5,6.3,60.0,1.2,1.03,1.1,,18.6,24.7,1.4,14.3,6.9,7.8
01-Jul-2018,03:30,01-Jul-2018,03:45,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.1,740.0,117.0,58.0,62.0,7.0,25.7,6.1,73.0,1.8,1.01,1.1,,18.7,24.3,1.5,14.2,6.2,7.5
01-Jul-2018,03:45,01-Jul-2018,04:00,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.1,740.0,117.0,58.0,62.0,7.0,25.7,5.7,116.0,1.8,1.01,1.0,,19.8,24.2,1.5,14.1,4.6,7.8
01-Jul-2018,04:00,01-Jul-2018,04:15,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.1,740.0,147.0,56.0,63.0,7.0,25.4,6.0,119.0,1.1,1.01,1.0,,22.1,23.9,1.6,14.0,4.5,7.2
01-Jul-2018,04:15,01-Jul-2018,04:30,Uttar Pradesh,Noida,"Knowledge Park - III, Greater Noida - UPPCB",32.1,740.0,147.0,56.0,62.0,7.0,25.4,7.5,140.0,1.4,1.0,1.0,,25.1,23.6,1.3,13.6,5.7,6.9
