﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",25.45,,,,89.72,1.28,,,195.42,2.21,2.12,,,18.45,9.24,,,,46.88
01-Jul-2018,00:15,01-Jul-2018,00:30,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",23.78,,106.16,4.24,84.13,0.86,,0.0,163.8,3.82,2.14,0.0,,18.38,7.74,11.82,19.55,13.25,47.55
01-Jul-2018,00:30,01-Jul-2018,00:45,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",25.47,,127.05,5.13,90.32,0.34,,0.0,211.99,2.49,2.17,0.0,,18.61,6.59,14.73,21.32,12.99,47.31
01-Jul-2018,00:45,01-Jul-2018,01:00,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",25.44,,145.71,9.7,89.47,,,0.0,255.94,2.6,2.21,0.0,,18.62,7.18,16.82,24.0,11.96,47.26
01-Jul-2018,01:00,01-Jul-2018,01:15,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",25.48,,144.6,13.4,89.44,2.09,,0.0,284.26,2.36,2.18,0.0,,18.38,6.43,18.66,25.09,17.88,46.1
01-Jul-2018,01:15,01-Jul-2018,01:30,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",25.54,,115.62,10.43,89.82,0.9,,0.0,132.84,2.22,2.18,0.0,,18.5,4.99,20.83,25.83,14.94,46.65
01-Jul-2018,01:30,01-Jul-2018,01:45,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",25.53,,100.78,6.18,88.68,0.05,,0.0,196.93,2.56,2.16,0.0,,18.53,4.66,21.03,25.68,17.2,46.79
01-Jul-2018,01:45,01-Jul-2018,02:00,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",25.61,,89.61,6.62,88.43,0.27,,0.0,176.21,2.81,2.13,0.0,,18.22,5.83,18.97,24.8,15.4,46.17
01-Jul-2018,02:00,01-Jul-2018,02:15,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",25.59,,70.87,8.9,88.97,1.6,,0.0,40.0,1.9,2.1,0.0,,17.85,6.62,16.26,22.88,15.49,46.54
01-Jul-2018,02:15,01-Jul-2018,02:30,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",30.19,,63.57,6.78,77.62,1.65,,0.0,120.01,8.14,2.09,0.0,,18.03,6.11,15.66,21.77,17.5,45.98
