﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Jul-2018,00:00,01-Jul-2018,00:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.5,749.81,82.0,44.0,77.17,,,18.84,345.84,0.86,1.26,2.78,,8.86,6.93,5.01,11.96,15.42,15.98
01-Jul-2018,00:15,01-Jul-2018,00:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.31,749.57,82.0,44.0,77.98,,,16.88,322.62,0.84,1.21,1.95,,9.24,7.36,4.31,11.66,15.04,15.97
01-Jul-2018,00:30,01-Jul-2018,00:45,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",25.8,749.66,82.0,44.0,79.64,,,17.51,319.77,0.86,1.13,2.16,,8.96,7.7,4.12,11.81,15.64,15.99
01-Jul-2018,00:45,01-Jul-2018,01:00,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",25.72,749.56,80.03,41.62,80.5,,,15.36,326.98,0.83,1.03,1.58,,8.97,8.11,3.76,11.87,15.47,16.0
01-Jul-2018,01:00,01-Jul-2018,01:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",25.72,749.39,67.0,26.0,80.85,,,15.36,312.13,0.84,0.96,2.06,,9.42,7.67,3.97,11.64,15.42,16.02
01-Jul-2018,01:15,01-Jul-2018,01:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",25.81,749.42,67.0,26.0,80.88,,,13.04,312.24,0.77,0.88,1.32,,9.24,7.65,4.06,11.69,15.84,15.99
01-Jul-2018,01:30,01-Jul-2018,01:45,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",25.92,749.43,67.0,26.0,80.67,,,12.9,275.7,0.69,0.84,1.66,,8.04,8.12,4.17,12.27,15.4,15.92
01-Jul-2018,01:45,01-Jul-2018,02:00,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.09,749.47,64.37,25.21,80.35,,,11.23,176.88,0.07,0.76,1.17,,8.82,8.05,3.94,11.99,15.9,15.93
01-Jul-2018,02:00,01-Jul-2018,02:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.27,749.43,47.0,20.0,80.16,,,,159.03,0.77,0.7,,,9.24,7.91,4.27,12.18,15.76,15.94
01-Jul-2018,02:15,01-Jul-2018,02:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.29,749.42,47.0,20.0,79.98,0.01,,9.48,226.03,0.14,0.64,1.04,,9.16,8.0,4.14,12.15,15.49,15.98
01-Jul-2018,02:30,01-Jul-2018,02:45,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.3,749.39,47.0,20.0,79.64,0.01,,9.44,289.56,0.82,0.6,1.08,,9.77,7.54,4.16,11.71,16.05,16.02
01-Jul-2018,02:45,01-Jul-2018,03:00,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.39,749.23,47.39,20.26,79.14,,,8.41,267.69,0.56,0.55,1.94,,9.7,7.51,3.99,11.5,15.1,15.94
01-Jul-2018,03:00,01-Jul-2018,03:15,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.66,749.25,50.0,22.0,78.61,0.03,,8.42,325.12,0.79,0.54,1.26,,9.79,7.77,3.99,11.73,16.15,15.98
01-Jul-2018,03:15,01-Jul-2018,03:30,Andhra Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",26.51,749.17,50.0,22.0,78.44,,,7.26,311.34,0.83,0.51,1.55,,9.61,7.93,3.93,11.86,15.44,15.97
